"data";"czas";"ALE";"ALR";"BDX";"CDR";"CPS";"DNP";"JSW";"KGH";"KRU";"KTY";"LPP";"MBK";"OPL";"PCO";"PEO";"PGE";"PKN";"PKO";"PZU";"SPL";"11B";"ABE";"ACP";"APR";"ASB";"ATC";"ATT";"BFT";"BHW";"CAR";"CCC";"CIG";"CMR";"COG";"DOM";"DVL";"EAT";"ENA";"EUR";"GEA";"GPP";"GPW";"GRX";"HUG";"ING";"LWB";"MBR";"MIL";"NEU";"PKP";"PXM";"RBW";"RVU";"SLV";"SNT";"TEN";"TPE";"TXT";"WPL";"XTB"
20240319;90000;32.45;94.46;684;111.95;10.49;405.6;37.98;117.4;420;747.5;13636.1;723.6;8.15;17.26;152.74;7.134;62.95;55.5;47.41;522;506;79.2;73.75;25.7;25.3;21.2;22.78;2550;106.6;540;69.58;1.586;237;8.05;165.6;5.31;25.75;9.12;14.9;3.12;67.2;42.84;2.39;27.2;284.677;32.6;308.5;10.45;884;12.6;4.22;78.8;57.5;61;145.5;91.75;3.03;87.4;112;53.85
20240319;90500;32.49;94.48;683;111.7;10.425;405.8;38.11;116.85;420.4;747.5;13695;721.4;8.114;17.13;152.425;7.098;63.02;55.54;47.26;522;506;79.2;73.7;25.6;25.42;21.2;22.8;2510;106.2;540;69.4;1.586;237;8.1;166.2;5.27;25.5;9.12;14.9;3.11;67.2;42.74;2.4;27.1;284.677;32.42;308.5;10.51;883;12.6;4.26;79;57.4;61;143.5;91.75;3.032;87.1;109.4;53.8
20240319;91000;32.44;94.14;681;111.85;10.455;406.9;38.36;116.75;420.2;742;13685.2;720;8.108;17.23;152.47;7.042;63.3;55.72;47.38;522.5;503;80;73.4;25.6;25.4;21.2;22.8;2520;106.6;540;69;1.58;231;8.09;169;5.23;25.65;8.945;14.86;3.11;67.2;42.66;2.43;27.1;284.677;32.4;307.5;10.47;883;12.72;4.255;79.6;57.4;60.9;142;91.75;3.02;87.1;109;53.4
20240319;91500;32.53;94.64;680;112.1;10.485;408.1;38.1;116.7;421;744.5;13783.4;720;8.15;17.19;153.324;7.07;63.37;55.86;47.44;524.5;507;79.2;73.75;25.6;25.42;21.2;22.8;2540;106.6;540;69.66;1.58;230;8.09;169;5.28;25.65;8.985;14.95;3.11;67.2;42.7;2.44;27.1;285.58;32.5;309;10.47;883;12.72;4.245;79;57.4;60.9;143;91;3.036;87.4;109;53.65
20240319;92000;32.55;94.88;684;112.75;10.49;407.8;38.19;116.7;420.8;746;13773.6;722.2;8.152;17.26;153.549;7.072;63.5;55.88;47.57;526;507;79.2;73.75;25.6;25.3;21.2;22.92;2540;107;547;69.78;1.59;232;8.01;169;5.28;25.65;8.965;14.95;3.11;67.2;42.68;2.43;27.35;285.58;32.64;310.5;10.59;883;12.72;4.245;79;56.8;60.9;142.5;91.5;3.035;87.3;109;53.75
20240319;92500;32.57;94.74;687;112.9;10.54;408.7;38.21;117;420.6;747;13842.3;723;8.176;17.34;153.773;7.116;63.72;55.94;47.56;526.5;507;79.2;73.75;25.65;25.4;21.2;22.86;2540;107;547;69.68;1.59;233;7.99;169.2;5.28;25.45;8.95;14.93;3.11;67.2;42.72;2.43;27.35;285.58;32.72;310.5;10.6;883;12.8;4.25;79.2;56.8;61.1;142;91.5;3.04;87.3;109;53.8
20240319;93000;32.595;94.6;687;113;10.515;407.4;38.1;117.2;420.2;746.5;13714.7;717.8;8.152;17.25;153.144;7.068;63.73;55.8;47.5;523.5;507;79.2;73.55;25.8;25.4;21.25;22.8;2540;107.2;547;69.6;1.59;233;8.03;166.8;5.31;25.45;8.96;14.97;3.11;67.2;42.8;2.43;27.2;285.58;32.54;310.5;10.55;883;12.78;4.25;79.6;56.8;61.1;142.5;91.5;3.036;87.1;109;53.75
20240319;93500;32.62;94.62;683;112.95;10.515;407.3;38.11;117.25;421.4;748;13695;719;8.18;17.18;153.144;7.076;63.93;55.88;47.5;524;507;79.2;73.65;25.65;25.3;21.25;22.8;2530;107;547;69.76;1.59;234;8.03;166.8;5.31;25.45;8.975;14.98;3.11;67.2;42.8;2.44;27.2;286.032;32.46;310.5;10.59;883;12.8;4.25;79.6;56.8;61.1;143.5;91.5;3.038;87.1;109;53.5
20240319;94000;32.625;94.42;683;112.65;10.495;407.4;38.09;117.15;420.4;748;13616.5;716.2;8.176;17.17;153.099;7.076;63.79;55.82;47.42;522.5;507;79.2;73.65;25.65;25.38;21.25;22.68;2530;106.6;547;69.48;1.59;232;8.03;166.8;5.31;25.45;8.985;14.98;3.125;67.2;42.82;2.44;27.15;286.032;32.46;310.5;10.54;883;12.78;4.25;80;56.8;61.1;142.5;91.5;3.031;87.1;109;53.4
20240319;94500;32.785;94.62;683;112.6;10.495;406.8;38.12;117.4;421;748;13538;718.4;8.148;17.24;153.234;7.08;63.85;55.84;47.45;522.5;507;80;73.65;25.65;25.4;21.45;22.7;2580;106.6;547;69.48;1.582;234;8.08;166.8;5.31;25.4;8.975;14.95;3.125;67.2;42.74;2.42;27.15;284.677;32.46;310.5;10.5;883;12.72;4.275;80;56.8;61.1;143.5;91.5;3.031;87.1;109.2;53.5
20240319;95000;32.83;94.44;683;112.5;10.46;405.8;38;117.4;420.6;745.5;13498.7;718;8.144;17.14;153.099;7.064;63.6;55.8;47.34;522;507;80.6;73.5;25.6;25.38;21.3;22.7;2580;106.6;547;69.2;1.614;234;8.03;166.8;5.3;25.4;8.95;14.93;3.125;67.2;42.66;2.42;27.05;284.677;32.52;310.5;10.5;883;12.72;4.27;80;57;61.1;142.5;91.7;3.036;87.2;109.2;53.4
20240319;95500;32.96;94.08;685;112.35;10.45;406.3;38;117.5;420.8;742;13498.7;715.6;8.124;17.09;152.47;7.068;63.45;55.64;47.25;522;506;80.2;73.55;25.6;25.38;21.3;22.66;2550;106.6;547;69.04;1.64;234;8.03;166.8;5.3;25.4;8.995;14.93;3.125;67.2;42.62;2.42;27.05;284.677;32.52;310.5;10.49;883;12.72;4.235;79.6;57;61.1;142;91.6;3.03;87.2;109.2;53.4
20240319;100000;32.915;94.18;688;112.4;10.445;406.9;37.99;117.55;419.8;741.5;13263.1;715.6;8.112;17.14;152.875;7.066;63.47;55.76;47.37;522;506;80.2;73.45;25.65;25.4;21.3;22.66;2510;106.6;547;69;1.63;234;8.04;166.8;5.3;25.3;8.995;14.93;3.125;67.2;42.58;2.44;27.05;284.677;32.56;310.5;10.48;883;12.7;4.235;78.8;57;61.1;143;90.9;3.03;87.1;109.2;53.5
20240319;100500;32.76;94.2;684;112.15;10.46;406.6;38;117.45;419.8;742;13184.5;715.2;8.106;17.06;153.144;7.066;63.3;55.76;47.3;520;507;80.2;73.35;25.75;25.4;21.3;22.68;2510;106.6;547;68.76;1.632;234;8.02;168.8;5.3;25.2;8.995;14.97;3.135;67.2;42.48;2.44;27;284.677;32.46;308.5;10.44;883;12.7;4.235;78.6;57;60.9;143;90.8;3.03;87.1;109.2;53.6
20240319;101000;32.685;94.24;687;112.25;10.455;407.3;38.04;117.4;420.4;743;13253.3;713.2;8.08;17.07;153.684;7.056;63.21;55.88;47.32;520;507;80.2;73.35;25.65;25.44;21.3;22.66;2510;106.6;547;68.5;1.632;233;8;168.8;5.3;25.2;8.995;14.98;3.135;67.2;42.44;2.435;27;284.677;32.46;308.5;10.47;883;12.76;4.235;78.4;57.4;60.9;143;90.7;3.039;87.1;109.2;53.6
20240319;101500;32.64;94.42;689;112.35;10.44;408.3;37.73;117.45;420.4;743;13390.7;714.4;8.088;17.05;154.088;7.072;63.17;55.94;47.39;522.5;507;80.2;73.45;25.75;25.42;21.3;22.62;2520;106.6;543;68.64;1.604;233;8.03;169;5.3;25.2;8.995;15;3.1;67.2;42.4;2.43;26.9;284.677;32.38;308.5;10.51;883;12.76;4.265;78.4;57.4;60.9;142.5;90.55;3.032;87.1;109.2;53.45
20240319;102000;32.695;94.16;688;112.45;10.46;408.8;37.84;117.65;421.4;742;13518.3;715.8;8.082;17.09;153.459;7.072;63.17;55.9;47.38;523;507;80.2;73.45;25.75;25.4;21.3;22.6;2540;107;543;68.42;1.602;232;8;169;5.3;25.3;9;15.01;3.1;67.2;42.44;2.445;26.9;284.677;32.38;311;10.46;883;12.7;4.18;78.8;57.4;60.9;142;90.55;3.044;87.3;109.4;53.4
20240319;102500;32.515;94;686;112.4;10.45;408.3;37.79;117.5;421;741;13400.5;716.8;8.084;17.09;153.369;7.072;63.06;55.8;47.37;521.5;507;80.2;73.25;25.75;25.38;21.25;22.6;2580;107;543;68.46;1.594;232;7.97;168;5.29;25.3;8.975;15.01;3.1;67.2;42.42;2.445;26.7;284.225;32.46;311;10.47;883;12.66;4.245;78.8;57.4;60.9;143;90.55;3.04;87.1;109.4;53.4
20240319;103000;32.52;93.88;685;112.2;10.44;407.4;37.68;117.4;419.8;735.5;13351.4;713.6;8.078;17.04;153.009;7.058;62.9;55.66;47.32;520;507;80.2;73.15;25.75;25.4;21.25;22.58;2550;107;543;68.12;1.614;233;7.99;168.8;5.29;25.25;8.985;14.97;3.1;67.2;42.42;2.435;26.65;284.677;32.46;311;10.47;883;12.66;4.245;79.4;57.4;60.9;143;91.15;3.036;87.1;109.4;53.3
20240319;103500;32.59;93.66;682;112.15;10.44;407.4;37.8;117.4;419.8;735;13351.4;712.8;8.086;17;152.875;7.06;62.9;55.48;47.18;519;507;80.2;73.25;25.7;25.38;21.25;22.58;2580;107;543;68.12;1.592;231;7.99;168.8;5.29;25.2;8.955;15;3.1;67.2;42.32;2.445;26.65;283.321;32.44;311;10.39;883;12.66;4.23;79.2;57.4;60.9;142.5;91.15;3.036;87.1;109.4;53.35
20240319;104000;32.54;93.52;684;112.05;10.425;406.9;37.86;117.45;419.6;735;13312.2;711.2;8.062;17.02;152.74;7.056;62.76;55.38;47.1;519;504;80.2;73.15;25.75;25.38;21.25;22.54;2580;107;543;68.26;1.61;231;7.95;168;5.29;25.25;8.965;15;3.13;67.2;42.4;2.44;26.8;283.321;32.44;310.5;10.39;883;12.66;4.23;79.2;57.4;60.9;143;90.95;3.039;87.5;109.4;53.35
20240319;104500;32.53;93.14;682;112.2;10.4;406.8;37.85;117.25;419.8;734;13292.5;706.4;8.04;17.02;152.201;7.046;62.71;55.2;47.02;516;504;80.2;73;25.8;25.38;21.25;22.58;2590;105.8;543;67.98;1.59;231;7.97;168.8;5.29;25.25;8.955;14.97;3.1;67.4;42.48;2.445;26.8;284.225;32.44;310.5;10.36;883;12.64;4.23;79.2;57.4;60.9;142;90.9;3.038;87.9;109.4;53.35
20240319;105000;32.61;93.28;684;112.25;10.375;407.2;37.8;117.2;419.4;733.5;13164.9;706.6;8.054;17.01;152.47;7.04;62.8;55.32;47.1;517;504;80.2;72.95;25.65;25.3;21.3;22.62;2590;106.6;543;68;1.598;230;7.97;168.8;5.27;25.3;8.965;14.96;3.1;67.4;42.34;2.445;26.8;284.677;32.46;310.5;10.39;883;12.64;4.23;79.8;57.4;60.9;142;90.9;3.038;87.8;109.4;53.35
20240319;105500;32.66;93.26;684;112.05;10.38;408;37.75;117;419.2;733;13204.2;707;8.05;17.07;152.425;7.05;62.96;55.4;47.11;516;504;80.2;73.05;25.65;25.3;21.35;22.62;2560;106.6;543;67.96;1.59;230;7.97;169;5.27;25.3;8.975;14.95;3.1;67.4;42.32;2.435;26.65;284.677;32.42;310;10.4;883;12.6;4.21;79.8;57;61.4;142.5;91.15;3.04;88.2;109.4;53.3
20240319;110000;32.475;92.82;680;111.7;10.34;407.3;37.72;116.8;417.2;731;13164.9;704.6;8.038;17.03;151.886;7.044;62.83;55.3;47.08;513.5;505;80.2;72.95;25.65;25.2;21.35;22.6;2560;107;543;68;1.584;231;7.94;169;5.27;25.3;9;14.95;3.1;67.4;42.3;2.435;26.85;283.321;32.4;310;10.38;883;12.5;4.22;79;57.2;61.4;142;91.1;3.041;88;109.4;52.75
20240319;110500;32.465;93;682;111.95;10.37;407.1;37.72;116.85;418;732.5;13125.6;704.6;8.026;17.04;152.066;7.05;62.79;55.3;47.06;513;505;80.2;72.95;25.6;25.2;21.35;22.52;2550;106;543;67.92;1.584;230;7.95;169;5.27;25.3;9;14.91;3.1;67.4;42.4;2.425;26.85;283.773;32.4;305.5;10.38;883;12.58;4.2;79;57.2;61.4;141.5;90.9;3.041;88;109.4;52.9
20240319;111000;32.51;93.1;682;111.7;10.335;407.5;37.68;116.65;417.4;730.5;13135.5;705.4;8.038;17.04;152.291;7.056;62.82;55.3;47.07;514;505;79.8;72.9;25.7;25.22;21.35;22.52;2540;106;543;68.16;1.59;228;7.97;169;5.27;25.3;9;14.88;3.1;67.4;42.34;2.43;26.85;281.966;32.4;305.5;10.42;883;12.58;4.2;79;57.1;60.8;142.5;91.1;3.045;87.4;109.4;52.75
20240319;111500;32.505;93.08;684;110.85;10.31;406.1;37.69;116.4;417.2;726;13145.3;705;8.01;17.04;151.886;7.048;62.72;54.98;47.01;512;505;79.8;72.8;25.75;25.12;21.35;22.52;2580;106;543;67.96;1.582;230;7.97;168.8;5.29;25.3;8.96;14.88;3.1;67.4;42.34;2.43;26.8;282.417;32.34;309;10.36;883;12.58;4.2;79.2;57.1;60.8;142.5;91.65;3.038;88;109.4;52.85
20240319;112000;32.45;92.78;681;111.15;10.295;405.6;37.68;116;417.2;725.5;12909.7;703.8;8.018;17.01;151.527;7.03;62.71;54.86;46.9;511.5;505;79.8;72.7;25.7;25.06;21.1;22.46;2600;106.2;543;67.5;1.59;230;7.94;167.4;5.29;25.15;8.955;14.85;3.1;67.4;42.34;2.43;26.8;280.61;32.36;309;10.34;883;12.52;4.2;79.4;57.1;60.8;142;91.65;3.04;87.6;109.4;52.9
20240319;112500;32.305;92.8;681;111.1;10.335;405.6;37.65;115.85;417.2;725.5;13007.8;702;8.022;17.05;151.302;7.046;62.8;54.62;46.95;510.5;505;79.8;72.8;25.75;25.1;21;22.42;2580;106.2;543;67.94;1.59;229;7.95;167.4;5.29;25.1;8.96;14.86;3.1;67.2;42.26;2.445;26.8;280.61;32.32;309;10.35;883;12.54;4.22;79.8;57.1;60.8;142;91.8;3.038;87.5;109.4;52.6
20240319;113000;32.285;92.88;682;111.15;10.34;406.7;37.66;115.65;417.4;727;12968.6;703.2;8.012;17.05;151.482;7.032;62.87;54.48;46.97;513;505;79.8;72.85;25.75;25.3;20.95;22.44;2540;106.2;543;67.9;1.59;229;7.97;167.4;5.29;25.1;8.97;14.87;3.1;67.2;42.32;2.445;26.65;281.062;32.36;309.5;10.35;883;12.58;4.22;79.8;57.1;60.8;143;91.8;3.037;87.4;109.4;53.35
20240319;113500;32.475;92.96;685;111.5;10.32;406.8;37.4;115.8;417.4;727.5;13106;702.4;8.008;17.05;151.616;7.042;62.91;54.56;47.05;511.5;505;79.8;72.85;25.75;25.18;20.95;22.48;2580;106.2;543;68.1;1.598;228;7.97;167.4;5.28;25.1;8.965;14.87;3.1;67.2;42.26;2.445;26.65;280.61;32.42;307.5;10.34;887;12.6;4.22;79.8;57.1;60.8;143;91.8;3.038;87.4;109.4;53.7
20240319;114000;32.28;92.66;683;111.3;10.35;407.1;37.34;115.75;417.4;727.5;13066.7;700.6;7.996;17.04;150.942;7.044;62.72;54.5;47.01;512;505;79.8;72.75;25.75;25.2;20.95;22.48;2580;106;543;68.14;1.598;227;7.97;167.4;5.28;25.1;8.965;14.87;3.1;67.2;42.32;2.44;26.65;280.61;32.38;307.5;10.27;887;12.6;4.22;79.8;57.1;60.8;142.5;91.8;3.043;87.4;109.4;53.35
20240319;114500;32.32;92.62;683;111.4;10.355;406.4;37.4;115.9;417.2;725;13056.9;699.2;8.012;17.03;150.718;7.044;62.84;54.42;47;512;503;79.8;72.7;25.75;25.24;20.95;22.42;2580;106;543;68;1.598;228;7.97;168;5.28;25.1;8.98;14.87;3.1;67.2;42.34;2.44;26.75;281.514;32.38;307.5;10.27;887;12.6;4.22;79.4;57.1;60.8;142.5;91.8;3.046;87.4;109.4;53.55
20240319;115000;32.38;92.58;686;111.8;10.375;406.3;37.4;115.4;416.2;725.5;13155.1;699.2;8.018;17.01;150.628;7.048;62.83;54.38;47.03;512;503;79.8;72.8;25.75;25.1;21;22.44;2580;106;545;67.98;1.584;227;7.97;168;5.28;25.1;8.945;14.83;3.1;67.2;42.34;2.43;26.65;280.158;32.38;309.5;10.27;887;12.6;4.2;79;57.1;60.8;143;91.45;3.04;87.4;109.4;53.45
20240319;115500;32.425;92.76;684;111.95;10.355;406.4;37.49;115.55;416.2;724;13204.2;697.8;8.022;17;150.808;7.056;62.77;54.4;47.14;513;503;79.8;72.8;25.75;25.1;20.9;22.44;2580;106;545;68;1.58;227;7.95;168;5.28;25.1;8.945;14.83;3.125;67.2;42.34;2.43;26.65;279.706;32.38;309.5;10.27;887;12.6;4.225;79;57.1;60.8;142.5;91.3;3.046;87.4;109.4;53.15
20240319;120000;32.5;92.5;682;111.9;10.32;406.1;37.4;115.4;416.8;725;13371.1;694.4;7.996;16.99;150.313;7.022;62.6;54.28;47.12;511.5;503;79.8;72.65;25.65;25.1;20.9;22.32;2580;106.2;543;68;1.572;228;7.96;167.8;5.28;25.1;8.94;14.83;3.125;67;42.36;2.44;26.65;280.158;32.38;309.5;10.27;887;12.52;4.225;79;57.1;60.8;143;91.45;3.039;87.4;109.4;53
