"data";"czas";"ALE";"ALR";"BDX";"CDR";"CPS";"DNP";"JSW";"KGH";"KRU";"KTY";"LPP";"MBK";"OPL";"PCO";"PEO";"PGE";"PKN";"PKO";"PZU";"SPL";"11B";"ABE";"ACP";"APR";"ASB";"ATC";"ATT";"BFT";"BHW";"CAR";"CCC";"CIG";"CMR";"COG";"DOM";"DVL";"EAT";"ENA";"EUR";"GEA";"GPP";"GPW";"GRX";"HUG";"ING";"LWB";"MBR";"MIL";"NEU";"PKP";"PXM";"RBW";"RVU";"SLV";"SNT";"TEN";"TPE";"TXT";"WPL";"XTB"
20240319;90000;32.47;94.46;698;112.95;10.565;407.2;38.41;117.5;423.8;750.5;14136.8;725.8;8.246;17.43;153.099;7.15;63.25;55.72;47.48;526;507;80;73.9;25.7;25.44;21.4;23.18;2560;107;540;69.6;1.586;237;8.13;170;5.31;25.75;9.14;14.9;3.12;67.2;43.1;2.4;27.25;287.84;32.6;311;10.54;884;12.82;4.235;80.4;57.5;61;145.5;91.75;3.05;87.4;112;53.9
20240319;90500;32.815;94.54;685;112.4;10.52;406.7;38.11;117.25;421.2;747.5;13842.3;721.4;8.154;17.27;152.74;7.134;63.05;55.54;47.48;522;506;79.4;73.7;25.65;25.42;21.2;22.98;2550;106.2;540;69.56;1.592;237;8.1;170;5.27;25.5;9.12;14.9;3.12;67.2;42.84;2.4;27.35;285.129;32.54;308.5;10.51;884;12.6;4.26;79.2;57.4;61;145;91.75;3.042;87.3;110;53.85
20240319;91000;32.735;94.48;682;112.15;10.475;407;38.48;117.4;421.6;746;13744.1;724.8;8.128;17.25;153.009;7.088;63.36;55.82;47.45;524.5;503;80;73.65;25.6;25.42;21.2;22.8;2520;106.6;540;69.46;1.58;236;8.09;169;5.27;25.65;9.06;14.91;3.11;67.2;42.74;2.445;27.1;284.677;32.42;308.5;10.5;883;12.74;4.255;79.6;57.4;61;143.5;91.75;3.031;87.1;109.4;53.8
20240319;91500;32.67;94.64;685;112.35;10.525;408.3;38.4;116.9;421;745;13783.4;720.8;8.15;17.26;153.324;7.1;63.58;55.88;47.47;524.5;507;79.2;73.75;25.6;25.42;21.2;22.8;2540;106.6;540;69.66;1.58;232;8.09;169;5.28;25.65;9.015;14.95;3.11;67.2;42.7;2.44;27.1;285.58;32.5;310.5;10.47;883;12.72;4.25;79;57.4;60.9;143;91.5;3.045;87.4;109.2;53.8
20240319;92000;32.585;94.88;684;112.75;10.49;408.5;38.19;116.8;421;746;13832.5;722.6;8.152;17.27;153.684;7.086;63.54;56.04;47.57;526;507;79.2;73.75;25.6;25.4;21.2;22.92;2540;107;547;69.78;1.59;233;8.06;169;5.28;25.65;8.995;14.96;3.11;67.2;42.76;2.43;27.35;285.58;32.7;310.5;10.59;884;12.72;4.245;79.6;56.8;60.9;143;91.5;3.035;87.3;109;53.75
20240319;92500;32.585;94.9;687;112.95;10.56;408.9;38.26;117;421.6;748.5;13852.1;723;8.176;17.34;153.773;7.116;63.72;55.96;47.58;526.5;507;79.2;73.75;25.7;25.4;21.2;22.86;2540;107;547;69.78;1.59;233;8.01;169.2;5.28;25.45;8.97;14.94;3.11;67.2;42.76;2.43;27.35;285.58;32.74;310.5;10.6;883;12.8;4.25;79.6;56.8;61.1;142.5;91.5;3.042;87.3;109;53.8
20240319;93000;32.695;94.72;687;113.2;10.57;408.8;38.26;117.25;420.6;747.5;13822.7;723.8;8.166;17.39;153.684;7.104;63.76;55.96;47.56;526;507;79.2;73.55;25.8;25.4;21.25;22.86;2540;107.2;547;69.74;1.59;233;8.03;166.8;5.31;25.45;8.96;14.97;3.11;67.2;42.88;2.43;27.25;285.58;32.58;310.5;10.6;883;12.78;4.25;79.6;56.8;61.1;142.5;91.5;3.04;87.1;109;53.8
20240319;93500;32.75;94.8;685;113.2;10.54;407.6;38.12;117.35;421.6;748;13734.3;720.6;8.18;17.28;153.324;7.096;63.96;55.92;47.54;524.5;507;79.2;73.75;25.65;25.34;21.25;22.8;2540;107;547;69.76;1.59;234;8.03;166.8;5.31;25.45;8.975;14.98;3.11;67.2;42.8;2.44;27.2;286.032;32.58;310.5;10.59;883;12.8;4.25;79.6;56.8;61.1;143.5;91.5;3.038;87.3;109;53.6
20240319;94000;32.67;94.58;683;113;10.52;407.5;38.12;117.2;421.6;749.5;13724.5;718.6;8.176;17.22;153.369;7.086;63.92;55.86;47.49;524;507;79.2;73.65;25.65;25.4;21.25;22.8;2530;106.8;547;69.74;1.59;234;8.03;166.8;5.31;25.45;8.985;14.98;3.125;67.2;42.82;2.44;27.2;286.032;32.46;310.5;10.55;883;12.8;4.25;80;56.8;61.1;143.5;91.5;3.031;87.1;109;53.6
20240319;94500;32.87;94.62;683;112.75;10.515;407.5;38.12;117.4;421.8;748.5;13596.9;720;8.178;17.24;153.414;7.094;63.97;55.88;47.49;522.5;507;80;73.65;25.65;25.4;21.45;22.7;2580;106.6;547;69.54;1.588;234;8.08;166.8;5.31;25.4;8.985;14.98;3.125;67.2;42.82;2.44;27.15;285.129;32.46;310.5;10.5;883;12.72;4.275;80;56.8;61.1;143.5;91.5;3.032;87.1;109.2;53.5
20240319;95000;32.905;94.74;683;112.6;10.49;406.7;38.07;117.45;421.6;749.5;13557.6;719.2;8.16;17.24;153.459;7.08;63.88;55.88;47.44;522.5;507;80.6;73.6;25.6;25.4;21.45;22.7;2580;106.6;547;69.2;1.614;234;8.08;166.8;5.3;25.4;8.955;14.95;3.125;67.2;42.74;2.435;27.15;284.677;32.52;310.5;10.5;883;12.72;4.27;80;57;61.1;143;91.7;3.04;87.3;109.2;53.5
20240319;95500;32.97;94.42;685;112.7;10.46;406.5;38.05;117.55;421.2;744;13538;717.8;8.136;17.14;153.144;7.068;63.6;55.76;47.34;522;506;80.2;73.55;25.6;25.38;21.3;22.72;2550;106.6;547;69.28;1.64;234;8.03;166.8;5.3;25.4;8.995;14.93;3.125;67.2;42.66;2.42;27.05;284.677;32.6;310.5;10.5;883;12.72;4.275;80;57;61.1;142;91.6;3.035;87.2;109.2;53.5
20240319;100000;33;94.3;688;112.4;10.45;406.9;38.05;117.65;420.4;743.5;13498.7;716.4;8.13;17.19;152.875;7.066;63.51;55.76;47.38;522;506;80.2;73.45;25.65;25.4;21.3;22.66;2550;106.6;547;69.04;1.632;234;8.04;166.8;5.3;25.3;8.995;14.93;3.125;67.2;42.66;2.44;27.05;284.677;32.56;310.5;10.48;883;12.72;4.235;79.6;57;61.1;143;91.4;3.03;87.2;109.2;53.55
20240319;100500;32.995;94.22;689;112.35;10.465;406.8;38.03;117.55;419.8;743.5;13331.8;715.4;8.116;17.12;153.234;7.066;63.45;55.78;47.38;521;507;80.2;73.35;25.75;25.4;21.3;22.68;2510;106.6;547;69;1.632;234;8.02;168.8;5.3;25.3;8.995;14.97;3.135;67.2;42.58;2.44;27;284.677;32.5;308.5;10.46;883;12.7;4.235;78.6;57;61.1;143;91.3;3.03;87.3;109.2;53.6
20240319;101000;32.835;94.3;687;112.3;10.47;407.4;38.04;117.6;420.6;743.5;13420.2;716.4;8.114;17.11;153.863;7.074;63.38;55.9;47.37;521;507;80.2;73.35;25.65;25.44;21.3;22.72;2510;106.6;547;68.84;1.632;233;8.03;168.8;5.3;25.2;8.995;15.09;3.135;67.2;42.48;2.44;27;284.677;32.46;308.5;10.48;883;12.76;4.235;78.6;57.4;60.9;143;90.8;3.039;87.3;109.2;53.6
20240319;101500;32.7;94.42;689;112.35;10.455;408.3;38;117.45;420.4;743;13390.7;714.4;8.09;17.07;154.088;7.072;63.21;55.94;47.39;522.5;507;80.2;73.45;25.75;25.42;21.3;22.64;2520;106.6;543;68.64;1.626;233;8.03;169;5.3;25.2;8.995;15;3.11;67.2;42.54;2.445;26.9;284.677;32.38;308.5;10.52;883;12.76;4.265;78.4;57.4;60.9;143;90.95;3.033;87.1;109.2;53.6
20240319;102000;32.72;94.42;690;112.5;10.46;408.9;37.87;117.65;421.4;743.5;13567.4;716;8.084;17.1;154.043;7.076;63.25;55.96;47.43;523.5;507;80.2;73.45;25.75;25.4;21.3;22.62;2540;107;543;68.64;1.606;232;8.03;169;5.3;25.3;9;15.01;3.1;67.2;42.44;2.445;26.9;284.677;32.38;311;10.49;884;12.7;4.26;78.8;57.4;60.9;142;90.55;3.044;87.3;109.4;53.6
20240319;102500;32.675;94.16;688;112.55;10.465;408.7;37.85;117.75;421.4;742.5;13577.2;718;8.084;17.1;153.369;7.076;63.16;55.9;47.4;523.5;507;80.2;73.45;25.75;25.38;21.25;22.6;2580;107;543;68.52;1.598;232;8;169;5.3;25.3;8.985;15.01;3.1;67.2;42.44;2.445;26.7;284.677;32.46;311;10.47;883;12.66;4.245;78.8;57.4;60.9;143;90.55;3.042;87.3;109.4;53.5
20240319;103000;32.565;94.04;686;112.35;10.465;408.1;37.8;117.6;420.4;741;13518.3;716.4;8.08;17.14;153.279;7.07;63.06;55.82;47.4;521;507;80.2;73.3;25.75;25.4;21.25;22.58;2550;107;543;68.46;1.614;233;8;168.8;5.29;25.3;8.985;15;3.1;67.2;42.42;2.435;26.7;285.129;32.46;311;10.47;883;12.66;4.245;79.4;57.4;60.9;143;91.15;3.036;87.1;109.4;53.4
20240319;103500;32.59;93.8;685;112.25;10.44;407.4;37.8;117.45;419.8;736;13361.3;713.4;8.09;17.06;152.965;7.06;62.91;55.6;47.32;519.5;507;80.2;73.25;25.7;25.38;21.25;22.58;2580;107;543;68.22;1.594;233;7.99;168.8;5.29;25.25;8.955;15;3.1;67.2;42.34;2.445;26.8;284.677;32.44;311;10.42;883;12.66;4.23;79.4;57.4;60.9;142.5;91.15;3.036;87.1;109.4;53.35
20240319;104000;32.57;93.72;684;112.25;10.43;407.4;37.86;117.45;420;736.5;13341.6;712.6;8.096;17.03;152.875;7.062;62.91;55.44;47.2;519;504;80.2;73.15;25.75;25.38;21.25;22.56;2600;107;543;68.26;1.61;231;7.96;169;5.29;25.25;8.965;15;3.13;67.2;42.4;2.44;26.8;284.225;32.44;310.5;10.4;883;12.66;4.23;79.4;57.4;60.9;143;91.25;3.039;87.6;109.4;53.35
