"data";"czas";"ALE";"ALR";"BDX";"CDR";"CPS";"DNP";"JSW";"KGH";"KRU";"KTY";"LPP";"MBK";"OPL";"PCO";"PEO";"PGE";"PKN";"PKO";"PZU";"SPL";"11B";"ABE";"ACP";"APR";"ASB";"ATC";"ATT";"BFT";"BHW";"CAR";"CCC";"CIG";"CMR";"COG";"DOM";"DVL";"EAT";"ENA";"EUR";"GEA";"GPP";"GPW";"GRX";"HUG";"ING";"LWB";"MBR";"MIL";"NEU";"PKP";"PXM";"RBW";"RVU";"SLV";"SNT";"TEN";"TPE";"TXT";"WPL";"XTB"
20240319;90000;31.785;92.9;683;111.5;10.46;405.1;37.95;116.4;418.2;744;13606.7;715;8.15;17.21;152.291;7.09;62.81;55.14;47.16;522;501;79.2;73.4;25.65;25.3;21.2;22.52;2510;106;540;69.5;1.58;236;8.05;165.6;5.28;25.75;9.08;14.85;3.12;67.2;42.84;2.38;26.6;284.677;32.6;308.5;10.45;883;12.6;4.17;78.8;57.5;60.9;145;91;3.03;87.4;112;53.4
20240319;90500;32.41;94.02;683;111.7;10.415;405.6;37.95;116.7;418.6;746;13616.5;717;8.1;17.1;152.246;7.088;62.89;55.38;47.26;522;506;79.2;73.7;25.6;25.3;21.2;22.8;2510;106.2;540;69;1.586;237;8.05;166.2;5.27;25.3;9.12;14.9;3.11;67.2;42.6;2.39;27.1;284.677;32.42;308.5;10.49;883;12.6;4.205;79;57.4;61;143.5;91.65;3.03;87.1;109.4;53.65
20240319;91000;32.4;93.9;675;111.5;10.425;406;38.17;116.65;419.8;742;13577.2;720;8.108;17.12;152.111;7.02;63.02;55.62;47.33;522.5;503;80;73.4;25.55;25.4;21.2;22.8;2520;106.6;540;69;1.58;222;8.09;167;5.23;25.4;8.92;14.83;3.11;67.2;42.6;2.43;27.1;284.677;32.38;307.5;10.47;883;12.72;4.215;79;57.4;60.9;141.5;91.75;3.02;87.1;108.6;53.4
20240319;91500;32.39;94.1;680;111.85;10.46;406.6;38;116.5;420.4;742.5;13646;718.6;8.11;17.16;152.515;7.05;63.29;55.72;47.34;523;505;79.2;73.5;25.55;25.4;21.2;22.8;2540;106.6;540;69;1.58;230;8.05;169;5.28;25.65;8.945;14.93;3.11;67.2;42.6;2.44;27.1;285.129;32.38;309;10.47;883;12.72;4.245;79;57.4;60.9;142;91;3.029;87.2;109;53.5
20240319;92000;32.44;94.66;683;112.2;10.45;407.6;38.01;116.4;420.4;744.5;13714.7;720.2;8.144;17.18;153.324;7.066;63.34;55.84;47.42;524.5;507;79.2;73.75;25.6;25.3;21.15;22.88;2540;106.6;547;69.52;1.576;231;8.01;169;5.28;25.65;8.965;14.95;3.11;67.2;42.68;2.43;27.3;285.58;32.46;309;10.51;883;12.72;4.245;79;56.8;60.9;142.5;91.5;3.035;87.1;109;53.4
20240319;92500;32.5;94.6;684;112.5;10.48;407.8;38.1;116.75;420.2;746;13773.6;722.2;8.152;17.27;153.369;7.086;63.5;55.8;47.51;525.5;507;79.2;73.55;25.65;25.3;21.2;22.86;2540;107;547;69.44;1.59;233;7.9;169.2;5.28;25.45;8.95;14.93;3.11;67.2;42.6;2.43;27.35;285.58;32.72;310.5;10.6;883;12.72;4.25;79.2;56.8;61.1;142;91.5;3.04;87.3;109;53.65
20240319;93000;32.56;94.6;686;112.75;10.515;407.2;38;117;420.2;746.5;13675.4;714.4;8.152;17.25;153.009;7.062;63.57;55.8;47.46;523.5;507;79.2;73.55;25.65;25.3;21.25;22.8;2540;107.2;547;69.6;1.59;232;7.99;166.8;5.31;25.45;8.95;14.97;3.11;67.2;42.8;2.42;27.2;285.58;32.5;310.5;10.55;883;12.72;4.25;79.6;56.8;61.1;142.5;91.5;3.03;87.1;109;53.55
20240319;93500;32.575;94.62;683;112.95;10.515;407.2;38.1;117.2;420.2;747;13655.8;717.4;8.152;17.16;153.099;7.062;63.7;55.8;47.49;523;507;79.2;73.65;25.65;25.3;21.2;22.8;2530;107;547;69.76;1.59;234;8.03;166.8;5.31;25.45;8.96;14.96;3.11;67.2;42.8;2.44;27.2;286.032;32.46;310.5;10.59;883;12.78;4.25;79.6;56.8;61.1;142.5;91.5;3.031;87.1;109;53.5
20240319;94000;32.605;94.42;683;112.6;10.47;407.1;38.02;117.05;420.4;748;13567.4;715.6;8.17;17.16;153.099;7.064;63.73;55.82;47.42;522.5;507;79.2;73.65;25.65;25.3;21.25;22.68;2530;106.2;547;69.48;1.59;232;8.03;166.8;5.31;25.45;8.985;14.96;3.125;67.2;42.74;2.42;27.15;286.032;32.46;310.5;10.54;883;12.78;4.25;80;56.8;61.1;142.5;91.5;3.031;87.1;109;53.4
20240319;94500;32.63;94.44;683;112.45;10.49;406.6;37.99;117.05;420.6;748;13459.4;716.8;8.148;17.14;153.009;7.07;63.75;55.8;47.44;522;507;80;73.65;25.65;25.38;21.25;22.7;2540;106.4;547;69.4;1.582;232;8.04;166.8;5.31;25.4;8.955;14.94;3.125;67.2;42.72;2.42;27.15;284.677;32.46;308;10.5;883;12.72;4.25;79.8;56.8;61.1;142;91.5;3.031;87.1;109.2;53.4
20240319;95000;32.785;94.44;683;112.5;10.45;405.8;37.99;117.2;420.6;744.5;13479.1;718;8.144;17.12;153.099;7.064;63.6;55.8;47.34;522;507;80.6;73.5;25.6;25.38;21.3;22.7;2560;106.6;547;69.2;1.588;234;8.03;166.8;5.29;25.4;8.95;14.93;3.125;67.2;42.66;2.42;27.05;284.677;32.52;310.5;10.5;883;12.72;4.27;80;57;61.1;142.5;91.2;3.03;87.1;109.2;53.4
20240319;95500;32.795;94.08;683;112.35;10.435;405.6;37.94;117.4;420.6;742;13469.2;715;8.122;17.07;152.47;7.06;63.41;55.58;47.24;521;506;80.2;73.55;25.6;25.36;21.3;22.66;2550;106.6;547;69.04;1.616;232;8;166.8;5.3;25.4;8.935;14.92;3.125;67.2;42.62;2.42;27.05;284.677;32.52;310.5;10.49;883;12.72;4.235;79.6;57;61.1;142;91.5;3.03;87.2;109.2;53.4
20240319;100000;32.84;94.02;687;112.3;10.43;405.9;37.99;117.5;418.8;741.5;13253.3;714.2;8.106;17.07;152.291;7.05;63.36;55.58;47.22;521;506;80.2;73.4;25.65;25.38;21.3;22.66;2510;106.6;547;68.68;1.63;234;8.03;166.8;5.3;25.3;8.995;14.92;3.125;67.2;42.58;2.415;27.05;284.677;32.52;310.5;10.45;883;12.7;4.235;78.8;57;61.1;141.5;90.9;3.03;87.1;109.2;53.4
20240319;100500;32.745;94;684;112.05;10.44;406.2;37.97;117.15;418.8;741;13056.9;712.4;8.096;17.03;152.74;7.052;63.22;55.64;47.28;519.5;507;80.2;73.3;25.75;25.4;21.3;22.62;2510;106.6;547;68.7;1.632;234;7.99;167.6;5.3;25.2;8.995;14.93;3.135;67.2;42.48;2.435;27;284.677;32.4;308.5;10.43;883;12.7;4.235;78.6;57;60.9;143;90.8;3.03;87.1;109.2;53.45
20240319;101000;32.66;94.22;684;112.1;10.45;406.8;37.97;117.35;420;742.5;13164.9;713.2;8.08;17.06;153.279;7.056;63.21;55.78;47.32;519.5;507;80.2;73.35;25.65;25.42;21.3;22.66;2510;106.6;547;68.5;1.63;233;8;167.2;5.3;25.2;8.995;14.98;3.135;67.2;42.44;2.435;26.95;284.677;32.46;308.5;10.47;883;12.76;4.235;78.4;57.4;60.9;143;90.7;3.033;87.1;109.2;53.55
20240319;101500;32.56;94.22;688;112.25;10.43;407.1;37.63;117.1;419.8;742;13243.4;712.6;8.066;17.01;153.773;7.056;63.06;55.84;47.32;519.5;507;80.2;73.45;25.75;25.42;21.3;22.62;2520;106.6;543;68.5;1.604;232;8.03;168.8;5.3;25.2;8.995;15;3.1;67.2;42.4;2.43;26.9;284.677;32.38;308.5;10.51;883;12.76;4.24;78.4;57.4;60.9;142.5;90.55;3.032;87.1;109.2;53.45
20240319;102000;32.64;94.16;686;112.3;10.435;408.3;37.7;117.4;420;741.5;13380.9;714.4;8.07;17.06;153.414;7.072;63.15;55.84;47.38;522;507;80.2;73.45;25.75;25.38;21.3;22.6;2530;106.4;543;68.42;1.6;232;8;169;5.3;25.3;8.985;14.98;3.1;67.2;42.34;2.43;26.9;284.677;32.38;311;10.46;883;12.66;4.18;78.2;57.4;60.9;142;90.55;3.039;87.3;109.4;53.4
20240319;102500;32.51;93.96;686;112.35;10.445;408.2;37.79;117.5;421;740;13351.4;715.4;8.068;17.07;153.234;7.066;63.06;55.74;47.35;521.5;507;80.2;73.25;25.75;25.38;21.25;22.6;2550;107;543;68.3;1.586;232;7.97;167.6;5.29;25.3;8.97;15.01;3.1;67.2;42.34;2.42;26.7;284.225;32.46;311;10.43;883;12.66;4.19;78.4;57.4;60.9;142;90.55;3.04;87.1;109.4;53.4
