"data";"czas";"ALE";"ALR";"BDX";"CDR";"CPS";"DNP";"JSW";"KGH";"KRU";"KTY";"LPP";"MBK";"OPL";"PCO";"PEO";"PGE";"PKN";"PKO";"PZU";"SPL";"11B";"ABE";"ACP";"APR";"ASB";"ATC";"ATT";"BFT";"BHW";"CAR";"CCC";"CIG";"CMR";"COG";"DOM";"DVL";"EAT";"ENA";"EUR";"GEA";"GPP";"GPW";"GRX";"HUG";"ING";"LWB";"MBR";"MIL";"NEU";"PKP";"PXM";"RBW";"RVU";"SLV";"SNT";"TEN";"TPE";"TXT";"WPL";"XTB"
20240319;90000;32.055;94.18;698;112.5;10.55;407.2;38.18;117;423.8;750.5;13911;724.4;8.242;17.3;153.054;7.148;63.19;55.5;47.28;525.5;502;80;73.9;25.7;25.3;21.2;23.18;2550;107;540;69.5;1.58;237;8.13;168.8;5.28;25.75;9.14;14.85;3.12;67.2;43;2.4;26.6;286.032;32.6;311;10.5;883;12.6;4.185;80.4;57.5;60.9;145;91;3.05;87.4;112;53.5
20240319;90500;32.43;94.1;684;112.1;10.49;405.9;38.01;117.25;421.2;747;13636.1;717;8.15;17.24;152.74;7.134;62.95;55.48;47.39;522;506;79.4;73.7;25.65;25.3;21.2;22.98;2550;106.2;540;69.52;1.586;237;8.05;166.2;5.27;25.3;9.12;14.9;3.12;67.2;42.84;2.39;27.3;285.129;32.54;308.5;10.49;884;12.6;4.24;79.2;57.4;61;145;91.65;3.038;87.3;110;53.85
20240319;91000;32.545;94.48;682;111.75;10.44;406.1;38.17;116.95;420;746;13665.6;721.4;8.114;17.14;152.56;7.088;63.02;55.62;47.33;524;503;80;73.65;25.6;25.42;21.2;22.8;2520;106.6;540;69.4;1.58;236;8.09;167;5.27;25.4;9.045;14.88;3.11;67.2;42.74;2.43;27.1;284.677;32.42;308.5;10.49;883;12.74;4.215;79.2;57.4;61;143.5;91.75;3.031;87.1;109.4;53.8
20240319;91500;32.43;94.1;682;111.95;10.46;407.4;38.36;116.75;420.4;743;13665.6;718.8;8.114;17.23;152.515;7.06;63.29;55.74;47.38;523;505;79.2;73.65;25.55;25.4;21.2;22.8;2540;106.6;540;69;1.58;230;8.05;169;5.28;25.65;8.945;14.93;3.11;67.2;42.62;2.44;27.1;285.129;32.38;309;10.47;883;12.72;4.25;79;57.4;60.9;142;91.5;3.029;87.3;109.2;53.5
20240319;92000;32.535;94.66;683;112.2;10.485;408.1;38.01;116.6;421;745;13793.2;720.2;8.144;17.21;153.324;7.08;63.36;55.86;47.44;524.5;507;79.2;73.75;25.6;25.4;21.15;22.88;2540;106.6;547;69.52;1.576;232;8.06;169;5.28;25.65;8.975;14.96;3.11;67.2;42.7;2.43;27.3;285.58;32.46;309;10.52;884;12.72;4.245;79.6;56.8;60.9;143;91.5;3.035;87.1;109;53.75
20240319;92500;32.565;94.88;686;112.7;10.49;407.8;38.18;116.8;421.6;746;13773.6;722.2;8.152;17.27;153.684;7.086;63.52;55.86;47.55;526.5;507;79.2;73.75;25.7;25.4;21.2;22.86;2540;107;547;69.78;1.59;233;8.01;169.2;5.28;25.45;8.97;14.94;3.11;67.2;42.66;2.43;27.35;285.58;32.74;310.5;10.6;883;12.72;4.25;79.6;56.8;61.1;142.5;91.5;3.042;87.3;109;53.75
20240319;93000;32.565;94.72;687;112.9;10.545;408.6;38.23;117;420.6;747.5;13822.7;723.8;8.166;17.35;153.594;7.104;63.7;55.94;47.56;526;507;79.2;73.55;25.65;25.3;21.25;22.86;2540;107.2;547;69.7;1.59;232;7.99;166.8;5.31;25.45;8.95;14.97;3.11;67.2;42.8;2.43;27.25;285.58;32.58;310.5;10.59;883;12.72;4.25;79.6;56.8;61.1;142.5;91.5;3.04;87.1;109;53.8
20240319;93500;32.59;94.68;685;113;10.52;407.2;38.1;117.3;420.2;747;13714.7;718.8;8.152;17.25;153.144;7.068;63.7;55.8;47.49;523;507;79.2;73.65;25.65;25.34;21.2;22.8;2540;107;547;69.76;1.59;234;8.03;166.8;5.31;25.45;8.96;14.97;3.11;67.2;42.8;2.44;27.2;286.032;32.5;310.5;10.59;883;12.78;4.25;79.6;56.8;61.1;143;91.5;3.036;87.1;109;53.6
20240319;94000;32.605;94.58;683;113;10.52;407.5;38.12;117.2;421.6;749;13714.7;718.6;8.174;17.19;153.144;7.076;63.92;55.86;47.49;523.5;507;79.2;73.65;25.65;25.3;21.25;22.8;2530;106.8;547;69.74;1.59;234;8.03;166.8;5.31;25.45;8.985;14.98;3.125;67.2;42.78;2.43;27.2;286.032;32.46;310.5;10.55;883;12.8;4.25;80;56.8;61.1;143.5;91.5;3.031;87.1;109;53.6
20240319;94500;32.63;94.44;683;112.5;10.49;407.5;38.03;117.1;420.6;748.5;13577.2;717.2;8.176;17.15;153.189;7.072;63.75;55.82;47.44;522.5;507;80;73.65;25.65;25.38;21.25;22.7;2540;106.4;547;69.42;1.588;232;8.04;166.8;5.31;25.4;8.985;14.97;3.125;67.2;42.76;2.44;27.15;285.129;32.46;308;10.5;883;12.72;4.25;79.8;56.8;61.1;142.5;91.5;3.032;87.1;109.2;53.5
20240319;95000;32.785;94.62;683;112.55;10.485;406.7;38.05;117.4;421.4;749;13538;719.2;8.158;17.22;153.414;7.074;63.86;55.88;47.44;522.5;507;80.6;73.6;25.6;25.4;21.45;22.7;2560;106.6;547;69.2;1.588;234;8.08;166.8;5.29;25.4;8.955;14.94;3.125;67.2;42.74;2.42;27.1;284.677;32.52;310.5;10.5;883;12.72;4.27;80;57;61.1;142.5;91.3;3.038;87.1;109.2;53.5
20240319;95500;32.84;94.42;683;112.6;10.455;405.9;38;117.4;420.6;744;13498.7;717.8;8.136;17.14;153.099;7.064;63.6;55.76;47.34;521.5;506;80.2;73.55;25.6;25.36;21.3;22.72;2550;106.6;547;69.18;1.616;232;8.01;166.8;5.3;25.4;8.96;14.92;3.125;67.2;42.66;2.42;27.05;284.677;32.58;310.5;10.5;883;12.72;4.27;80;57;61.1;142;91.5;3.03;87.2;109.2;53.5
20240319;100000;32.965;94.18;687;112.35;10.435;406.4;37.99;117.55;420.4;743.5;13498.7;715.8;8.13;17.11;152.47;7.06;63.44;55.6;47.25;521.5;506;80.2;73.4;25.65;25.38;21.3;22.66;2530;106.6;547;69.04;1.632;234;8.03;166.8;5.3;25.3;8.995;14.92;3.125;67.2;42.66;2.415;27.05;284.677;32.52;310.5;10.45;883;12.72;4.235;79.4;57;61.1;142;91.3;3.03;87.2;109.2;53.55
