"data";"czas";"ALE";"ALR";"BDX";"CDR";"CPS";"DNP";"JSW";"KGH";"KRU";"KTY";"LPP";"MBK";"OPL";"PCO";"PEO";"PGE";"PKN";"PKO";"PZU";"SPL";"11B";"ABE";"ACP";"APR";"ASB";"ATC";"ATT";"BFT";"BHW";"CAR";"CCC";"CIG";"CMR";"COG";"DOM";"DVL";"EAT";"ENA";"EUR";"GEA";"GPP";"GPW";"GRX";"HUG";"ING";"LWB";"MBR";"MIL";"NEU";"PKP";"PXM";"RBW";"RVU";"SLV";"SNT";"TEN";"TPE";"TXT";"WPL";"XTB"
20240319;90000;51455;6319;371;8721;24289;9637;32845;35359;1256;181;993.1515957675;732;5993;37856;5811.5070420549;41577;18900;19293;23175;427;114;284;694;735;968;214;18286;208;418;5;2644;278;118;1285;194;700;115;6539;574;3;200;1088;69349;2619;289.907790146;17;96;1398;94;1730;8635;992;2;547;665;29;36661;337;1;5764
20240319;90500;64800;410;77;2298;28051;2052;2630;9201;242;73;520.5132978843;78;13356;45480;5560.0422533311;11955;3439;11499;26758;0;2;27;14;1447;1591;0;1139;16;9;0;2879;19138;1;703;13;10;201;0;0;1376;0;1193;88262;1485;99.58664547;115;0;1929;42;0;5938;615;20;31;1243;195;12631;245;90;209
20240319;91000;37475;2479;894;3985;32833;1695;5062;9987;640;270;494.0292553305;298;16211;31004;6889.6901406096;73668;20606;31742;16956;896;2;92;26;231;430;1;0;24;61;0;2083;442;2167;14;9;1914;6;18826;5423;0;0;749;9955;300;0;568;12;4131;0;933;1381;115;0;705;1579;0;28456;130;251;1143
20240319;91500;29772;2345;494;2435;20718;1434;9627;12080;70;74;203.72340426;3173;9720;18388;3766.4084505755;20747;14649;21138;11257;464;39;1;57;729;496;1;0;3;9;0;2813;0;191;350;0;4;0;8522;242;0;138;1032;354;500;29.875993641;1023;13;2;0;0;1010;3;0;0;506;146;11266;125;50;3065
20240319;92000;10770;1305;232;1069;8584;940;2053;12002;103;194;294.3803191557;67;3377;11374;3175.5774646802;9386;7801;20401;8689;381;0;0;136;0;763;880;412;2;475;1;315;1263;186;8678;0;378;0;2381;1270;0;0;1061;300;710;148.273449922;7018;31;4529;29;60;0;165;25;0;717;2;2950;266;0;895
20240319;92500;13822;2444;402;2131;24512;1183;2048;3235;361;139;77.4148936188;85;7777;13400;4271.5633801357;7145;14594;25045;5268;332;0;0;410;228;907;0;187;0;0;0;476;0;80;19999;1;0;16;1267;100;0;0;1387;800;0;16.597774245;43;0;290;0;94;940;67;0;24;1212;0;2671;1;0;448
20240319;93000;30399;305;14;6691;8205;605;6645;3780;86;84;125.2898936199;242;2802;19165;6110.8169011996;12569;44807;15900;4336;250;0;0;120;81;440;151;564;1;1;0;923;0;91;2037;2;8;0;1136;100;0;0;645;2126;1200;11.06518283;222;1;9262;0;6;420;101;0;0;40;0;22597;1534;26;941
20240319;93500;26353;826;104;911;3773;1004;696;1964;173;72;97.7872340448;76;4625;26785;763.2957746218;41111;27095;8970;2672;267;0;0;257;30;324;593;100;11;50;0;74;0;10;149;0;0;0;1050;378;0;0;123;2545;1080;4.426073132;369;0;809;0;391;0;50;0;0;458;0;6330;738;0;305
20240319;94000;9667;865;83;955;21243;1272;3454;1982;173;88;108.9920212791;65;2138;16534;1634.5211267047;16341;8985;6320;3350;458;0;0;2;137;365;0;768;2;530;0;591;0;176;15;0;0;0;150;367;283;0;415;5897;85;0;0;0;2503;0;62;0;300;0;0;20;0;132;0;0;525
20240319;94500;31080;767;22;1502;9488;1700;1547;3784;110;18;360.5904255402;362;3796;17098;5902.7464786715;4763;22399;14459;4175;246;196;541;1;0;501;446;1130;260;215;0;661;808;52;40;4;0;1;5269;10546;0;0;644;6619;300;182.575516695;0;9;1142;0;245;3666;105;0;0;411;0;3557;50;41;145
20240319;95000;31192;763;45;1160;6190;917;3552;3172;143;221;116.1223404282;116;4308;13622;3425.9295773477;9543;10638;14112;5264;68;25;50;291;33;82;114;0;3;3;0;200;35369;0;1053;0;355;160;979;1261;500;0;437;7493;11874;0;2;16;0;0;0;196;12;5;0;412;64;12458;152;0;1458
20240319;95500;18550;722;246;1165;8055;3242;9787;4608;231;58;43.8005319159;199;6062;21511;8940.3521123705;4511;2480;21345;5283;387;106;53;39;346;286;0;1432;39;0;0;3960;65458;137;2173;0;40;0;6695;612;0;0;414;1556;0;11.06518283;1058;4;2148;0;0;3449;401;0;0;146;69;5610;36;0;315
20240319;100000;62760;1219;110;595;12303;1393;4095;3296;778;27;586.7234042688;266;8758;23292;3640.6760562136;18459;7607;14406;3014;641;7;10;292;250;5362;0;316;44;0;0;4467;2017;0;320;0;0;237;0;141;300;0;386;3022;0;0;657;0;103;0;55;0;1359;0;0;276;220;66713;358;0;781
20240319;100500;27731;2030;376;1416;26628;1993;3900;4556;196;254;886.196808531;363;20721;16704;2079.5915492247;13215;15454;11662;12838;1188;1;0;371;1;500;0;1106;0;50;0;2770;100;45;608;33;0;2874;0;3499;817;0;2494;12933;751;0;1292;11;8740;0;500;0;567;0;190;121;44;0;272;0;306
20240319;101000;14940;396;458;837;8520;705;2081;3028;145;132;450.2287234146;248;6251;10006;2884.0563379296;8477;3955;19195;3550;466;6;0;0;50;313;0;84;0;0;0;11477;59;5;1761;40;0;0;0;28736;0;0;472;3400;758;0;0;9;4535;0;3;0;350;1;0;0;31;5319;192;0;424
20240319;101500;12774;1061;130;416;6948;627;36535;4588;178;139;286.2313829853;127;16001;27630;3635.1126759321;7852;8565;14466;7531;653;0;0;1;80;90;0;388;10;0;20;3325;3115;322;2;103;184;0;0;392;8000;0;683;217;218;0;63;0;2131;0;0;1000;0;0;0;709;447;10000;0;0;460
20240319;102000;8713;890;356;812;3820;1371;1906;5359;119;156;346.329787242;247;4320;10026;2714.929577372;2659;8287;10133;2809;795;0;0;0;9;3234;0;280;9;69;0;6294;12448;310;752;0;12;198;4397;3807;0;0;867;201;0;0;88;1;3912;20;653;7230;731;0;0;14;0;7782;62;24;1631
20240319;102500;11510;968;217;548;7129;456;2950;3043;250;251;209.8351063878;310;4004;8379;1727.9859154339;2195;6698;13219;5962;362;0;0;1038;0;433;10;632;4;0;0;2244;8350;30;1210;63;1000;0;2219;507;0;0;450;3550;119;81.882352942;102;0;170;0;318;28;63;0;0;87;3;8093;126;0;1645
20240319;103000;7935;1053;460;1637;15437;1163;1904;3090;391;220;198.6303191535;199;7383;15127;3330.2394365059;6874;9244;7510;10998;529;4;0;1034;85;121;91;580;14;0;0;2562;664;2;19;1;0;455;2547;2579;0;0;14;500;251;260.031796505;121;0;0;0;216;0;2460;0;0;93;104;626;0;0;6967
20240319;103500;2452;457;391;976;6279;746;2063;3376;155;126;100.8430851087;177;25154;59453;880.1267605333;9108;5283;8334;14568;521;11;1;20;102;1695;0;0;32;1;0;137;400;116;118;11;203;1399;500;60;0;0;490;4978;174;1553.551669332;184;0;6510;5;94;1000;30;0;0;40;0;0;0;0;3415
20240319;104000;9241;1818;25;1424;9105;957;3332;751;211;358;180.2952127701;35;7746;35518;2798.3802815945;20964;23952;6420;13116;203;1;0;294;207;40;0;587;19;1;0;310;62;50;694;20;0;112;397;959;10;0;5997;3724;248;111.758346583;250;1;977;0;4;0;270;0;0;266;198;4950;2550;0;337
20240319;104500;13385;904;225;1225;65379;1220;1757;3913;285;133;108.9920212791;381;9205;12638;4487.4225350579;21890;22472;22754;30842;1231;0;0;1176;100;57;0;3035;20;863;0;4867;3589;150;37;230;138;231;7311;816;2000;4000;67;2824;0;229.049284581;0;0;3762;0;158;0;0;0;0;64;3;3274;2059;0;441
20240319;105000;9966;1492;529;573;59043;914;1552;2452;69;79;353.4601063911;381;6491;13691;2842.8873238465;9631;8372;21396;6347;394;0;0;121;710;315;57;470;2;52;0;6156;92;50;13;0;29;863;6167;1304;0;0;1380;1999;56;333.062003183;2;0;4532;0;14;1193;4;0;0;141;30;4304;233;0;86
20240319;105500;6407;1013;122;714;11465;521;3865;4939;116;320;315.771276603;431;5082;13718;832.2816901124;17467;5627;7025;6086;460;0;0;76;0;0;2;0;15;21;0;122;339;140;86;50;0;0;5430;3639;0;0;2643;6415;119;22.13036566;471;5;9379;0;66;2007;0;2;1;65;24;1105;235;0;5906
20240319;110000;14071;2091;160;5970;11400;1626;9070;6050;2194;92;156.8670212802;357;56409;25663;3783.09859142;26302;13748;67510;10141;378;2;0;752;0;3404;0;2697;0;18;0;715;1510;48;1602;0;0;0;4296;885;3329;0;423;43294;914;323.103338636;181;15;7168;0;3699;1000;362;1;0;280;18;15249;1009;0;4449
20240319;110500;19476;1653;185;2692;16504;35;1142;4145;615;288;59.0797872354;18;16162;8558;4365.0281688649;20918;17126;23565;8249;584;29;0;2215;437;19;0;13175;4;30;0;360;2651;73;2850;0;0;0;550;4407;0;0;511;1000;0;1.106518283;1;263;0;0;13;2050;100;0;0;274;10;0;0;0;1648
20240319;111000;10053;1543;371;3428;34499;1154;2281;6460;164;169;247.5239361759;270;8673;27122;3787.5492956452;9872;6386;16305;14179;1057;0;622;589;1000;7860;0;118;3;0;0;3114;9677;55;2032;0;0;0;0;2033;0;0;2054;500;0;1612.197138331;100;0;1480;0;0;0;250;3;111;225;311;54241;147;0;1179
20240319;111500;5614;2353;72;9003;52570;1751;5652;11865;699;255;50.930851065;161;14822;8761;4059.0422533824;2195;4145;28545;30689;387;0;0;874;8;3318;0;100;7;0;0;908;4180;107;23;31;1236;0;453;820;0;0;1;0;258;22.13036566;1747;8;6479;0;0;0;3;0;1;0;483;6050;79;0;1943
20240319;112000;7308;958;314;779;44110;772;11468;14531;176;325;672.287234058;131;5909;6246;2729.3943661039;58739;9015;70007;21021;97;0;1;117;24;1528;669;7052;30;396;1;4179;85;0;269;32;0;2492;1040;3910;0;0;52;1560;0;357.405405409;264;0;9439;0;100;0;595;0;0;53;0;9074;382;25;3927
20240319;112500;13478;1501;277;2010;23318;811;7740;10916;72;0;312.7154255391;548;2970;56185;9215.1830982766;4319;10557;41461;21793;1457;5;0;35;587;600;3502;1983;15;12;11;3159;135;52;1525;0;100;918;666;650;0;62;472;42710;0;2141.112877605;462;0;12122;0;436;2500;150;0;0;131;368;5979;98;0;9828
20240319;113000;15171;3320;917;2583;23877;1907;13330;18966;111;315;123.2526595773;455;40229;9974;4210.3661970392;27313;10473;26175;21665;1731;0;0;164;0;750;41;23;176;0;0;1238;0;5;254;0;0;0;12580;1;0;0;733;7941;552;33.19554849;543;10;5912;0;487;0;0;0;0;309;0;5063;26;0;13079
20240319;113500;32265;2423;409;1919;11457;423;15790;2347;35;64;73.3404255336;179;6681;12019;5502.1830984035;7611;4008;13214;5141;57;0;0;283;0;360;0;815;148;15;0;1417;30;49;1211;0;2;0;3605;0;4;0;1849;0;0;13.278219396;365;25;16812;1;200;1493;0;47;0;126;0;3215;0;0;1814
20240319;114000;41616;992;99;677;24573;291;6647;3045;107;48;50.930851065;85;6475;11686;7799.859154663;13702;3616;8630;5368;948;0;0;302;100;874;443;903;21;13;0;504;0;112;147;2;0;0;1395;0;0;0;250;4020;119;0;281;50;24719;0;0;0;5;0;0;140;0;18070;0;0;754
20240319;114500;29872;2535;25;1359;7814;920;9060;2739;701;447;116.1223404282;402;16258;15281;5186.1830984143;3219;13521;22435;13993;683;28;0;152;0;1491;0;1750;39;0;0;587;0;117;10;38;0;0;3563;1;300;0;74;1000;30;167.084260733;1825;0;3774;0;2;0;143;0;0;0;0;823;20;0;20
20240319;115000;14360;2730;301;808;9170;1202;2605;12564;748;99;59.0797872354;189;7991;22453;3483.7887322753;6102;7576;15479;4841;442;8;0;40;0;1800;82;1155;27;0;10;408;5568;122;100;0;8;0;4270;1085;0;0;46;200;236;59.751987282;0;1;32;0;0;22;786;0;0;70;2;8549;0;0;14
20240319;115500;14626;320;38;819;8838;1229;2144;8402;226;63;107.9734042578;6693;4839;11395;1238.4084506619;8257;4768;6693;9577;25;0;0;89;0;200;2;47;47;0;0;1541;16010;76;782;0;0;0;0;0;3100;0;7;0;0;122.823529413;0;0;1030;0;1563;300;0;0;0;80;53;6844;134;11;2327
20240319;120000;41387;708;442;1917;9878;704;5817;28277;17;20;652.9335106533;416;9514;8971;11254.7183094745;21883;10841;11922;4674;432;0;0;1135;3122;172;974;2903;33;171;1;908;19665;41;4;20;2;0;9137;580;0;9;300;1000;119;16.597774245;0;0;986;0;1250;700;0;76;0;12;126;26594;0;0;1058
20240319;120500;13883;381;229;720;47202;2988;2958;1967;677;157;168.0718085145;36;10298;13858;2855.1267604658;11452;4478;11764;10284;594;0;0;694;10886;570;100;148;18;1460;163;1111;0;52;2;10;0;0;25649;0;0;0;285;0;10;14.384737679;0;10;1811;0;79;0;0;0;5;226;0;604;144;0;6684
20240319;121000;60898;2026;20;228;11899;989;2912;3536;21;42;74.3590425549;281;5453;11988;828.9436619435;8808;1620;5729;3376;229;0;50;44;11546;305;0;5189;52;2338;0;1048;39;0;1630;0;988;5;1901;16099;0;25;103;0;240;53.112877584;12;1;21736;0;0;0;96;0;0;22;3;730;2652;0;5589
20240319;121500;15800;860;208;525;14667;981;8971;4389;1036;120;185.3882978766;245;20745;12169;5793.7042251541;42986;15388;6097;1892;821;7;0;20;523;4;10;624;34;0;0;703;0;44;8243;1;1795;2908;4475;2010;0;0;492;1232;0;59.751987282;246;0;891;0;1681;0;4021;77;15;25;0;6899;751;40;1536
20240319;122000;19601;936;395;683;33540;1180;722;1750;73;178;87.6010638318;173;22122;3820;2347.746478793;19726;43916;40851;8357;2271;10;0;10;1061;5979;0;2277;32;10;0;1188;7018;85;1473;42;2;0;1868;351;0;0;458;3342;830;25.449920509;1600;1;593;0;1;10075;800;0;0;30;0;29263;118;150;1128
