close;open;high;low;vol
73.75;73.9;73.9;73.4;694
73.7;73.7;73.7;73.7;14
73.4;73.65;73.65;73.4;26
73.75;73.65;73.75;73.5;57
73.75;73.75;73.75;73.75;136
73.75;73.75;73.75;73.55;410
73.55;73.55;73.55;73.55;120
73.65;73.65;73.75;73.65;257
73.65;73.65;73.65;73.65;2
73.65;73.65;73.65;73.65;1
73.5;73.6;73.6;73.5;291
73.55;73.55;73.55;73.55;39
73.45;73.4;73.45;73.4;292
73.35;73.35;73.35;73.3;371
73.35;73.35;73.35;73.35;0
73.45;73.45;73.45;73.45;1
73.45;73.45;73.45;73.45;0
73.25;73.45;73.45;73.25;1038
73.15;73.3;73.3;73.15;1034
73.25;73.2;73.25;73.2;20
73.15;73.15;73.15;73.1;294
73.0;73.15;73.2;72.95;1176
72.95;72.9;72.95;72.85;121
73.05;73.0;73.05;72.95;76
72.95;72.95;72.95;72.9;752
72.95;72.95;73.15;72.95;2215
72.9;72.9;72.9;72.8;589
72.8;72.9;72.9;72.8;874
72.7;72.75;72.8;72.7;117
72.8;72.8;72.8;72.8;35
72.85;72.75;72.85;72.7;164
72.85;72.85;72.85;72.8;283
72.75;72.8;72.8;72.75;302
72.7;72.75;72.75;72.7;152
72.8;72.8;72.8;72.8;40
72.8;72.8;72.8;72.8;89
72.65;72.75;72.75;72.65;1135
72.6;72.6;72.6;72.5;694
72.6;72.5;72.6;72.5;44
72.5;72.5;72.5;72.5;20
72.5;72.5;72.5;72.5;10
72.5;72.5;72.5;72.45;776
72.4;72.5;72.5;72.4;438
72.4;72.4;72.4;72.4;0
72.55;72.55;72.55;72.55;2
72.45;72.45;72.55;72.4;1009
72.35;72.45;72.45;72.35;136
72.35;72.35;72.45;72.35;209
72.4;72.35;72.4;72.3;252
72.45;72.45;72.45;72.45;162
72.45;72.45;72.45;72.45;70
72.15;72.45;72.45;72.15;3874
72.3;72.25;72.3;72.1;451
72.6;72.3;72.6;72.2;1099
72.4;72.4;72.4;72.4;4
72.4;72.4;72.4;72.4;0
72.5;72.65;72.65;72.5;375
72.55;72.45;72.55;72.45;392
72.4;72.55;72.55;72.4;499
72.4;72.35;72.4;72.3;239
72.45;72.3;72.45;72.3;339
72.15;72.35;72.35;72.15;2361
72.3;72.15;72.3;72.15;529
72.4;72.35;72.45;72.35;658
72.45;72.4;72.45;72.4;85
72.3;72.35;72.35;72.3;318
72.4;72.3;72.4;72.3;74
72.25;72.35;72.35;72.2;1018
72.15;72.2;72.25;72.05;1075
72.2;72.15;72.2;72.15;670
72.1;72.1;72.15;72.1;413
72.1;72.2;72.2;72.1;1108
72.15;72.15;72.15;72.15;181
72.15;72.1;72.15;72.1;302
72.15;72.15;72.15;72.15;159
72.15;72.15;72.15;72.15;0
72.2;72.15;72.2;72.1;929
72.2;72.2;72.2;72.2;3
72.1;72.1;72.2;72.05;581
72.15;72.15;72.15;72.15;4
72.05;72.1;72.1;72.0;4471
72.25;72.05;72.25;72.05;1348
72.3;72.35;72.45;72.25;1159
72.35;72.35;72.45;72.35;359
72.4;72.4;72.4;72.4;40
72.6;72.4;72.6;72.4;940
72.75;72.65;72.75;72.65;1260
72.9;72.8;72.9;72.8;494
72.85;72.8;72.85;72.75;876
72.85;72.9;72.9;72.85;386
73.15;72.95;73.15;72.95;551
73.15;73.1;73.15;73.05;1067
73.35;73.0;73.4;72.95;4077
73.7;73.35;74.4;73.35;40330
73.4;73.7;73.7;73.4;376
72.85;73.4;73.4;72.85;752
73.25;73.0;73.25;72.95;381
73.0;72.9;73.05;72.9;859
73.0;73.0;73.0;73.0;13
72.8;73.0;73.0;72.8;648
72.95;72.8;72.95;72.8;151
72.8;72.8;72.8;72.8;4
72.9;72.8;72.95;72.8;562
73.15;72.8;73.15;72.8;1064
73.3;73.15;73.3;73.1;679
73.65;73.45;73.65;73.45;608
73.6;73.65;73.7;73.45;457
73.65;73.6;73.65;73.6;189
73.4;73.65;73.65;73.3;1217
73.7;73.5;73.7;73.5;118
73.55;73.65;73.65;73.5;650
73.3;73.5;73.5;73.3;404
73.3;73.3;73.3;73.3;0
73.35;73.35;73.35;73.35;258
73.35;73.35;73.35;73.35;0
73.15;73.15;73.15;73.15;23
73.4;73.3;73.4;73.3;476
73.45;73.3;73.5;73.3;615
73.55;73.4;73.55;73.4;1004
73.45;73.45;73.45;73.45;5
73.55;73.45;73.55;73.45;4
73.35;73.55;73.55;73.35;512
73.3;73.3;73.3;73.25;273
73.4;73.25;73.4;73.25;665
73.5;73.5;73.5;73.5;210
73.45;73.45;73.45;73.45;59
73.45;73.45;73.45;73.45;0
73.45;73.45;73.45;73.45;0
73.4;73.5;73.5;73.3;1216
73.45;73.4;73.45;73.4;232
73.6;73.4;73.6;73.4;56
73.6;73.6;73.6;73.6;0
73.5;73.5;73.5;73.35;554
73.5;73.5;73.5;73.5;0
73.35;73.45;73.45;73.35;405
73.35;73.35;73.35;73.35;0
73.55;73.35;73.55;73.35;572
73.45;73.45;73.45;73.45;1
73.45;73.45;73.45;73.45;0
73.25;73.45;73.45;73.25;5933
73.1;73.2;73.35;73.1;375
73.3;73.2;73.35;73.2;426
73.45;73.4;73.45;73.4;67
73.35;73.35;73.35;73.35;20
73.35;73.45;73.5;73.35;1150
73.3;73.3;73.3;73.3;25
73.3;73.3;73.3;73.3;57
73.3;73.3;73.3;73.3;0
73.45;73.3;73.45;73.3;26
73.45;73.45;73.45;73.45;0
73.4;73.35;73.4;73.35;312
73.3;73.3;73.3;73.3;94
73.6;73.4;73.6;73.4;2128
73.55;73.6;73.75;73.55;242
73.75;73.75;73.75;73.75;13
73.75;73.7;73.75;73.65;1116
73.85;73.75;73.85;73.75;310
73.7;73.85;73.85;73.7;487
73.75;73.8;73.85;73.75;292
73.9;73.85;73.9;73.85;153
73.7;73.8;73.8;73.7;798
73.45;73.65;73.65;73.45;280
73.55;73.6;73.6;73.55;304
73.65;73.55;73.7;73.55;248
73.65;73.65;73.65;73.65;110
73.65;73.6;73.65;73.55;614
73.25;73.55;73.55;73.25;590
73.2;73.25;73.25;73.2;392
73.4;73.2;73.4;73.2;621
73.55;73.5;73.65;73.45;518
73.55;73.55;73.55;73.55;0
73.45;73.65;73.7;73.45;1738
73.6;73.6;73.6;73.6;5
73.45;73.45;73.45;73.45;368
73.4;73.4;73.55;73.4;135
73.4;73.55;73.55;73.4;212
73.4;73.45;73.55;73.4;451
73.45;73.45;73.45;73.45;686
73.6;73.45;73.6;73.4;861
73.8;73.8;73.8;73.8;30
73.75;73.8;73.85;73.75;293
73.5;73.85;73.85;73.5;964
73.65;73.55;73.65;73.55;272
73.55;73.7;73.7;73.35;873
73.45;73.55;73.55;73.45;168
73.3;73.5;73.55;73.3;756
73.4;73.3;73.5;73.3;1480
73.1;73.3;73.3;72.85;7753
74.0;73.5;74.35;73.5;1177
74.4;74.15;74.55;74.15;745
74.6;74.35;74.6;74.2;389
74.4;74.6;74.65;74.3;1355
74.5;74.45;74.5;74.45;105
74.65;74.6;74.7;74.5;489
74.65;74.65;74.75;74.6;1048
74.9;74.75;74.95;74.75;803
75.0;74.95;75.0;74.95;382
75.35;75.0;75.35;75.0;2251
75.25;75.35;75.35;75.15;834
75.4;75.3;75.4;75.2;608
75.15;75.35;75.35;75.1;1153
75.55;75.2;75.55;75.15;1605
75.45;75.55;75.6;75.45;993
75.55;75.5;75.55;75.45;493
75.5;75.5;75.5;75.5;172
75.55;75.55;75.55;75.55;142
75.5;75.55;75.55;75.5;707
75.55;75.55;75.65;75.55;1388
75.5;75.6;75.6;75.5;970
75.6;75.5;75.6;75.45;1335
75.6;75.5;75.6;75.5;60
75.6;75.55;75.6;75.55;130
75.5;75.55;75.55;75.5;116
75.55;75.5;75.55;75.5;598
75.7;75.6;75.7;75.6;888
75.7;75.7;75.7;75.7;415
75.85;75.75;75.85;75.75;437
75.95;75.85;76.0;75.85;1258
76.1;76.0;76.1;76.0;1468
76.2;76.1;76.2;76.0;3795
76.2;76.2;76.3;76.15;825
76.2;76.2;76.3;76.15;604
76.2;76.2;76.2;76.15;506
76.25;76.2;76.3;76.15;782
76.3;76.2;76.3;76.2;648
76.25;76.3;76.5;76.25;2712
76.3;76.3;76.3;76.2;312
76.45;76.3;76.5;76.3;719
76.45;76.4;76.45;76.4;231
76.5;76.45;76.5;76.4;283
76.4;76.5;76.5;76.35;303
76.45;76.45;76.5;76.45;210
76.5;76.45;76.55;76.45;1794
76.5;76.5;76.5;76.5;202
76.55;76.5;76.55;76.4;1267
76.55;76.5;76.55;76.45;451
76.6;76.5;76.6;76.5;1559
76.6;76.65;76.65;76.55;383
76.5;76.65;76.65;76.45;891
76.55;76.5;76.55;76.4;334
76.5;76.55;76.55;76.5;261
76.55;76.5;76.55;76.5;313
76.55;76.55;76.55;76.55;215
76.5;76.5;76.5;76.4;958
76.5;76.4;76.55;76.4;561
76.4;76.5;76.5;76.35;1098
76.6;76.4;76.6;76.4;376
76.6;76.55;76.6;76.5;250
76.5;76.6;76.6;76.5;686
76.55;76.5;76.55;76.5;715
76.55;76.55;76.55;76.5;295
76.55;76.55;76.55;76.45;294
76.5;76.55;76.6;76.5;441
76.4;76.5;76.55;76.35;671
76.6;76.4;76.6;76.4;4224
76.5;76.6;76.6;76.5;1761
76.5;76.55;76.55;76.45;1027
76.5;76.5;76.5;76.45;293
76.5;76.5;76.5;76.4;590
76.3;76.5;76.5;76.3;477
76.4;76.4;76.45;76.35;439
76.45;76.45;76.5;76.35;1994
76.4;76.45;76.5;76.4;785
76.5;76.5;76.5;76.4;563
76.6;76.5;76.6;76.4;1709
76.5;76.6;76.6;76.5;514
76.6;76.55;76.65;76.5;2536
76.7;76.65;76.7;76.65;303
76.9;76.75;76.9;76.5;2905
77.0;76.9;77.0;76.8;3331
77.05;77.0;77.15;76.8;12377
77.05;77.05;77.05;76.95;735
77.1;77.05;77.15;77.0;436
77.15;77.1;77.15;77.05;1511
77.2;77.15;77.2;77.1;1051
77.15;77.2;77.2;77.1;1300
77.25;77.2;77.25;77.2;409
77.2;77.25;77.3;77.2;1638
77.15;77.3;77.3;77.15;1454
77.3;77.15;77.3;77.15;1313
77.2;77.3;77.35;77.2;1551
77.0;77.3;77.35;77.0;4926
76.35;76.55;76.9;76.35;714
76.55;76.4;76.6;76.35;143
76.55;76.55;76.7;76.55;664
76.6;76.75;76.75;76.6;99
76.6;76.8;76.8;76.6;47
76.55;76.6;76.6;76.55;378
76.3;76.5;76.5;76.25;757
76.15;76.3;76.45;76.15;1084
76.35;76.2;76.35;76.2;506
76.35;76.35;76.35;76.35;100
76.55;76.45;76.55;76.45;156
76.45;76.45;76.45;76.45;13
76.7;76.55;76.7;76.55;183
76.75;76.75;76.75;76.75;30
76.7;76.7;76.7;76.7;9
76.55;76.6;76.65;76.55;174
76.5;76.6;76.65;76.5;114
76.5;76.5;76.5;76.5;0
76.6;76.45;76.6;76.45;702
76.65;76.55;76.65;76.55;92
76.65;76.7;76.7;76.65;289
76.55;76.55;76.55;76.55;151
76.4;76.4;76.4;76.4;9
76.55;76.5;76.6;76.5;1374
76.85;76.6;76.9;76.6;907
76.75;76.8;76.9;76.75;338
76.75;76.75;76.75;76.7;219
76.75;76.75;76.75;76.75;0
76.75;76.75;76.75;76.75;0
76.6;76.65;76.65;76.6;269
76.55;76.65;76.7;76.55;210
76.55;76.55;76.55;76.55;28
76.5;76.55;76.55;76.5;375
76.8;76.45;76.8;76.45;2210
76.7;76.6;76.7;76.6;896
76.7;76.7;76.7;76.6;464
76.6;76.6;76.6;76.6;91
76.6;76.6;76.6;76.6;86
76.6;76.6;76.6;76.6;25
76.6;76.6;76.6;76.6;277
76.5;76.6;76.6;76.5;313
76.4;76.5;76.5;76.35;714
76.4;76.4;76.4;76.4;0
76.4;76.4;76.4;76.4;90
76.65;76.45;76.65;76.45;720
76.55;76.65;76.65;76.55;322
76.55;76.55;76.55;76.55;76
76.55;76.55;76.55;76.55;13
76.45;76.45;76.45;76.45;472
76.35;76.45;76.55;76.1;9506
76.35;76.35;76.35;76.35;52
76.5;76.35;76.5;76.35;745
76.55;76.55;76.55;76.55;221
76.55;76.55;76.55;76.55;0
76.45;76.45;76.45;76.45;161
76.7;76.55;76.8;76.5;1695
76.75;76.75;76.8;76.75;373
76.75;76.75;76.75;76.75;0
76.85;76.85;76.85;76.85;9
76.7;76.75;76.75;76.7;792
76.85;76.7;76.85;76.7;328
76.85;76.75;76.85;76.75;130
76.75;76.75;76.75;76.75;32
77.15;76.8;77.2;76.8;2821
77.0;77.0;77.0;77.0;50
76.8;77.0;77.1;76.6;2668
76.8;76.85;77.0;76.8;1040
76.8;76.65;76.95;76.55;4780
76.9;76.9;76.9;76.85;465
76.7;76.8;76.8;76.7;465
76.75;76.7;76.75;76.7;192
76.9;76.8;76.9;76.75;1387
76.9;76.9;76.9;76.85;486
76.85;76.85;76.85;76.85;44
76.85;76.85;76.85;76.85;0
76.75;76.85;76.85;76.75;712
76.75;76.9;76.9;76.75;121
76.85;76.65;76.9;76.65;47
76.85;76.7;76.85;76.7;121
76.65;76.7;76.7;76.65;266
76.7;76.75;76.85;76.7;1488
76.7;76.7;76.7;76.7;58
76.5;76.6;76.6;76.5;373
76.4;76.5;76.55;76.4;464
76.4;76.4;76.4;76.4;306
76.75;76.5;76.8;76.5;1267
76.65;76.65;76.65;76.65;31
76.5;76.55;76.55;76.5;141
76.5;76.5;76.5;76.35;1311
75.85;76.4;76.4;75.85;7572
75.75;75.8;75.9;75.7;2865
76.1;75.9;76.35;75.8;3510
76.15;75.95;76.3;75.95;1386
76.1;76.2;76.3;76.1;5990
76.15;76.1;76.2;75.9;216
76.05;76.05;76.05;76.05;42
75.95;76.05;76.05;75.9;36
75.65;76.0;76.05;75.65;399
75.65;75.65;75.65;75.65;0
75.9;75.8;75.9;75.8;414
76.45;76.05;76.8;76.05;937
76.5;76.5;76.5;76.45;172
76.45;76.35;76.55;76.35;957
76.75;76.55;76.75;76.55;375
76.6;76.65;76.65;76.55;285
76.6;76.6;76.6;76.6;6
76.7;76.6;76.7;76.6;57
76.7;76.8;76.8;76.65;400
76.7;76.7;76.7;76.7;0
76.7;76.7;76.7;76.7;0
76.55;76.55;76.55;76.55;6
76.55;76.55;76.6;76.45;514
76.45;76.6;76.6;76.45;186
76.6;76.6;76.6;76.6;15
76.35;76.6;76.6;76.3;484
76.85;76.4;77.0;76.4;28074
76.95;76.95;76.95;76.95;63
76.85;76.95;76.95;76.8;762
76.9;76.8;76.9;76.75;298
76.8;76.9;76.9;76.8;377
76.85;76.85;76.85;76.75;345
76.8;76.8;76.9;76.8;66
76.9;76.8;76.9;76.8;257
76.9;76.8;76.9;76.8;186
76.95;76.9;76.95;76.9;241
77.05;77.0;77.05;77.0;560
76.95;77.0;77.1;76.95;264
77.0;76.95;77.0;76.95;120
77.05;77.05;77.05;77.05;2
77.05;77.05;77.05;77.05;3
76.95;76.9;76.95;76.85;450
76.85;76.85;76.85;76.85;4
76.85;76.85;76.85;76.85;343
76.9;76.85;76.9;76.75;411
76.9;76.9;76.9;76.9;5
77.0;76.9;77.0;76.9;337
76.9;76.9;76.9;76.9;14
76.8;77.0;77.0;76.8;361
76.9;76.85;76.9;76.85;404
77.0;76.95;77.0;76.95;219
77.05;77.0;77.05;77.0;338
76.9;77.0;77.05;76.9;1140
77.0;76.95;77.0;76.95;205
76.8;76.95;76.95;76.8;342
76.75;76.85;76.95;76.75;1292
76.75;76.75;76.75;76.75;50
76.8;76.8;76.8;76.8;137
76.75;76.75;76.75;76.75;9
76.8;76.75;76.8;76.75;409
76.7;76.7;76.7;76.7;69
76.7;76.7;76.7;76.7;20
76.75;76.8;76.8;76.7;232
76.75;76.75;76.75;76.75;0
76.7;76.7;76.8;76.65;591
76.75;76.65;76.75;76.65;35
76.75;76.75;76.75;76.75;0
76.65;76.7;76.75;76.65;272
76.75;76.7;76.75;76.7;139
76.55;76.65;76.65;76.55;996
76.65;76.6;76.7;76.45;4204
76.65;76.65;76.65;76.65;125
76.6;76.6;76.6;76.6;50
76.45;76.6;76.6;76.3;2009
76.65;76.5;76.8;76.5;2024
76.65;76.65;76.65;76.65;0
76.95;76.75;77.15;76.65;11732
77.0;77.05;77.15;77.0;739
77.0;77.05;77.05;76.95;392
77.3;77.0;77.4;77.0;11184
77.2;77.35;77.35;77.2;1080
77.1;77.2;77.2;77.1;284
77.25;77.1;77.25;77.1;833
77.25;77.3;77.35;77.25;188
77.1;77.2;77.2;77.1;653
77.1;77.15;77.15;77.1;138
77.2;77.1;77.3;77.0;3184
77.3;77.2;77.3;77.05;2268
77.2;77.35;77.35;77.2;910
77.2;77.15;77.2;77.05;1626
77.2;77.2;77.2;77.2;381
77.3;77.2;77.3;77.2;673
77.2;77.2;77.2;77.2;192
77.2;77.2;77.2;77.1;714
77.2;77.2;77.25;77.2;715
77.05;77.2;77.2;77.05;1463
77.0;77.0;77.05;76.9;1541
77.05;77.0;77.05;76.95;802
77.2;77.05;77.2;76.85;10546
77.6;77.2;77.7;77.2;1850
77.5;77.5;77.5;77.5;46
77.3;77.3;77.3;77.3;1
77.3;77.2;77.3;77.15;672
77.35;77.3;77.35;77.3;59
77.3;77.4;77.4;77.3;38
77.2;77.3;77.3;77.2;133
77.4;77.2;77.4;77.2;213
77.45;77.45;77.45;77.45;80
77.45;77.45;77.45;77.45;0
77.4;77.35;77.45;77.35;540
77.4;77.4;77.4;77.4;0
77.6;77.45;77.6;77.45;778
77.2;77.45;77.45;77.2;570
77.35;77.35;77.35;77.35;20
77.35;77.3;77.35;77.15;892
77.35;77.35;77.35;77.35;0
77.45;77.4;77.5;77.3;730
77.35;77.4;77.4;77.3;1521
77.45;77.2;77.45;77.15;1230
77.45;77.45;77.45;77.4;324
77.45;77.5;77.5;77.45;202
77.55;77.5;77.55;77.5;100
77.55;77.55;77.55;77.55;3
77.45;77.45;77.5;77.4;731
77.45;77.45;77.45;77.45;30
77.45;77.5;77.5;77.45;124
77.45;77.35;77.45;77.35;224
77.45;77.45;77.45;77.45;19
77.35;77.35;77.35;77.35;66
77.3;77.35;77.4;77.3;455
77.6;77.25;77.6;77.25;811
77.45;77.55;77.55;77.4;335
77.35;77.35;77.35;77.35;100
77.3;77.3;77.3;77.3;2
77.4;77.4;77.4;77.4;428
77.3;77.3;77.3;77.3;60
77.25;77.25;77.25;77.25;2
77.2;77.25;77.3;77.2;826
77.1;77.15;77.15;77.1;399
77.25;77.25;77.25;77.25;244
77.25;77.3;77.35;77.25;655
77.3;77.3;77.3;77.3;100
77.4;77.4;77.4;77.4;1
77.5;77.4;77.5;77.4;488
77.55;77.5;77.55;77.5;451
77.5;77.45;77.5;77.45;93
77.7;77.5;77.7;77.5;1032
77.7;77.65;77.7;77.65;34
77.55;77.6;77.7;77.45;1043
77.45;77.45;77.45;77.45;143
77.55;77.45;77.55;77.45;278
77.35;77.5;77.5;77.35;620
77.35;77.35;77.35;77.35;0
77.5;77.5;77.5;77.5;1
77.5;77.45;77.5;77.35;573
77.4;77.4;77.4;77.4;59
77.4;77.4;77.4;77.4;0
77.35;77.35;77.35;77.35;558
77.4;77.4;77.4;77.4;138
77.4;77.4;77.4;77.4;0
77.35;77.4;77.4;77.35;331
77.3;77.3;77.3;77.3;150
77.3;77.3;77.3;77.3;26
77.45;77.45;77.45;77.45;1
77.3;77.3;77.35;77.3;220
77.2;77.15;77.25;77.15;196
77.2;77.2;77.3;77.2;1143
77.2;77.2;77.2;77.2;0
77.15;77.2;77.2;77.15;647
77.15;77.1;77.15;77.1;63
77.2;77.1;77.2;76.9;2569
77.2;77.2;77.25;77.2;148
77.2;77.2;77.2;77.2;0
77.1;77.1;77.1;77.1;234
77.3;77.2;77.3;77.2;787
77.35;77.35;77.4;77.35;711
77.3;77.3;77.3;77.3;1
77.15;77.35;77.35;77.15;773
77.35;77.25;77.4;77.25;1227
77.3;77.3;77.35;77.3;302
77.25;77.3;77.3;77.25;106
77.45;77.25;77.45;77.2;1459
77.7;77.5;77.75;77.5;3888
77.65;77.65;77.75;77.65;701
77.55;77.6;77.6;77.5;1403
77.6;77.65;77.65;77.6;249
77.75;77.6;77.75;77.55;810
77.7;77.7;77.7;77.55;227
77.6;77.6;77.7;77.6;486
77.85;77.6;77.85;77.6;1931
77.65;77.75;77.8;77.65;1148
77.8;77.6;77.85;77.6;1797
77.7;77.7;77.85;77.65;3712
77.95;77.9;77.95;77.75;441
77.9;77.95;77.95;77.9;55
77.85;77.75;77.85;77.75;247
77.85;77.85;77.95;77.85;543
77.95;77.85;77.95;77.85;58
77.85;77.95;77.95;77.8;292
77.85;77.85;77.9;77.85;500
77.8;77.85;77.85;77.8;100
77.95;77.9;78.0;77.9;1721
77.8;77.8;77.8;77.8;250
77.8;77.8;77.8;77.8;117
77.7;77.75;77.85;77.7;355
77.6;77.6;77.6;77.6;85
77.6;77.6;77.6;77.6;0
77.7;77.75;77.75;77.7;62
77.55;77.6;77.75;77.55;1026
77.85;77.85;77.85;77.85;2
77.85;77.85;77.85;77.85;500
77.85;77.85;77.85;77.85;0
77.8;77.8;77.8;77.8;1
77.65;77.65;77.65;77.6;144
77.65;77.65;77.65;77.65;0
77.55;77.6;77.6;77.55;246
77.35;77.5;77.5;77.35;308
77.35;77.35;77.35;77.35;0
77.45;77.3;77.45;77.25;704
77.6;77.6;77.6;77.6;8
77.6;77.45;77.6;77.45;14
77.6;77.6;77.6;77.6;0
77.6;77.55;77.6;77.55;620
77.65;77.65;77.65;77.65;133
77.65;77.65;77.65;77.65;0
77.65;77.65;77.65;77.65;3
77.65;77.65;77.65;77.65;0
77.65;77.65;77.65;77.65;0
77.65;77.65;77.65;77.65;0
77.5;77.5;77.65;77.5;334
77.5;77.5;77.5;77.5;0
77.5;77.5;77.5;77.5;0
77.4;77.4;77.4;77.4;10
77.4;77.4;77.4;77.4;0
77.45;77.45;77.45;77.45;201
77.5;77.45;77.5;77.45;469
77.6;77.6;77.6;77.6;50
77.6;77.6;77.6;77.6;0
77.45;77.6;77.6;77.45;301
77.45;77.45;77.45;77.45;0
77.45;77.45;77.45;77.45;0
77.6;77.6;77.6;77.6;87
77.6;77.6;77.6;77.6;0
77.45;77.45;77.45;77.45;1
77.45;77.45;77.45;77.45;0
77.45;77.45;77.45;77.45;1
77.35;77.5;77.5;77.35;547
77.25;77.4;77.45;77.25;477
77.5;77.35;77.5;77.3;1017
77.4;77.55;77.65;77.4;876
77.4;77.4;77.4;77.4;0
77.5;77.5;77.5;77.5;6
77.35;77.35;77.35;77.35;105
77.35;77.35;77.35;77.35;109
77.35;77.35;77.35;77.35;0
77.25;77.3;77.35;76.75;4950
77.2;77.25;77.25;77.15;877
77.1;77.2;77.25;76.9;2222
77.0;77.0;77.0;77.0;118
77.1;77.0;77.25;77.0;1426
77.1;77.1;77.1;77.1;1
77.0;77.1;77.1;76.85;1040
76.95;77.0;77.0;76.95;262
77.0;76.8;77.0;76.75;861
77.0;76.85;77.0;76.8;285
76.9;76.85;76.9;76.6;1199
76.7;76.7;76.7;76.7;49
76.85;76.7;76.85;76.7;212
76.9;76.8;76.9;76.8;169
76.8;76.9;76.9;76.8;117
76.8;76.8;76.8;76.8;2
76.9;76.8;76.9;76.8;1317
76.95;76.9;76.95;76.9;462
76.85;77.0;77.35;76.8;3927
76.85;76.85;76.85;76.85;0
76.85;76.85;76.85;76.85;106
76.85;76.85;76.85;76.85;154
76.95;76.9;76.95;76.9;210
76.9;76.95;76.95;76.9;159
76.9;76.9;76.9;76.9;22
76.9;76.8;77.05;76.75;2794
76.8;77.0;77.05;76.7;5408
76.7;76.7;76.85;76.55;3184
76.55;76.7;76.7;76.55;379
76.85;76.6;76.95;76.6;2100
77.0;76.7;77.15;76.7;3963
77.1;77.0;77.1;76.9;10588
78.05;77.8;78.45;77.5;1428
78.3;77.9;78.3;77.8;676
78.1;78.15;78.15;77.85;761
77.95;78.0;78.0;77.65;828
78.3;78.05;78.3;78.0;558
78.25;78.25;78.25;78.15;487
78.3;78.2;78.3;77.95;571
78.35;78.3;78.35;78.15;963
78.35;78.35;78.35;78.25;516
78.5;78.35;78.5;78.3;2489
78.5;78.55;78.65;78.5;1814
78.6;78.55;78.65;78.5;955
78.65;78.6;78.65;78.55;1123
78.6;78.65;78.7;78.55;1147
78.6;78.6;78.6;78.55;310
78.6;78.6;78.65;78.6;3532
78.65;78.55;78.65;78.55;444
78.55;78.65;78.65;78.55;1011
78.55;78.65;78.65;78.55;855
78.2;78.55;78.55;78.2;1371
78.4;78.15;78.45;78.15;1289
78.25;78.4;78.45;78.25;551
78.05;78.2;78.2;77.95;998
78.05;78.1;78.1;78.05;269
78.0;78.1;78.15;77.9;868
77.85;77.95;77.95;77.85;510
77.7;77.85;77.85;77.7;1479
77.75;77.75;77.85;77.75;201
77.65;77.8;77.8;77.6;641
78.0;77.7;78.0;77.65;1660
78.15;78.1;78.15;78.05;482
78.1;78.15;78.2;78.1;1179
78.15;78.1;78.15;78.05;395
78.35;78.1;78.35;78.05;791
78.35;78.35;78.35;78.3;279
78.25;78.4;78.4;78.25;554
78.15;78.15;78.25;78.15;402
78.05;78.25;78.25;78.05;312
78.0;78.1;78.15;78.0;394
