close;open;high;low;vol
32.45;32.055;32.47;31.785;51455
32.49;32.43;32.815;32.41;64800
32.44;32.545;32.735;32.4;37475
32.53;32.43;32.67;32.39;29772
32.55;32.535;32.585;32.44;10770
32.57;32.565;32.585;32.5;13822
32.595;32.565;32.695;32.56;30399
32.62;32.59;32.75;32.575;26353
32.625;32.605;32.67;32.605;9667
32.785;32.63;32.87;32.63;31080
32.83;32.785;32.905;32.785;31192
32.96;32.84;32.97;32.795;18550
32.915;32.965;33.0;32.84;62760
32.76;32.92;32.995;32.745;27731
32.685;32.745;32.835;32.66;14940
32.64;32.68;32.7;32.56;12774
32.695;32.64;32.72;32.64;8713
32.515;32.655;32.675;32.51;11510
32.52;32.51;32.565;32.5;7935
32.59;32.495;32.59;32.495;2452
32.54;32.57;32.57;32.525;9241
32.53;32.525;32.57;32.49;13385
32.61;32.55;32.61;32.55;9966
32.66;32.62;32.7;32.62;6407
32.475;32.66;32.66;32.44;14071
32.465;32.505;32.535;32.46;19476
32.51;32.47;32.57;32.46;10053
32.505;32.56;32.565;32.505;5614
32.45;32.525;32.525;32.44;7308
32.305;32.46;32.475;32.305;13478
32.285;32.35;32.4;32.225;15171
32.475;32.285;32.48;32.285;32265
32.28;32.475;32.475;32.28;41616
32.32;32.28;32.32;32.22;29872
32.38;32.34;32.41;32.335;14360
32.425;32.38;32.46;32.38;14626
32.5;32.435;32.52;32.425;41387
32.505;32.505;32.52;32.5;13883
32.57;32.505;32.67;32.455;60898
32.46;32.585;32.585;32.395;15800
32.375;32.42;32.44;32.375;19601
32.35;32.375;32.39;32.33;3712
32.1;32.35;32.395;32.035;166771
32.1;32.14;32.21;32.1;7582
32.23;32.105;32.295;32.1;16049
32.28;32.23;32.3;32.23;10621
32.25;32.28;32.29;32.25;4911
32.21;32.27;32.28;32.16;9487
32.085;32.165;32.165;32.05;12140
32.12;32.06;32.125;32.05;33163
32.08;32.11;32.125;32.06;15961
32.06;32.11;32.11;32.05;19830
31.925;32.06;32.06;31.915;25265
32.01;31.925;32.055;31.925;9244
32.015;32.03;32.08;31.99;16984
32.0;32.005;32.025;32.0;6101
32.0;32.02;32.025;31.985;11184
32.06;31.985;32.06;31.965;16732
32.01;32.04;32.06;31.98;14966
32.02;32.01;32.025;31.985;6337
31.89;32.005;32.03;31.89;16767
31.78;31.88;31.91;31.76;20942
31.81;31.79;31.845;31.79;4028
31.75;31.84;31.84;31.735;17347
31.75;31.75;31.775;31.715;20902
31.62;31.73;31.77;31.62;20712
31.61;31.625;31.635;31.565;23581
31.56;31.61;31.685;31.535;23681
31.475;31.54;31.56;31.45;62588
31.38;31.47;31.475;31.365;27140
31.44;31.365;31.485;31.365;20428
31.455;31.435;31.645;31.43;42137
31.43;31.46;31.46;31.37;28265
31.38;31.43;31.43;31.37;19955
31.395;31.37;31.52;31.355;23178
31.29;31.38;31.38;31.29;34154
31.375;31.29;31.385;31.28;19856
31.315;31.37;31.395;31.28;31912
31.495;31.315;31.495;31.315;14061
31.555;31.49;31.605;31.425;21902
31.615;31.59;31.64;31.495;28272
31.605;31.62;31.72;31.595;31563
31.645;31.61;31.645;31.55;27734
31.26;31.62;31.64;31.26;79644
31.225;31.275;31.305;31.2;29159
31.46;31.25;31.46;31.25;22900
31.515;31.46;31.515;31.39;26326
31.56;31.52;31.635;31.51;28599
31.73;31.555;31.74;31.54;34604
31.785;31.73;31.93;31.705;34665
31.84;31.8;31.84;31.655;65392
31.65;31.86;31.87;31.65;39479
31.53;31.67;31.67;31.445;126056
31.635;31.52;31.66;31.46;717882
31.72;31.7;31.75;31.51;12460
31.745;31.72;31.845;31.72;2571
31.85;31.75;31.895;31.725;8960
31.765;31.84;31.895;31.68;9535
31.77;31.735;31.77;31.725;2705
32.015;31.77;32.015;31.77;18919
31.99;31.995;32.045;31.94;10771
31.775;31.95;31.95;31.75;8918
31.83;31.76;31.83;31.7;17806
31.955;31.82;31.995;31.82;12964
31.915;31.91;31.95;31.89;5895
32.0;31.92;32.0;31.905;7933
31.965;32.0;32.065;31.965;17575
31.93;31.96;32.015;31.9;13658
31.9;31.92;31.92;31.865;14389
31.8;31.9;31.93;31.79;50890
31.675;31.825;31.88;31.65;15769
31.65;31.67;31.67;31.56;20884
31.68;31.67;31.735;31.645;19401
31.66;31.67;31.75;31.63;14041
31.635;31.665;31.73;31.63;21582
31.595;31.635;31.645;31.58;17385
31.6;31.59;31.625;31.525;40057
31.65;31.59;31.65;31.58;6694
31.6;31.635;31.665;31.55;42535
31.595;31.595;31.615;31.55;17515
31.57;31.565;31.585;31.535;5777
31.53;31.585;31.585;31.49;23315
31.545;31.51;31.545;31.49;14208
31.54;31.52;31.54;31.46;17207
31.535;31.525;31.63;31.52;14707
31.56;31.535;31.565;31.52;9386
31.53;31.56;31.58;31.53;17428
31.57;31.51;31.58;31.51;11537
31.585;31.56;31.61;31.555;13896
31.73;31.595;31.75;31.595;20183
31.8;31.73;31.8;31.705;6808
31.78;31.78;31.81;31.775;9036
31.83;31.79;31.85;31.78;22871
31.82;31.82;31.82;31.78;6796
31.8;31.805;31.85;31.78;11624
31.79;31.8;31.815;31.78;7900
31.785;31.805;31.825;31.765;14170
31.78;31.785;31.8;31.745;12134
31.83;31.79;31.855;31.76;26580
31.84;31.825;31.86;31.81;28073
31.835;31.83;31.855;31.8;10817
31.795;31.845;31.845;31.795;6526
31.79;31.815;31.855;31.79;21209
31.83;31.78;31.83;31.775;9577
31.84;31.815;31.845;31.8;14175
31.845;31.84;31.86;31.825;20207
31.74;31.82;31.84;31.705;40389
31.735;31.74;31.77;31.685;12993
31.765;31.77;31.77;31.735;4435
31.765;31.755;31.77;31.745;6797
31.81;31.765;31.82;31.75;9622
31.77;31.82;31.82;31.77;9298
31.81;31.795;31.83;31.795;6173
31.82;31.83;31.845;31.79;12529
31.805;31.82;31.85;31.775;14567
31.825;31.805;31.825;31.73;13038
31.805;31.83;31.845;31.8;17858
31.84;31.825;31.85;31.825;10234
31.82;31.85;31.865;31.82;32920
31.85;31.85;31.85;31.82;7435
31.85;31.845;31.87;31.835;34097
31.84;31.845;31.855;31.81;31050
31.845;31.85;31.865;31.805;44904
31.86;31.83;31.89;31.82;29080
31.98;31.86;31.98;31.86;27159
31.965;31.97;31.98;31.955;10823
31.935;31.98;31.995;31.935;23582
31.84;31.93;31.93;31.8;13242
31.915;31.84;31.95;31.815;54069
31.825;31.91;31.92;31.825;28268
31.855;31.845;31.87;31.815;21320
31.8;31.855;31.86;31.785;21336
31.83;31.775;31.835;31.775;29451
31.765;31.82;31.82;31.765;10240
31.725;31.765;31.8;31.695;41408
31.81;31.725;31.81;31.725;32503
31.84;31.815;31.84;31.795;50645
31.845;31.85;31.89;31.845;39300
31.875;31.84;31.875;31.825;29962
31.815;31.865;31.875;31.805;23899
31.825;31.82;31.84;31.815;14696
31.795;31.815;31.835;31.78;36454
31.775;31.805;31.84;31.77;24118
31.79;31.775;31.8;31.72;64754
31.685;31.785;31.805;31.66;38505
31.63;31.665;31.665;31.6;32373
31.63;31.625;31.675;31.61;58712
31.61;31.62;31.62;31.49;354135
31.995;31.8;32.065;31.775;135892
32.19;32.005;32.2;31.94;35044
32.03;32.135;32.135;31.96;31177
31.975;32.03;32.05;31.94;22946
31.955;31.975;31.98;31.87;11298
31.96;31.955;31.98;31.89;7476
32.01;31.96;32.01;31.9;11363
31.92;31.99;32.025;31.875;13982
31.895;31.91;31.96;31.89;16268
32.06;31.895;32.075;31.895;26361
31.99;32.06;32.095;31.98;11273
32.02;31.99;32.07;31.97;20945
32.005;32.065;32.065;31.97;15737
32.03;32.02;32.06;31.99;11050
32.06;32.055;32.085;32.05;12834
32.05;32.075;32.075;32.0;22009
32.14;32.05;32.17;32.05;25730
32.09;32.15;32.16;32.075;17953
32.12;32.11;32.12;32.035;15502
32.125;32.085;32.13;32.065;20302
32.19;32.14;32.225;32.14;56838
32.12;32.195;32.22;32.12;18309
32.165;32.12;32.165;32.09;16628
32.16;32.17;32.2;32.15;12597
32.235;32.16;32.27;32.16;46313
32.23;32.225;32.235;32.19;23961
32.285;32.225;32.285;32.2;26870
32.27;32.285;32.3;32.235;20774
32.265;32.265;32.285;32.25;10009
32.215;32.26;32.26;32.205;15494
32.18;32.21;32.21;32.155;42271
32.17;32.2;32.2;32.095;27261
32.26;32.17;32.26;32.13;22328
32.195;32.215;32.24;32.145;8075
32.19;32.195;32.2;32.175;10170
32.16;32.18;32.18;32.11;16153
32.185;32.175;32.195;32.165;10777
32.175;32.195;32.2;32.155;15672
32.185;32.18;32.185;32.16;9602
32.175;32.175;32.19;32.14;15707
32.185;32.175;32.185;32.16;4721
32.18;32.185;32.19;32.17;22350
32.14;32.18;32.19;32.14;29210
