close;open;high;low;vol
94.46;94.18;94.46;92.9;6319
94.48;94.1;94.54;94.02;410
94.14;94.48;94.48;93.9;2479
94.64;94.1;94.64;94.1;2345
94.88;94.66;94.88;94.66;1305
94.74;94.88;94.9;94.6;2444
94.6;94.72;94.72;94.6;305
94.62;94.68;94.8;94.62;826
94.42;94.58;94.58;94.42;865
94.62;94.44;94.62;94.44;767
94.44;94.62;94.74;94.44;763
94.08;94.42;94.42;94.08;722
94.18;94.18;94.3;94.02;1219
94.2;94.16;94.22;94.0;2030
94.24;94.22;94.3;94.22;396
94.42;94.22;94.42;94.22;1061
94.16;94.36;94.42;94.16;890
94.0;94.16;94.16;93.96;968
93.88;93.98;94.04;93.88;1053
93.66;93.8;93.8;93.64;457
93.52;93.7;93.72;93.5;1818
93.14;93.44;93.44;93.14;904
93.28;93.24;93.4;93.16;1492
93.26;93.26;93.46;93.26;1013
92.82;93.26;93.26;92.8;2091
93.0;92.82;93.0;92.6;1653
93.1;93.0;93.2;92.94;1543
93.08;93.18;93.18;92.96;2353
92.78;93.0;93.0;92.78;958
92.8;92.74;92.86;92.58;1501
92.88;92.66;93.16;92.58;3320
92.96;93.0;93.12;92.94;2423
92.66;92.94;92.94;92.58;992
92.62;92.72;92.72;92.42;2535
92.58;92.64;92.8;92.56;2730
92.76;92.64;92.76;92.56;320
92.5;92.76;92.76;92.5;708
92.58;92.62;92.62;92.48;381
92.56;92.6;92.72;92.56;2026
92.5;92.68;92.72;92.48;860
92.52;92.5;92.6;92.42;936
92.64;92.56;92.64;92.5;1427
92.72;92.74;92.8;92.72;1416
92.74;92.74;92.74;92.72;258
92.72;92.78;92.8;92.72;1046
92.62;92.74;92.76;92.62;1163
92.56;92.62;92.62;92.5;2502
92.62;92.48;92.62;92.46;1287
92.56;92.54;92.62;92.3;2072
92.46;92.6;92.6;92.44;272
92.48;92.52;92.52;92.4;127
92.46;92.4;92.46;92.22;7357
92.52;92.26;92.52;92.26;229
92.6;92.48;92.62;92.48;1725
92.62;92.62;92.62;92.6;945
92.56;92.52;92.56;92.5;521
92.5;92.6;92.62;92.48;1751
92.44;92.46;92.46;92.4;344
92.38;92.48;92.5;92.38;527
92.32;92.36;92.42;92.3;511
92.38;92.38;92.44;92.38;1052
91.7;92.36;92.36;91.54;9939
91.88;91.7;92.02;91.64;1805
92.16;92.0;92.18;91.96;1575
92.02;92.06;92.18;91.94;2373
92.26;92.04;92.36;92.04;802
92.2;92.26;92.26;92.14;1059
91.84;92.12;92.26;91.84;1763
91.64;91.82;91.88;91.48;3102
91.56;91.66;91.78;91.56;1324
91.82;91.58;91.82;91.56;584
91.9;91.8;91.9;91.74;1691
91.74;92.04;92.04;91.74;6106
91.68;91.68;91.68;91.56;3706
92.12;91.68;92.86;91.64;12680
92.18;92.08;92.22;91.96;1194
92.22;92.24;92.24;92.22;218
92.32;92.4;92.68;92.32;1819
92.5;92.38;92.54;92.38;1428
92.6;92.44;92.6;92.4;1090
92.6;92.6;92.88;92.6;1810
92.6;92.58;92.64;92.54;1517
92.98;92.78;92.98;92.78;504
92.84;92.92;92.98;92.7;585
92.6;92.8;92.8;92.52;2451
92.84;92.62;92.84;92.6;1623
92.7;92.9;92.94;92.7;1256
92.96;92.8;92.96;92.48;6732
93.04;92.96;93.24;92.88;6678
93.48;93.12;93.48;93.12;5254
93.78;93.42;93.78;93.34;8425
93.74;93.88;94.16;93.74;9344
94.1;93.82;94.18;93.72;5261
94.36;94.1;94.38;93.92;46780
94.98;95.0;95.0;93.46;2310
94.0;94.4;94.42;94.0;268
93.36;93.96;93.96;93.08;4176
93.34;93.48;93.48;93.08;1796
93.32;93.5;93.5;93.32;688
93.2;93.26;93.5;93.2;988
93.02;93.28;93.28;93.02;365
92.5;92.9;92.9;92.5;942
92.12;92.48;92.48;91.92;4267
92.14;92.18;92.3;92.04;2305
92.3;92.16;92.3;92.16;2749
92.28;92.26;92.3;92.18;2376
91.8;92.24;92.26;91.8;2141
91.76;91.9;91.96;91.76;1337
92.3;91.88;92.3;91.88;824
92.18;92.2;92.3;92.18;2409
92.3;92.24;92.3;92.24;949
92.28;92.2;92.28;92.2;848
92.04;92.3;92.3;92.04;1322
92.0;92.06;92.06;92.0;327
91.98;92.06;92.1;91.86;933
91.98;91.98;92.0;91.72;1704
92.3;91.98;92.3;91.8;8105
92.28;92.3;92.3;92.28;1252
91.8;92.26;92.3;91.8;2456
91.86;91.76;91.86;91.66;1528
91.68;91.88;91.96;91.58;1464
91.52;91.72;91.82;91.36;3256
91.48;91.42;91.54;91.36;1843
91.22;91.34;91.46;91.2;2034
91.12;91.3;91.3;91.0;3727
91.18;91.12;91.32;91.12;1299
91.4;91.18;91.4;91.12;2563
91.7;91.44;91.7;91.44;953
92.14;91.66;92.26;91.66;2870
92.44;92.16;92.44;92.16;822
92.18;92.38;92.38;92.14;2471
92.02;92.1;92.1;92.02;485
92.28;92.02;92.28;92.0;1232
92.56;92.36;92.56;92.36;4021
92.38;92.44;92.5;92.38;1595
92.6;92.36;92.6;92.34;2144
92.54;92.52;92.62;92.52;2566
92.86;92.58;92.9;92.58;3123
92.92;92.88;92.92;92.82;2130
92.74;92.96;93.18;92.74;4512
93.04;92.76;93.04;92.74;1564
93.06;93.0;93.06;92.92;1226
92.92;93.02;93.16;92.92;1506
92.96;92.92;92.96;92.8;1015
92.86;92.98;93.1;92.86;3196
92.94;92.86;92.94;92.86;811
92.66;92.88;92.9;92.56;2067
92.8;92.7;92.86;92.7;2541
93.02;92.8;93.1;92.8;3903
92.94;93.06;93.12;92.94;1723
92.94;92.94;92.94;92.58;1421
92.96;92.94;93.0;92.84;2173
92.92;92.98;93.0;92.86;1722
92.94;92.94;93.02;92.92;814
