close;open;high;low;vol
25.7;25.7;25.7;25.65;735
25.6;25.65;25.65;25.6;1447
25.6;25.6;25.6;25.55;231
25.6;25.55;25.6;25.55;729
25.6;25.6;25.6;25.6;0
25.65;25.7;25.7;25.65;228
25.8;25.65;25.8;25.65;81
25.65;25.65;25.65;25.65;30
25.65;25.65;25.65;25.65;137
25.65;25.65;25.65;25.65;0
25.6;25.6;25.6;25.6;33
25.6;25.6;25.6;25.6;346
25.65;25.65;25.65;25.65;250
25.75;25.75;25.75;25.75;1
25.65;25.65;25.65;25.65;50
25.75;25.75;25.75;25.75;80
25.75;25.75;25.75;25.75;9
25.75;25.75;25.75;25.75;0
25.75;25.75;25.75;25.75;85
25.7;25.7;25.7;25.7;102
25.75;25.75;25.75;25.75;207
25.8;25.75;25.8;25.75;100
25.65;25.8;25.8;25.65;710
25.65;25.65;25.65;25.65;0
25.65;25.65;25.65;25.65;0
25.6;25.65;25.65;25.6;437
25.7;25.7;25.7;25.7;1000
25.75;25.75;25.75;25.75;8
25.7;25.75;25.75;25.7;24
25.75;25.65;25.75;25.65;587
25.75;25.75;25.75;25.75;0
25.75;25.75;25.75;25.75;0
25.75;25.75;25.75;25.75;100
25.75;25.75;25.75;25.75;0
25.75;25.75;25.75;25.75;0
25.75;25.75;25.75;25.75;0
25.65;25.6;25.65;25.55;3122
25.45;25.65;25.65;25.35;10886
25.35;25.45;25.5;25.35;11546
25.35;25.4;25.4;25.35;523
25.35;25.4;25.4;25.35;1061
25.4;25.35;25.4;25.35;931
25.4;25.4;25.4;25.4;741
25.4;25.4;25.4;25.4;0
25.3;25.4;25.4;25.3;677
25.35;25.35;25.35;25.3;3475
25.3;25.35;25.35;25.15;9745
25.35;25.25;25.35;25.2;679
25.35;25.35;25.35;25.35;175
25.35;25.35;25.35;25.35;0
25.3;25.3;25.3;25.3;6
24.95;25.2;25.2;24.95;13233
25.0;24.95;25.15;24.95;2591
24.95;25.0;25.15;24.95;407
25.2;25.15;25.2;25.15;1290
25.25;25.2;25.25;25.2;500
25.15;25.15;25.15;25.15;282
25.1;25.1;25.1;25.1;182
25.05;25.15;25.15;25.05;368
25.15;25.15;25.15;25.15;59
25.15;25.15;25.15;25.1;215
25.0;25.15;25.15;24.9;15069
25.0;24.95;25.0;24.9;967
25.1;25.0;25.1;25.0;1820
25.1;25.1;25.1;25.1;105
25.1;25.1;25.1;25.1;0
25.0;25.0;25.0;24.95;144
24.95;25.1;25.1;24.95;583
25.1;24.95;25.1;24.95;839
25.15;25.15;25.15;25.15;220
25.2;25.2;25.2;25.2;100
25.2;25.2;25.2;25.2;132
25.2;25.2;25.2;25.2;0
25.2;25.2;25.2;25.2;0
25.1;25.2;25.2;25.1;462
25.2;25.1;25.2;25.1;100
25.2;25.1;25.2;25.1;27
25.1;25.2;25.2;25.1;519
25.2;25.2;25.2;25.2;3
25.1;25.2;25.2;25.1;151
25.05;25.05;25.05;25.05;452
25.0;25.05;25.05;25.0;100
25.1;25.0;25.1;25.0;306
25.05;25.05;25.05;25.05;245
25.0;25.05;25.1;25.0;668
25.1;25.1;25.1;25.1;8
25.1;25.0;25.1;25.0;1315
25.1;25.1;25.1;25.1;160
25.1;25.1;25.15;25.1;986
25.2;25.2;25.2;25.2;752
25.25;25.2;25.25;25.1;894
25.3;25.2;25.35;25.15;2657
25.5;25.35;25.5;25.35;2818
25.9;25.5;25.9;25.5;17044
25.85;25.9;25.9;25.5;148
25.4;25.5;25.5;25.4;627
25.3;25.4;25.4;25.25;823
25.35;25.35;25.35;25.35;219
25.5;25.55;25.55;25.5;33
25.7;25.55;25.7;25.5;1208
25.7;25.45;25.7;25.45;3
25.7;25.7;25.7;25.7;0
25.7;25.7;25.7;25.7;0
25.65;25.6;25.65;25.6;893
25.65;25.65;25.65;25.65;0
25.4;25.6;25.6;25.4;616
25.4;25.4;25.4;25.4;400
25.5;25.5;25.5;25.5;148
25.5;25.5;25.5;25.5;180
25.5;25.5;25.5;25.5;400
25.5;25.5;25.5;25.5;0
25.5;25.5;25.5;25.5;100
25.35;25.4;25.4;25.35;854
25.4;25.4;25.4;25.4;8
25.45;25.4;25.45;25.4;901
25.45;25.45;25.45;25.45;0
25.45;25.45;25.45;25.45;117
25.45;25.45;25.45;25.45;46
25.5;25.5;25.5;25.5;309
25.45;25.45;25.45;25.45;87
25.45;25.45;25.45;25.45;0
25.35;25.35;25.35;25.35;75
25.45;25.45;25.45;25.45;81
25.45;25.45;25.45;25.45;0
25.35;25.35;25.45;25.35;338
25.35;25.35;25.35;25.35;0
25.3;25.45;25.45;25.3;147
25.45;25.45;25.45;25.45;200
25.45;25.45;25.45;25.45;0
25.5;25.5;25.5;25.5;9
25.5;25.5;25.5;25.5;0
25.5;25.5;25.5;25.5;0
25.5;25.45;25.5;25.45;414
25.4;25.45;25.45;25.4;354
25.5;25.4;25.5;25.4;242
25.5;25.5;25.5;25.5;0
25.5;25.5;25.5;25.5;56
25.5;25.5;25.5;25.5;0
25.5;25.5;25.5;25.5;0
25.5;25.5;25.5;25.5;10
25.45;25.45;25.45;25.45;59
25.5;25.5;25.5;25.5;35
25.5;25.45;25.5;25.45;552
25.5;25.5;25.5;25.5;0
25.5;25.5;25.5;25.5;80
25.45;25.45;25.45;25.45;585
25.45;25.45;25.45;25.45;7
25.45;25.45;25.45;25.45;0
25.45;25.4;25.45;25.35;163
25.45;25.45;25.45;25.45;0
25.45;25.45;25.45;25.45;0
25.45;25.45;25.45;25.45;0
25.4;25.4;25.4;25.4;97
25.4;25.4;25.4;25.4;0
25.4;25.4;25.4;25.4;0
25.45;25.45;25.45;25.45;311
25.5;25.5;25.5;25.5;100
