close;open;high;low;vol
25.3;25.3;25.44;25.3;968
25.42;25.3;25.42;25.3;1591
25.4;25.42;25.42;25.4;430
25.42;25.4;25.42;25.4;496
25.3;25.4;25.4;25.3;763
25.4;25.4;25.4;25.3;907
25.4;25.3;25.4;25.3;440
25.3;25.34;25.34;25.3;324
25.38;25.3;25.4;25.3;365
25.4;25.38;25.4;25.38;501
25.38;25.4;25.4;25.38;82
25.38;25.36;25.38;25.36;286
25.4;25.38;25.4;25.38;5362
25.4;25.4;25.4;25.4;500
25.44;25.42;25.44;25.42;313
25.42;25.42;25.42;25.42;90
25.4;25.4;25.4;25.38;3234
25.38;25.38;25.38;25.38;433
25.4;25.4;25.4;25.4;121
25.38;25.38;25.38;25.36;1695
25.38;25.34;25.38;25.34;40
25.38;25.34;25.38;25.32;57
25.3;25.32;25.36;25.3;315
25.3;25.3;25.3;25.3;0
25.2;25.32;25.32;25.2;3404
25.2;25.28;25.28;25.2;19
25.22;25.24;25.24;25.22;7860
25.12;25.32;25.32;25.1;3318
25.06;25.12;25.12;25.06;1528
25.1;25.2;25.24;25.1;600
25.3;25.12;25.3;25.1;750
25.18;25.3;25.3;25.18;360
25.2;25.16;25.2;25.16;874
25.24;25.14;25.24;25.1;1491
25.1;25.1;25.1;25.1;1800
25.1;25.12;25.12;25.1;200
25.1;25.2;25.2;25.1;172
25.1;25.1;25.1;25.1;570
25.1;25.12;25.12;25.1;305
25.14;25.14;25.14;25.14;4
25.06;25.1;25.1;25.06;5979
25.14;25.14;25.14;25.14;11
25.14;25.1;25.14;25.1;1085
25.14;25.14;25.14;25.14;0
25.12;25.1;25.16;25.1;264
25.26;25.2;25.26;25.2;500
25.1;25.12;25.12;25.1;90
25.26;25.26;25.26;25.26;53
25.2;25.2;25.2;25.2;7
25.2;25.2;25.2;25.2;105
25.12;25.12;25.12;25.08;8538
25.14;25.14;25.14;25.14;125
25.14;25.14;25.14;25.14;0
25.14;25.14;25.14;25.14;255
25.18;25.18;25.18;25.18;6
25.16;25.12;25.16;25.12;751
25.16;25.16;25.16;25.16;0
25.16;25.16;25.16;25.16;226
25.14;25.16;25.16;25.14;713
25.14;25.14;25.14;25.14;526
25.14;25.14;25.14;25.12;4282
25.06;25.14;25.14;25.06;683
25.04;25.04;25.04;25.04;295
25.12;25.1;25.12;25.1;300
25.12;25.12;25.14;25.12;90
25.04;25.04;25.04;25.04;500
25.04;25.04;25.04;25.04;200
25.04;25.04;25.04;25.04;0
25.08;25.06;25.1;25.06;930
25.18;25.12;25.18;25.12;2491
25.22;25.1;25.22;25.1;120
25.22;25.22;25.22;25.22;0
25.2;25.14;25.2;25.14;78
25.2;25.2;25.2;25.2;0
25.18;25.2;25.2;25.14;953
25.16;25.2;25.2;25.16;816
25.08;25.2;25.2;25.08;5892
24.82;25.04;25.04;24.82;3943
24.92;24.88;24.98;24.88;1578
24.96;24.96;24.96;24.96;45
24.96;24.96;24.96;24.92;149
