close;open;high;low;vol
21.2;21.2;21.4;21.2;214
21.2;21.2;21.2;21.2;0
21.2;21.2;21.2;21.2;1
21.2;21.2;21.2;21.2;1
21.2;21.15;21.2;21.15;880
21.2;21.2;21.2;21.2;0
21.25;21.25;21.25;21.25;151
21.25;21.2;21.25;21.2;593
21.25;21.25;21.25;21.25;0
21.45;21.25;21.45;21.25;446
21.3;21.45;21.45;21.3;114
21.3;21.3;21.3;21.3;0
21.3;21.3;21.3;21.3;0
21.3;21.3;21.3;21.3;0
21.3;21.3;21.3;21.3;0
21.3;21.3;21.3;21.3;0
21.3;21.3;21.3;21.3;0
21.25;21.25;21.25;21.25;10
21.25;21.25;21.25;21.25;91
21.25;21.25;21.25;21.25;0
21.25;21.25;21.25;21.25;0
21.25;21.25;21.25;21.25;0
21.3;21.35;21.35;21.3;57
21.35;21.35;21.35;21.35;2
21.35;21.35;21.35;21.35;0
21.35;21.35;21.35;21.35;0
21.35;21.35;21.35;21.35;0
21.35;21.35;21.35;21.35;0
21.1;21.25;21.25;21.1;669
21.0;21.15;21.15;20.95;3502
20.95;21.0;21.0;20.95;41
20.95;20.95;20.95;20.95;0
20.95;20.95;21.0;20.95;443
20.95;20.95;20.95;20.95;0
21.0;20.95;21.0;20.95;82
20.9;20.9;20.9;20.9;2
20.9;20.95;20.95;20.9;974
20.9;20.95;20.95;20.9;100
20.9;20.9;20.9;20.9;0
20.95;20.95;20.95;20.95;10
20.95;20.95;20.95;20.95;0
20.95;20.95;20.95;20.95;5
20.9;20.9;20.9;20.9;303
20.9;20.9;20.9;20.9;0
20.9;20.9;20.9;20.9;0
20.95;20.95;20.95;20.95;355
20.95;20.95;20.95;20.95;0
20.9;20.9;20.9;20.9;300
20.9;20.95;20.95;20.9;174
20.9;20.9;20.9;20.9;125
21.1;20.95;21.1;20.95;3506
21.2;21.1;21.45;21.1;8235
21.2;21.2;21.25;21.1;197
21.2;21.2;21.2;21.2;0
21.2;21.2;21.2;21.2;0
21.2;21.25;21.25;21.2;11
21.15;21.15;21.25;21.15;288
21.15;21.15;21.15;21.15;0
21.0;21.1;21.1;21.0;163
21.0;21.0;21.0;21.0;0
20.95;20.95;20.95;20.95;208
20.95;20.95;20.95;20.95;0
20.95;20.95;21.0;20.95;140
21.0;21.0;21.0;21.0;1
21.0;21.0;21.0;20.95;24
21.0;20.9;21.0;20.9;151
21.0;21.0;21.0;21.0;0
21.0;21.0;21.0;21.0;0
20.95;20.95;20.95;20.95;74
21.1;21.0;21.1;20.95;181
21.1;21.1;21.1;21.1;7
21.05;21.05;21.05;21.0;91
20.95;21.0;21.0;20.95;121
21.0;21.0;21.0;21.0;1
20.95;20.95;21.0;20.95;1263
20.95;20.95;20.95;20.95;0
21.05;20.9;21.05;20.9;1924
21.05;21.05;21.05;21.05;0
21.0;21.0;21.0;21.0;110
20.95;21.0;21.0;20.95;421
20.9;20.9;20.9;20.9;60
21.0;21.0;21.0;21.0;1
21.0;21.0;21.0;21.0;600
21.05;21.05;21.05;21.05;4
21.05;21.05;21.05;21.05;0
21.15;21.0;21.15;21.0;18
21.15;21.15;21.2;21.15;482
21.15;21.15;21.15;21.15;0
21.15;21.15;21.15;21.15;0
21.15;21.15;21.15;21.15;0
21.15;21.1;21.15;21.1;165
21.15;21.15;21.2;21.15;1944
21.15;21.15;21.15;21.15;531
21.15;21.15;21.15;21.15;1127
21.2;21.15;21.25;21.15;1060
21.15;21.15;21.15;21.15;200
21.05;21.15;21.15;21.05;200
21.2;21.1;21.2;21.1;507
21.2;21.2;21.2;21.2;190
21.2;21.2;21.2;21.2;0
21.3;21.2;21.3;21.2;54
21.3;21.2;21.3;21.2;16
21.3;21.3;21.3;21.3;0
21.2;21.25;21.3;21.2;170
21.2;21.2;21.2;21.2;2138
21.25;21.25;21.25;21.25;13
21.25;21.25;21.25;21.25;0
21.2;21.2;21.2;21.2;55
21.2;21.2;21.2;21.2;0
21.2;21.2;21.2;21.2;0
21.2;21.2;21.2;21.2;0
21.2;21.2;21.2;21.2;0
21.2;21.15;21.2;21.15;197
21.2;21.1;21.2;21.0;594
21.2;21.1;21.2;21.1;203
21.2;21.2;21.2;21.2;0
21.15;21.15;21.15;21.15;947
21.15;21.15;21.15;21.15;0
21.2;21.2;21.2;21.2;1
21.15;21.15;21.15;21.05;500
21.05;21.1;21.1;21.05;51
21.05;21.0;21.05;20.95;363
21.1;21.1;21.1;21.1;1
21.1;21.1;21.1;21.1;0
21.1;21.1;21.1;21.1;0
21.1;21.1;21.1;21.1;0
21.15;21.1;21.15;21.05;576
21.1;21.1;21.2;21.05;381
21.05;21.1;21.15;21.05;232
21.1;21.15;21.2;21.0;329
21.15;21.15;21.15;21.15;1
21.15;21.15;21.15;21.15;0
