close;open;high;low;vol
22.78;23.18;23.18;22.52;18286
22.8;22.98;22.98;22.8;1139
22.8;22.8;22.8;22.8;0
22.8;22.8;22.8;22.8;0
22.92;22.88;22.92;22.88;412
22.86;22.86;22.86;22.86;187
22.8;22.86;22.86;22.8;564
22.8;22.8;22.8;22.8;100
22.68;22.8;22.8;22.68;768
22.7;22.7;22.7;22.7;1130
22.7;22.7;22.7;22.7;0
22.66;22.72;22.72;22.66;1432
22.66;22.66;22.66;22.66;316
22.68;22.66;22.68;22.62;1106
22.66;22.72;22.72;22.66;84
22.62;22.64;22.64;22.62;388
22.6;22.6;22.62;22.6;280
22.6;22.6;22.6;22.6;632
22.58;22.58;22.58;22.58;580
22.58;22.58;22.58;22.58;0
22.54;22.56;22.56;22.54;587
22.58;22.54;22.58;22.52;3035
22.62;22.6;22.62;22.6;470
22.62;22.62;22.62;22.62;0
22.6;22.62;22.64;22.6;2697
22.52;22.62;22.62;22.52;13175
22.52;22.62;22.62;22.52;118
22.52;22.52;22.52;22.52;100
22.46;22.56;22.56;22.4;7052
22.42;22.44;22.44;22.4;1983
22.44;22.44;22.44;22.44;23
22.48;22.44;22.48;22.4;815
22.48;22.48;22.48;22.48;903
22.42;22.54;22.54;22.42;1750
22.44;22.48;22.48;22.4;1155
22.44;22.44;22.44;22.44;47
22.32;22.4;22.4;22.32;2903
22.32;22.32;22.32;22.32;148
22.32;22.32;22.32;22.26;5189
22.34;22.32;22.34;22.3;624
22.3;22.34;22.36;22.3;2277
22.36;22.32;22.36;22.26;1874
22.4;22.26;22.4;22.22;1634
22.34;22.36;22.36;22.34;102
22.3;22.3;22.3;22.3;67
22.26;22.3;22.3;22.26;647
22.26;22.26;22.26;22.26;355
22.2;22.26;22.26;22.2;805
22.2;22.24;22.24;22.2;901
22.1;22.18;22.18;22.1;8579
22.16;22.14;22.16;22.14;968
22.16;22.18;22.18;22.1;672
22.1;22.16;22.16;22.1;841
22.34;22.16;22.34;22.16;1977
22.24;22.24;22.24;22.24;10
22.24;22.24;22.24;22.24;0
22.4;22.38;22.4;22.38;272
22.4;22.4;22.4;22.4;273
22.4;22.4;22.4;22.4;170
22.4;22.4;22.4;22.4;0
22.48;22.44;22.48;22.44;600
22.48;22.48;22.48;22.48;171
22.3;22.4;22.4;22.3;378
22.46;22.46;22.46;22.46;4
22.46;22.46;22.48;22.44;4276
22.4;22.46;22.46;22.4;126
22.38;22.38;22.38;22.38;174
22.34;22.34;22.34;22.34;1273
22.44;22.4;22.44;22.4;563
22.4;22.46;22.46;22.4;496
22.4;22.4;22.4;22.4;0
22.4;22.4;22.4;22.4;415
22.42;22.42;22.42;22.42;30
22.3;22.4;22.4;22.3;2221
22.3;22.3;22.3;22.3;100
22.26;22.3;22.3;22.26;373
22.3;22.28;22.3;22.28;506
22.38;22.3;22.38;22.3;2715
22.34;22.38;22.38;22.34;584
22.34;22.34;22.34;22.3;1585
22.34;22.34;22.34;22.34;210
22.28;22.34;22.36;22.28;53
22.32;22.36;22.38;22.32;1158
22.32;22.32;22.32;22.32;0
22.3;22.38;22.38;22.3;510
22.42;22.38;22.42;22.38;1079
22.42;22.44;22.44;22.42;1263
22.5;22.4;22.5;22.4;1465
22.56;22.5;22.56;22.5;5453
22.6;22.56;22.6;22.56;1058
22.64;22.64;22.66;22.64;170
22.58;22.64;22.66;22.56;1076
22.74;22.64;22.74;22.6;2332
22.94;22.72;23.0;22.72;31982
22.9;22.96;22.96;22.78;6342
22.9;22.9;22.9;22.9;0
22.6;22.76;22.84;22.58;6647
22.7;22.7;22.7;22.7;277
22.72;22.72;22.72;22.72;1
22.72;22.72;22.72;22.72;71
22.52;22.68;22.68;22.52;3294
22.56;22.56;22.56;22.56;100
22.7;22.7;22.7;22.7;310
22.74;22.72;22.74;22.68;555
22.74;22.74;22.74;22.74;0
22.76;22.76;22.76;22.76;1
22.66;22.62;22.66;22.62;18
22.66;22.66;22.66;22.66;0
22.66;22.66;22.66;22.66;495
22.64;22.74;22.74;22.64;124
22.64;22.64;22.64;22.64;100
22.64;22.64;22.64;22.64;0
22.64;22.64;22.64;22.64;0
22.64;22.64;22.64;22.64;0
22.64;22.64;22.64;22.64;0
22.76;22.76;22.76;22.76;10
22.74;22.74;22.74;22.74;161
22.78;22.76;22.78;22.76;448
22.66;22.7;22.72;22.66;438
22.66;22.66;22.66;22.66;0
22.66;22.66;22.66;22.66;100
22.66;22.66;22.66;22.66;200
22.66;22.66;22.66;22.66;0
22.64;22.64;22.64;22.64;17
22.64;22.64;22.64;22.64;339
22.66;22.66;22.66;22.66;5
22.58;22.62;22.62;22.58;200
22.64;22.58;22.64;22.58;320
22.58;22.58;22.58;22.58;127
22.58;22.58;22.58;22.58;59
22.56;22.58;22.58;22.56;107
22.56;22.56;22.56;22.56;0
22.7;22.64;22.7;22.62;665
22.6;22.68;22.74;22.6;556
22.64;22.64;22.64;22.64;221
22.64;22.64;22.64;22.64;0
22.64;22.64;22.64;22.64;0
22.64;22.64;22.64;22.64;0
22.64;22.64;22.64;22.64;1000
22.64;22.64;22.64;22.64;0
22.66;22.6;22.66;22.6;426
22.66;22.7;22.72;22.66;57
22.66;22.66;22.66;22.66;0
22.66;22.66;22.66;22.66;5
22.68;22.68;22.68;22.68;275
22.68;22.68;22.68;22.68;0
22.68;22.66;22.68;22.64;251
22.68;22.68;22.68;22.68;20
22.66;22.66;22.66;22.66;17
22.66;22.66;22.66;22.66;0
22.72;22.72;22.72;22.7;310
22.72;22.72;22.72;22.72;645
22.74;22.74;22.74;22.74;12
22.7;22.7;22.7;22.7;10
22.7;22.7;22.7;22.7;0
22.68;22.68;22.68;22.68;162
22.64;22.64;22.64;22.64;356
22.62;22.62;22.62;22.62;22
22.7;22.68;22.7;22.68;484
22.64;22.64;22.66;22.6;398
22.58;22.58;22.58;22.58;231
22.58;22.58;22.58;22.58;0
22.58;22.64;22.64;22.58;579
22.58;22.58;22.58;22.58;0
22.56;22.56;22.56;22.56;9
22.56;22.56;22.56;22.56;0
22.56;22.56;22.56;22.56;0
22.52;22.56;22.58;22.52;1442
22.56;22.54;22.58;22.54;2056
22.54;22.58;22.58;22.54;206
22.52;22.56;22.56;22.52;991
22.58;22.56;22.58;22.56;478
22.52;22.58;22.58;22.52;1233
22.46;22.5;22.5;22.46;3161
22.5;22.5;22.58;22.5;1217
22.58;22.58;22.58;22.58;200
22.58;22.58;22.58;22.58;104
22.58;22.56;22.58;22.56;29
22.58;22.58;22.58;22.58;88
22.6;22.6;22.6;22.6;47
22.54;22.54;22.54;22.54;100
22.6;22.6;22.6;22.6;4
22.56;22.58;22.58;22.56;49
22.52;22.56;22.56;22.48;1704
22.48;22.52;22.52;22.48;155
22.54;22.48;22.54;22.46;955
22.54;22.5;22.54;22.5;918
22.5;22.5;22.54;22.5;1013
22.78;22.72;22.8;22.68;1070
22.7;22.7;22.72;22.7;391
22.6;22.6;22.6;22.6;110
22.62;22.66;22.66;22.62;266
22.6;22.78;22.78;22.6;118
22.68;22.76;22.76;22.68;159
22.6;22.6;22.6;22.6;500
22.58;22.6;22.68;22.58;1430
22.68;22.68;22.68;22.68;8
22.68;22.68;22.68;22.68;50
22.68;22.68;22.68;22.68;200
22.54;22.6;22.6;22.54;3402
22.56;22.52;22.56;22.5;564
22.54;22.5;22.54;22.5;207
22.54;22.54;22.54;22.54;0
22.56;22.56;22.56;22.56;57
22.56;22.56;22.56;22.56;0
22.56;22.56;22.56;22.56;0
22.56;22.56;22.56;22.56;225
22.56;22.56;22.56;22.56;253
22.54;22.56;22.56;22.54;257
22.5;22.5;22.5;22.5;827
22.56;22.56;22.56;22.56;11
22.54;22.56;22.56;22.54;600
22.56;22.56;22.56;22.54;908
22.56;22.56;22.56;22.54;1120
22.56;22.56;22.56;22.56;217
22.56;22.56;22.56;22.56;86
22.56;22.56;22.56;22.56;0
22.56;22.56;22.56;22.56;371
22.52;22.56;22.56;22.52;7
22.56;22.52;22.56;22.52;14
22.54;22.54;22.54;22.54;720
22.52;22.52;22.52;22.52;204
22.5;22.5;22.5;22.5;2
22.56;22.54;22.56;22.54;877
22.56;22.56;22.56;22.5;2292
22.54;22.52;22.54;22.52;525
22.54;22.54;22.54;22.54;0
22.5;22.52;22.52;22.5;1706
22.48;22.48;22.48;22.48;285
