close;open;high;low;vol
684.0;698.0;698.0;683.0;371
683.0;684.0;685.0;683.0;77
681.0;682.0;682.0;675.0;894
680.0;682.0;685.0;680.0;494
684.0;683.0;684.0;683.0;232
687.0;686.0;687.0;684.0;402
687.0;687.0;687.0;686.0;14
683.0;685.0;685.0;683.0;104
683.0;683.0;683.0;683.0;83
683.0;683.0;683.0;683.0;22
683.0;683.0;683.0;683.0;45
685.0;683.0;685.0;683.0;246
688.0;687.0;688.0;687.0;110
684.0;689.0;689.0;684.0;376
687.0;684.0;687.0;684.0;458
689.0;689.0;689.0;688.0;130
688.0;690.0;690.0;686.0;356
686.0;688.0;688.0;686.0;217
685.0;685.0;686.0;685.0;460
682.0;685.0;685.0;682.0;391
684.0;683.0;684.0;683.0;25
682.0;682.0;683.0;682.0;225
684.0;683.0;684.0;683.0;529
684.0;683.0;684.0;683.0;122
680.0;682.0;682.0;680.0;160
682.0;681.0;682.0;681.0;185
682.0;683.0;684.0;682.0;371
684.0;684.0;684.0;684.0;72
681.0;682.0;682.0;680.0;314
681.0;682.0;682.0;680.0;277
682.0;682.0;683.0;682.0;917
685.0;684.0;685.0;682.0;409
683.0;683.0;684.0;683.0;99
683.0;683.0;684.0;683.0;25
686.0;685.0;686.0;685.0;301
684.0;685.0;685.0;684.0;38
682.0;684.0;684.0;682.0;442
683.0;682.0;683.0;682.0;229
683.0;683.0;683.0;683.0;20
681.0;683.0;683.0;681.0;208
682.0;681.0;683.0;681.0;395
681.0;681.0;681.0;681.0;34
682.0;682.0;682.0;681.0;196
682.0;682.0;682.0;682.0;155
682.0;682.0;682.0;682.0;63
684.0;683.0;684.0;683.0;298
683.0;683.0;683.0;683.0;15
684.0;684.0;684.0;684.0;34
686.0;685.0;686.0;685.0;267
683.0;685.0;685.0;683.0;323
684.0;684.0;684.0;683.0;290
683.0;683.0;683.0;682.0;267
684.0;682.0;685.0;682.0;705
683.0;683.0;683.0;683.0;53
684.0;684.0;684.0;684.0;174
685.0;684.0;685.0;684.0;47
684.0;683.0;684.0;683.0;388
683.0;683.0;683.0;683.0;34
683.0;683.0;683.0;683.0;109
683.0;683.0;683.0;683.0;15
684.0;683.0;684.0;683.0;323
683.0;684.0;684.0;683.0;121
683.0;683.0;683.0;683.0;85
686.0;684.0;686.0;683.0;475
687.0;686.0;687.0;686.0;600
687.0;687.0;687.0;687.0;15
686.0;686.0;686.0;685.0;512
686.0;686.0;686.0;686.0;33
686.0;686.0;686.0;685.0;182
684.0;685.0;685.0;684.0;80
687.0;684.0;687.0;684.0;685
687.0;686.0;687.0;686.0;351
688.0;687.0;688.0;686.0;522
687.0;687.0;687.0;687.0;305
