y;ds
69.58;2024-03-19 09:00:00
69.4;2024-03-19 09:05:00
69.0;2024-03-19 09:10:00
69.66;2024-03-19 09:15:00
69.78;2024-03-19 09:20:00
69.68;2024-03-19 09:25:00
69.6;2024-03-19 09:30:00
69.76;2024-03-19 09:35:00
69.48;2024-03-19 09:40:00
69.48;2024-03-19 09:45:00
69.2;2024-03-19 09:50:00
69.04;2024-03-19 09:55:00
69.0;2024-03-19 10:00:00
68.76;2024-03-19 10:05:00
68.5;2024-03-19 10:10:00
68.64;2024-03-19 10:15:00
68.42;2024-03-19 10:20:00
68.46;2024-03-19 10:25:00
68.12;2024-03-19 10:30:00
68.12;2024-03-19 10:35:00
68.26;2024-03-19 10:40:00
67.98;2024-03-19 10:45:00
68.0;2024-03-19 10:50:00
67.96;2024-03-19 10:55:00
68.0;2024-03-19 11:00:00
67.92;2024-03-19 11:05:00
68.16;2024-03-19 11:10:00
67.96;2024-03-19 11:15:00
67.5;2024-03-19 11:20:00
67.94;2024-03-19 11:25:00
67.9;2024-03-19 11:30:00
68.1;2024-03-19 11:35:00
68.14;2024-03-19 11:40:00
68.0;2024-03-19 11:45:00
67.98;2024-03-19 11:50:00
68.0;2024-03-19 11:55:00
68.0;2024-03-19 12:00:00
67.82;2024-03-19 12:05:00
67.8;2024-03-19 12:10:00
67.96;2024-03-19 12:15:00
68.14;2024-03-19 12:20:00
68.2;2024-03-19 12:25:00
68.2;2024-03-19 12:30:00
68.2;2024-03-19 12:35:00
68.2;2024-03-19 12:40:00
68.1;2024-03-19 12:45:00
68.06;2024-03-19 12:50:00
68.08;2024-03-19 12:55:00
67.98;2024-03-19 13:00:00
68.0;2024-03-19 13:05:00
68.0;2024-03-19 13:10:00
67.94;2024-03-19 13:15:00
67.8;2024-03-19 13:20:00
68.0;2024-03-19 13:25:00
68.16;2024-03-19 13:30:00
68.18;2024-03-19 13:35:00
68.0;2024-03-19 13:40:00
68.14;2024-03-19 13:45:00
68.14;2024-03-19 13:50:00
68.02;2024-03-19 13:55:00
67.98;2024-03-19 14:00:00
67.9;2024-03-19 14:05:00
67.88;2024-03-19 14:10:00
67.78;2024-03-19 14:15:00
67.8;2024-03-19 14:20:00
67.82;2024-03-19 14:25:00
67.82;2024-03-19 14:30:00
67.88;2024-03-19 14:35:00
67.76;2024-03-19 14:40:00
67.88;2024-03-19 14:45:00
67.76;2024-03-19 14:50:00
67.94;2024-03-19 14:55:00
67.94;2024-03-19 15:00:00
67.5;2024-03-19 15:05:00
67.6;2024-03-19 15:10:00
67.64;2024-03-19 15:15:00
67.74;2024-03-19 15:20:00
67.7;2024-03-19 15:25:00
67.7;2024-03-19 15:30:00
67.6;2024-03-19 15:35:00
67.7;2024-03-19 15:40:00
67.44;2024-03-19 15:45:00
67.7;2024-03-19 15:50:00
67.78;2024-03-19 15:55:00
67.54;2024-03-19 16:00:00
67.94;2024-03-19 16:05:00
68.0;2024-03-19 16:10:00
68.26;2024-03-19 16:15:00
68.48;2024-03-19 16:20:00
68.66;2024-03-19 16:25:00
68.98;2024-03-19 16:30:00
68.92;2024-03-19 16:35:00
69.36;2024-03-19 16:40:00
69.84;2024-03-19 16:45:00
71.08;2024-03-20 09:00:00
71.2;2024-03-20 09:05:00
69.9;2024-03-20 09:10:00
70.0;2024-03-20 09:15:00
70.18;2024-03-20 09:20:00
70.36;2024-03-20 09:25:00
70.04;2024-03-20 09:30:00
69.82;2024-03-20 09:35:00
69.5;2024-03-20 09:40:00
69.6;2024-03-20 09:45:00
70.02;2024-03-20 09:50:00
70.08;2024-03-20 09:55:00
69.4;2024-03-20 10:00:00
69.42;2024-03-20 10:05:00
69.62;2024-03-20 10:10:00
69.7;2024-03-20 10:15:00
69.64;2024-03-20 10:20:00
69.4;2024-03-20 10:25:00
69.3;2024-03-20 10:30:00
69.46;2024-03-20 10:35:00
69.3;2024-03-20 10:40:00
69.46;2024-03-20 10:45:00
69.6;2024-03-20 10:50:00
69.9;2024-03-20 10:55:00
69.24;2024-03-20 11:00:00
69.02;2024-03-20 11:05:00
69.22;2024-03-20 11:10:00
69.32;2024-03-20 11:15:00
69.32;2024-03-20 11:20:00
69.38;2024-03-20 11:25:00
69.28;2024-03-20 11:30:00
69.2;2024-03-20 11:35:00
69.1;2024-03-20 11:40:00
69.14;2024-03-20 11:45:00
68.94;2024-03-20 11:50:00
69.22;2024-03-20 11:55:00
69.3;2024-03-20 12:00:00
69.18;2024-03-20 12:05:00
69.5;2024-03-20 12:10:00
69.58;2024-03-20 12:15:00
69.28;2024-03-20 12:20:00
69.34;2024-03-20 12:25:00
69.34;2024-03-20 12:30:00
69.34;2024-03-20 12:35:00
69.2;2024-03-20 12:40:00
69.2;2024-03-20 12:45:00
69.44;2024-03-20 12:50:00
69.42;2024-03-20 12:55:00
69.5;2024-03-20 13:00:00
69.56;2024-03-20 13:05:00
69.56;2024-03-20 13:10:00
69.42;2024-03-20 13:15:00
69.38;2024-03-20 13:20:00
69.5;2024-03-20 13:25:00
69.5;2024-03-20 13:30:00
69.58;2024-03-20 13:35:00
69.58;2024-03-20 13:40:00
69.2;2024-03-20 13:45:00
69.4;2024-03-20 13:50:00
69.08;2024-03-20 13:55:00
69.34;2024-03-20 14:00:00
69.0;2024-03-20 14:05:00
69.08;2024-03-20 14:10:00
68.8;2024-03-20 14:15:00
68.96;2024-03-20 14:20:00
69.14;2024-03-20 14:25:00
69.0;2024-03-20 14:30:00
69.02;2024-03-20 14:35:00
69.02;2024-03-20 14:40:00
69.0;2024-03-20 14:45:00
69.0;2024-03-20 14:50:00
68.84;2024-03-20 14:55:00
68.92;2024-03-20 15:00:00
68.92;2024-03-20 15:05:00
69.04;2024-03-20 15:10:00
69.1;2024-03-20 15:15:00
69.18;2024-03-20 15:20:00
68.92;2024-03-20 15:25:00
68.92;2024-03-20 15:30:00
68.82;2024-03-20 15:35:00
69.0;2024-03-20 15:40:00
69.3;2024-03-20 15:45:00
69.34;2024-03-20 15:50:00
69.7;2024-03-20 15:55:00
69.52;2024-03-20 16:00:00
69.7;2024-03-20 16:05:00
69.7;2024-03-20 16:10:00
69.5;2024-03-20 16:15:00
69.5;2024-03-20 16:20:00
69.34;2024-03-20 16:25:00
69.24;2024-03-20 16:30:00
69.44;2024-03-20 16:35:00
69.7;2024-03-20 16:40:00
69.8;2024-03-20 16:45:00
71.1;2024-03-21 09:00:00
71.6;2024-03-21 09:05:00
71.6;2024-03-21 09:10:00
71.32;2024-03-21 09:15:00
71.74;2024-03-21 09:20:00
72.1;2024-03-21 09:25:00
72.3;2024-03-21 09:30:00
72.1;2024-03-21 09:35:00
72.1;2024-03-21 09:40:00
72.02;2024-03-21 09:45:00
71.88;2024-03-21 09:50:00
72.0;2024-03-21 09:55:00
71.64;2024-03-21 10:00:00
71.78;2024-03-21 10:05:00
71.84;2024-03-21 10:10:00
72.06;2024-03-21 10:15:00
72.08;2024-03-21 10:20:00
72.18;2024-03-21 10:25:00
72.02;2024-03-21 10:30:00
72.38;2024-03-21 10:35:00
72.28;2024-03-21 10:40:00
72.18;2024-03-21 10:45:00
71.84;2024-03-21 10:50:00
71.92;2024-03-21 10:55:00
71.88;2024-03-21 11:00:00
71.74;2024-03-21 11:05:00
71.74;2024-03-21 11:10:00
71.62;2024-03-21 11:15:00
71.42;2024-03-21 11:20:00
71.5;2024-03-21 11:25:00
71.58;2024-03-21 11:30:00
71.46;2024-03-21 11:35:00
71.36;2024-03-21 11:40:00
71.58;2024-03-21 11:45:00
71.34;2024-03-21 11:50:00
71.2;2024-03-21 11:55:00
71.32;2024-03-21 12:00:00
71.36;2024-03-21 12:05:00
71.38;2024-03-21 12:10:00
71.62;2024-03-21 12:15:00
71.74;2024-03-21 12:20:00
71.8;2024-03-21 12:25:00
71.4;2024-03-21 12:30:00
71.42;2024-03-21 12:35:00
71.54;2024-03-21 12:40:00
71.58;2024-03-21 12:45:00
71.5;2024-03-21 12:50:00
71.68;2024-03-21 12:55:00
71.68;2024-03-21 13:00:00
71.68;2024-03-21 13:05:00
71.66;2024-03-21 13:10:00
71.68;2024-03-21 13:15:00
71.44;2024-03-21 13:20:00
71.42;2024-03-21 13:25:00
71.68;2024-03-21 13:30:00
71.66;2024-03-21 13:35:00
71.7;2024-03-21 13:40:00
71.48;2024-03-21 13:45:00
71.48;2024-03-21 13:50:00
71.68;2024-03-21 13:55:00
71.8;2024-03-21 14:00:00
71.64;2024-03-21 14:05:00
71.82;2024-03-21 14:10:00
71.82;2024-03-21 14:15:00
71.82;2024-03-21 14:20:00
71.46;2024-03-21 14:25:00
71.5;2024-03-21 14:30:00
71.64;2024-03-21 14:35:00
71.68;2024-03-21 14:40:00
71.68;2024-03-21 14:45:00
71.38;2024-03-21 14:50:00
71.52;2024-03-21 14:55:00
71.54;2024-03-21 15:00:00
71.12;2024-03-21 15:05:00
71.1;2024-03-21 15:10:00
71.46;2024-03-21 15:15:00
71.58;2024-03-21 15:20:00
71.6;2024-03-21 15:25:00
71.58;2024-03-21 15:30:00
71.46;2024-03-21 15:35:00
71.5;2024-03-21 15:40:00
71.5;2024-03-21 15:45:00
71.28;2024-03-21 15:50:00
71.32;2024-03-21 15:55:00
71.34;2024-03-21 16:00:00
71.26;2024-03-21 16:05:00
71.3;2024-03-21 16:10:00
71.3;2024-03-21 16:15:00
71.3;2024-03-21 16:20:00
71.34;2024-03-21 16:25:00
71.34;2024-03-21 16:30:00
71.12;2024-03-21 16:35:00
70.88;2024-03-21 16:40:00
71.22;2024-03-21 16:45:00
70.66;2024-03-22 09:00:00
70.88;2024-03-22 09:05:00
70.62;2024-03-22 09:10:00
70.6;2024-03-22 09:15:00
71.0;2024-03-22 09:20:00
71.0;2024-03-22 09:25:00
71.18;2024-03-22 09:30:00
70.98;2024-03-22 09:35:00
70.98;2024-03-22 09:40:00
71.02;2024-03-22 09:45:00
71.74;2024-03-22 09:50:00
71.9;2024-03-22 09:55:00
71.82;2024-03-22 10:00:00
71.4;2024-03-22 10:05:00
71.76;2024-03-22 10:10:00
71.42;2024-03-22 10:15:00
71.2;2024-03-22 10:20:00
71.2;2024-03-22 10:25:00
71.38;2024-03-22 10:30:00
71.42;2024-03-22 10:35:00
71.3;2024-03-22 10:40:00
71.26;2024-03-22 10:45:00
71.36;2024-03-22 10:50:00
71.3;2024-03-22 10:55:00
71.3;2024-03-22 11:00:00
71.66;2024-03-22 11:05:00
71.52;2024-03-22 11:10:00
71.54;2024-03-22 11:15:00
71.4;2024-03-22 11:20:00
71.42;2024-03-22 11:25:00
71.42;2024-03-22 11:30:00
71.16;2024-03-22 11:35:00
71.48;2024-03-22 11:40:00
71.6;2024-03-22 11:45:00
71.56;2024-03-22 11:50:00
71.56;2024-03-22 11:55:00
71.58;2024-03-22 12:00:00
71.56;2024-03-22 12:05:00
71.52;2024-03-22 12:10:00
71.38;2024-03-22 12:15:00
70.98;2024-03-22 12:20:00
70.88;2024-03-22 12:25:00
70.82;2024-03-22 12:30:00
70.82;2024-03-22 12:35:00
70.74;2024-03-22 12:40:00
70.88;2024-03-22 12:45:00
70.74;2024-03-22 12:50:00
70.5;2024-03-22 12:55:00
70.32;2024-03-22 13:00:00
70.56;2024-03-22 13:05:00
70.56;2024-03-22 13:10:00
71.0;2024-03-22 13:15:00
70.8;2024-03-22 13:20:00
70.8;2024-03-22 13:25:00
70.94;2024-03-22 13:30:00
70.94;2024-03-22 13:35:00
70.96;2024-03-22 13:40:00
70.9;2024-03-22 13:45:00
70.9;2024-03-22 13:50:00
70.92;2024-03-22 13:55:00
70.96;2024-03-22 14:00:00
71.06;2024-03-22 14:05:00
71.1;2024-03-22 14:10:00
71.12;2024-03-22 14:15:00
71.18;2024-03-22 14:20:00
71.18;2024-03-22 14:25:00
71.02;2024-03-22 14:30:00
71.02;2024-03-22 14:35:00
70.92;2024-03-22 14:40:00
70.74;2024-03-22 14:45:00
70.96;2024-03-22 14:50:00
70.9;2024-03-22 14:55:00
70.9;2024-03-22 15:00:00
70.6;2024-03-22 15:05:00
70.58;2024-03-22 15:10:00
70.68;2024-03-22 15:15:00
70.78;2024-03-22 15:20:00
70.48;2024-03-22 15:25:00
70.4;2024-03-22 15:30:00
70.56;2024-03-22 15:35:00
70.6;2024-03-22 15:40:00
70.6;2024-03-22 15:45:00
70.48;2024-03-22 15:50:00
70.38;2024-03-22 15:55:00
70.6;2024-03-22 16:00:00
70.74;2024-03-22 16:05:00
70.96;2024-03-22 16:10:00
70.8;2024-03-22 16:15:00
70.48;2024-03-22 16:20:00
70.56;2024-03-22 16:25:00
70.66;2024-03-22 16:30:00
70.4;2024-03-22 16:35:00
70.52;2024-03-22 16:40:00
70.4;2024-03-22 16:45:00
70.38;2024-03-25 09:00:00
70.46;2024-03-25 09:05:00
70.14;2024-03-25 09:10:00
70.26;2024-03-25 09:15:00
70.2;2024-03-25 09:20:00
70.24;2024-03-25 09:25:00
69.88;2024-03-25 09:30:00
69.62;2024-03-25 09:35:00
69.52;2024-03-25 09:40:00
69.38;2024-03-25 09:45:00
69.2;2024-03-25 09:50:00
69.38;2024-03-25 09:55:00
69.5;2024-03-25 10:00:00
69.4;2024-03-25 10:05:00
69.12;2024-03-25 10:10:00
69.2;2024-03-25 10:15:00
68.94;2024-03-25 10:20:00
69.1;2024-03-25 10:25:00
68.98;2024-03-25 10:30:00
68.88;2024-03-25 10:35:00
68.74;2024-03-25 10:40:00
68.92;2024-03-25 10:45:00
69.08;2024-03-25 10:50:00
69.0;2024-03-25 10:55:00
69.06;2024-03-25 11:00:00
68.72;2024-03-25 11:05:00
68.74;2024-03-25 11:10:00
68.78;2024-03-25 11:15:00
68.92;2024-03-25 11:20:00
68.76;2024-03-25 11:25:00
68.72;2024-03-25 11:30:00
68.88;2024-03-25 11:35:00
68.92;2024-03-25 11:40:00
69.06;2024-03-25 11:45:00
69.12;2024-03-25 11:50:00
69.3;2024-03-25 11:55:00
69.28;2024-03-25 12:00:00
69.12;2024-03-25 12:05:00
69.12;2024-03-25 12:10:00
69.28;2024-03-25 12:15:00
69.3;2024-03-25 12:20:00
69.3;2024-03-25 12:25:00
69.28;2024-03-25 12:30:00
69.28;2024-03-25 12:35:00
69.34;2024-03-25 12:40:00
69.18;2024-03-25 12:45:00
69.18;2024-03-25 12:50:00
68.7;2024-03-25 12:55:00
68.7;2024-03-25 13:00:00
68.6;2024-03-25 13:05:00
68.7;2024-03-25 13:10:00
68.88;2024-03-25 13:15:00
68.98;2024-03-25 13:20:00
68.8;2024-03-25 13:25:00
68.92;2024-03-25 13:30:00
68.86;2024-03-25 13:35:00
68.92;2024-03-25 13:40:00
68.8;2024-03-25 13:45:00
68.7;2024-03-25 13:50:00
68.88;2024-03-25 13:55:00
68.88;2024-03-25 14:00:00
68.8;2024-03-25 14:05:00
68.8;2024-03-25 14:10:00
68.88;2024-03-25 14:15:00
68.92;2024-03-25 14:20:00
68.92;2024-03-25 14:25:00
68.74;2024-03-25 14:30:00
68.54;2024-03-25 14:35:00
68.36;2024-03-25 14:40:00
68.68;2024-03-25 14:45:00
68.88;2024-03-25 14:50:00
68.66;2024-03-25 14:55:00
68.96;2024-03-25 15:00:00
68.78;2024-03-25 15:05:00
68.78;2024-03-25 15:10:00
68.82;2024-03-25 15:15:00
69.14;2024-03-25 15:20:00
69.2;2024-03-25 15:25:00
69.26;2024-03-25 15:30:00
69.32;2024-03-25 15:35:00
69.44;2024-03-25 15:40:00
69.2;2024-03-25 15:45:00
69.22;2024-03-25 15:50:00
68.98;2024-03-25 15:55:00
68.94;2024-03-25 16:00:00
68.94;2024-03-25 16:05:00
69.1;2024-03-25 16:10:00
69.0;2024-03-25 16:15:00
69.06;2024-03-25 16:20:00
69.06;2024-03-25 16:25:00
68.76;2024-03-25 16:30:00
68.88;2024-03-25 16:35:00
69.02;2024-03-25 16:40:00
68.66;2024-03-25 16:45:00
69.14;2024-03-26 09:00:00
68.7;2024-03-26 09:05:00
68.54;2024-03-26 09:10:00
68.56;2024-03-26 09:15:00
68.52;2024-03-26 09:20:00
68.52;2024-03-26 09:25:00
68.42;2024-03-26 09:30:00
68.44;2024-03-26 09:35:00
68.62;2024-03-26 09:40:00
68.5;2024-03-26 09:45:00
68.8;2024-03-26 09:50:00
68.82;2024-03-26 09:55:00
68.58;2024-03-26 10:00:00
68.58;2024-03-26 10:05:00
68.58;2024-03-26 10:10:00
68.8;2024-03-26 10:15:00
68.78;2024-03-26 10:20:00
68.98;2024-03-26 10:25:00
69.2;2024-03-26 10:30:00
69.14;2024-03-26 10:35:00
69.22;2024-03-26 10:40:00
69.22;2024-03-26 10:45:00
69.42;2024-03-26 10:50:00
69.54;2024-03-26 10:55:00
69.58;2024-03-26 11:00:00
69.44;2024-03-26 11:05:00
69.58;2024-03-26 11:10:00
69.64;2024-03-26 11:15:00
69.66;2024-03-26 11:20:00
69.72;2024-03-26 11:25:00
69.66;2024-03-26 11:30:00
69.76;2024-03-26 11:35:00
69.86;2024-03-26 11:40:00
