close;open;high;low;vol
111.95;112.5;112.95;111.5;8721
111.7;112.1;112.4;111.7;2298
111.85;111.75;112.15;111.5;3985
112.1;111.95;112.35;111.85;2435
112.75;112.2;112.75;112.2;1069
112.9;112.7;112.95;112.5;2131
113.0;112.9;113.2;112.75;6691
112.95;113.0;113.2;112.95;911
112.65;113.0;113.0;112.6;955
112.6;112.5;112.75;112.45;1502
112.5;112.55;112.6;112.5;1160
112.35;112.6;112.7;112.35;1165
112.4;112.35;112.4;112.3;595
112.15;112.35;112.35;112.05;1416
112.25;112.15;112.3;112.1;837
112.35;112.25;112.35;112.25;416
112.45;112.3;112.5;112.3;812
112.4;112.55;112.55;112.35;548
112.2;112.3;112.35;112.2;1637
112.15;112.2;112.25;112.05;976
112.05;112.25;112.25;112.0;1424
112.2;112.15;112.2;112.05;1225
112.25;112.05;112.25;112.05;573
112.05;112.2;112.25;112.05;714
111.7;112.05;112.15;111.7;5970
111.95;111.7;111.95;111.7;2692
111.7;111.9;111.95;111.7;3428
110.85;111.9;111.9;110.85;9003
111.15;111.05;111.15;111.05;779
111.1;111.05;111.2;110.9;2010
111.15;111.2;111.5;111.1;2583
111.5;111.15;111.55;111.15;1919
111.3;111.5;111.5;111.3;677
111.4;111.3;111.6;111.3;1359
111.8;111.4;111.8;111.4;808
111.95;111.7;112.0;111.7;819
111.9;112.0;112.2;111.9;1917
111.8;111.85;111.9;111.7;720
112.05;111.9;112.05;111.8;228
111.9;112.0;112.05;111.9;525
111.8;111.9;112.0;111.8;683
111.7;111.8;111.85;111.7;779
111.7;111.7;111.95;111.7;935
111.8;111.8;111.85;111.45;2235
111.65;111.8;111.8;111.65;1405
111.75;111.65;111.8;111.65;585
111.85;111.75;111.9;111.75;1392
112.0;111.75;112.0;111.75;997
111.7;111.95;112.0;111.7;647
111.5;111.9;111.9;111.45;1303
111.45;111.5;111.55;111.45;970
111.2;111.45;111.45;111.15;1833
111.35;111.25;111.35;111.25;226
111.65;111.35;111.65;111.3;1423
111.6;111.7;111.8;111.6;1571
111.75;111.75;111.75;111.6;94
111.5;111.75;111.75;111.5;1243
112.0;111.5;112.0;111.5;2978
111.7;112.0;112.0;111.7;1478
111.8;111.7;111.85;111.6;1992
111.6;111.8;111.9;111.6;1645
111.05;111.55;111.6;111.05;2008
111.25;111.05;111.3;111.05;4059
111.2;111.3;111.35;111.1;1172
111.2;111.3;111.3;110.9;6858
111.1;111.15;111.15;111.0;2070
111.1;111.1;111.25;110.95;1890
110.9;111.1;111.2;110.9;2483
110.9;110.85;110.9;110.8;4867
110.65;110.9;110.95;110.5;4921
110.95;110.65;110.95;110.65;1400
110.3;110.75;110.75;110.25;6762
110.15;110.25;110.4;110.1;5532
110.0;110.05;110.2;109.85;8097
109.6;110.1;110.1;109.5;5585
109.8;109.55;109.8;109.45;3187
109.7;109.8;109.85;109.45;4443
109.7;109.7;109.75;109.6;2960
110.0;109.6;110.05;109.5;7647
109.95;110.0;110.05;109.75;3474
109.8;110.0;110.1;109.8;3180
109.7;109.9;109.9;109.5;3271
109.9;109.55;109.9;109.5;2298
109.75;109.9;109.95;109.65;5439
