y;ds
1.586;2024-03-19 09:00:00
1.586;2024-03-19 09:05:00
1.58;2024-03-19 09:10:00
1.58;2024-03-19 09:15:00
1.59;2024-03-19 09:20:00
1.59;2024-03-19 09:25:00
1.59;2024-03-19 09:30:00
1.59;2024-03-19 09:35:00
1.59;2024-03-19 09:40:00
1.582;2024-03-19 09:45:00
1.614;2024-03-19 09:50:00
1.64;2024-03-19 09:55:00
1.63;2024-03-19 10:00:00
1.632;2024-03-19 10:05:00
1.632;2024-03-19 10:10:00
1.604;2024-03-19 10:15:00
1.602;2024-03-19 10:20:00
1.594;2024-03-19 10:25:00
1.614;2024-03-19 10:30:00
1.592;2024-03-19 10:35:00
1.61;2024-03-19 10:40:00
1.59;2024-03-19 10:45:00
1.598;2024-03-19 10:50:00
1.59;2024-03-19 10:55:00
1.584;2024-03-19 11:00:00
1.584;2024-03-19 11:05:00
1.59;2024-03-19 11:10:00
1.582;2024-03-19 11:15:00
1.59;2024-03-19 11:20:00
1.59;2024-03-19 11:25:00
1.59;2024-03-19 11:30:00
1.598;2024-03-19 11:35:00
1.598;2024-03-19 11:40:00
1.598;2024-03-19 11:45:00
1.584;2024-03-19 11:50:00
1.58;2024-03-19 11:55:00
1.572;2024-03-19 12:00:00
1.572;2024-03-19 12:05:00
1.584;2024-03-19 12:10:00
1.584;2024-03-19 12:15:00
1.57;2024-03-19 12:20:00
1.57;2024-03-19 12:25:00
1.586;2024-03-19 12:30:00
1.588;2024-03-19 12:35:00
1.59;2024-03-19 12:40:00
1.58;2024-03-19 12:45:00
1.58;2024-03-19 12:50:00
1.58;2024-03-19 12:55:00
1.574;2024-03-19 13:00:00
1.562;2024-03-19 13:05:00
1.57;2024-03-19 13:10:00
1.57;2024-03-19 13:15:00
1.57;2024-03-19 13:20:00
1.57;2024-03-19 13:25:00
1.57;2024-03-19 13:30:00
1.57;2024-03-19 13:35:00
1.578;2024-03-19 13:40:00
1.572;2024-03-19 13:45:00
1.572;2024-03-19 13:50:00
1.572;2024-03-19 13:55:00
1.572;2024-03-19 14:00:00
1.578;2024-03-19 14:05:00
1.58;2024-03-19 14:10:00
1.58;2024-03-19 14:15:00
1.58;2024-03-19 14:20:00
1.58;2024-03-19 14:25:00
1.572;2024-03-19 14:30:00
1.57;2024-03-19 14:35:00
1.572;2024-03-19 14:40:00
1.568;2024-03-19 14:45:00
1.576;2024-03-19 14:50:00
1.578;2024-03-19 14:55:00
1.58;2024-03-19 15:00:00
1.58;2024-03-19 15:05:00
1.578;2024-03-19 15:10:00
1.57;2024-03-19 15:15:00
1.57;2024-03-19 15:20:00
1.58;2024-03-19 15:25:00
1.578;2024-03-19 15:30:00
1.564;2024-03-19 15:35:00
1.564;2024-03-19 15:40:00
1.564;2024-03-19 15:45:00
1.56;2024-03-19 15:50:00
1.58;2024-03-19 15:55:00
1.58;2024-03-19 16:00:00
1.568;2024-03-19 16:05:00
