close;open;high;low;vol
237.0;237.0;237.0;236.0;118
237.0;237.0;237.0;237.0;1
231.0;236.0;236.0;222.0;2167
230.0;230.0;232.0;230.0;191
232.0;232.0;233.0;231.0;186
233.0;233.0;233.0;233.0;80
233.0;232.0;233.0;232.0;91
234.0;234.0;234.0;234.0;10
232.0;234.0;234.0;232.0;176
234.0;232.0;234.0;232.0;52
234.0;234.0;234.0;234.0;0
234.0;232.0;234.0;232.0;137
234.0;234.0;234.0;234.0;0
234.0;234.0;234.0;234.0;45
233.0;233.0;233.0;233.0;5
233.0;233.0;233.0;232.0;322
232.0;232.0;232.0;232.0;310
232.0;232.0;232.0;232.0;30
233.0;233.0;233.0;233.0;2
231.0;233.0;233.0;231.0;116
231.0;231.0;231.0;231.0;50
231.0;231.0;231.0;231.0;150
230.0;231.0;231.0;230.0;50
230.0;230.0;230.0;230.0;140
231.0;231.0;231.0;231.0;48
230.0;231.0;231.0;230.0;73
228.0;229.0;229.0;228.0;55
230.0;229.0;230.0;229.0;107
230.0;230.0;230.0;230.0;0
229.0;228.0;229.0;228.0;52
229.0;229.0;229.0;229.0;5
228.0;228.0;228.0;228.0;49
227.0;229.0;229.0;227.0;112
228.0;228.0;228.0;227.0;117
227.0;229.0;229.0;227.0;122
227.0;227.0;227.0;227.0;76
228.0;228.0;228.0;228.0;41
228.0;228.0;228.0;228.0;52
228.0;228.0;228.0;228.0;0
228.0;227.0;228.0;227.0;44
227.0;227.0;227.0;227.0;85
227.0;226.0;227.0;226.0;52
227.0;226.0;227.0;226.0;213
227.0;227.0;227.0;227.0;0
228.0;228.0;228.0;228.0;46
227.0;227.0;227.0;227.0;16
227.0;227.0;228.0;227.0;148
227.0;227.0;227.0;227.0;22
227.0;227.0;227.0;227.0;0
228.0;227.0;228.0;227.0;64
228.0;228.0;228.0;228.0;0
228.0;227.0;228.0;227.0;45
228.0;228.0;228.0;228.0;0
229.0;228.0;229.0;228.0;61
229.0;227.0;229.0;227.0;13
229.0;229.0;229.0;229.0;170
229.0;229.0;229.0;229.0;0
229.0;229.0;229.0;229.0;149
229.0;229.0;229.0;229.0;0
230.0;230.0;230.0;230.0;40
230.0;230.0;230.0;230.0;0
230.0;230.0;230.0;230.0;52
229.0;229.0;229.0;229.0;62
229.0;229.0;229.0;229.0;0
230.0;229.0;230.0;229.0;46
230.0;230.0;230.0;230.0;0
230.0;230.0;230.0;230.0;42
229.0;228.0;229.0;228.0;9
230.0;230.0;230.0;230.0;31
229.0;229.0;229.0;229.0;3
228.0;228.0;229.0;228.0;72
229.0;229.0;229.0;229.0;45
230.0;230.0;230.0;230.0;101
230.0;230.0;230.0;230.0;47
229.0;230.0;230.0;228.0;271
229.0;229.0;229.0;229.0;48
229.0;229.0;229.0;229.0;53
230.0;229.0;230.0;229.0;540
233.0;230.0;233.0;230.0;315
231.0;231.0;231.0;231.0;18
230.0;230.0;230.0;230.0;337
230.0;230.0;230.0;230.0;0
230.0;230.0;230.0;230.0;53
230.0;230.0;230.0;230.0;135
231.0;231.0;232.0;231.0;232
231.0;231.0;231.0;231.0;17
234.0;234.0;234.0;234.0;39
234.0;234.0;234.0;234.0;0
234.0;234.0;234.0;234.0;50
234.0;234.0;234.0;234.0;94
235.0;234.0;235.0;234.0;61
234.0;234.0;234.0;234.0;69
235.0;234.0;235.0;234.0;64
234.0;234.0;235.0;234.0;187
238.0;238.0;240.0;238.0;322
240.0;237.0;240.0;237.0;4
242.0;240.0;242.0;240.0;52
240.0;242.0;242.0;240.0;145
240.0;240.0;240.0;240.0;48
241.0;241.0;241.0;241.0;36
241.0;241.0;241.0;241.0;0
242.0;242.0;242.0;242.0;1
245.0;242.0;245.0;242.0;39
243.0;243.0;243.0;243.0;36
245.0;245.0;245.0;245.0;2
249.0;246.0;249.0;246.0;215
249.0;249.0;249.0;249.0;0
245.0;245.0;245.0;245.0;101
245.0;245.0;245.0;245.0;0
246.0;246.0;246.0;245.0;30
247.0;246.0;247.0;246.0;7
248.0;248.0;248.0;248.0;38
246.0;245.0;247.0;243.0;204
242.0;243.0;243.0;242.0;45
247.0;247.0;247.0;247.0;1
247.0;247.0;247.0;247.0;0
247.0;247.0;247.0;247.0;0
245.0;246.0;246.0;245.0;38
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;18
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;19
245.0;243.0;245.0;243.0;4
242.0;243.0;243.0;242.0;165
242.0;242.0;242.0;242.0;0
242.0;242.0;242.0;242.0;5
242.0;242.0;242.0;242.0;0
242.0;242.0;242.0;242.0;0
245.0;243.0;245.0;243.0;57
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;18
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;5000
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;0
243.0;243.0;243.0;243.0;1
245.0;245.0;245.0;245.0;117
245.0;245.0;245.0;245.0;30
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;0
246.0;246.0;246.0;246.0;13
246.0;246.0;246.0;246.0;18
246.0;246.0;246.0;246.0;0
246.0;246.0;246.0;246.0;0
245.0;245.0;245.0;245.0;9
245.0;245.0;245.0;245.0;0
244.0;244.0;244.0;244.0;106
244.0;244.0;244.0;244.0;2
244.0;244.0;244.0;244.0;0
244.0;244.0;244.0;244.0;0
244.0;244.0;244.0;244.0;0
244.0;244.0;244.0;244.0;0
244.0;244.0;244.0;244.0;4
244.0;244.0;244.0;244.0;9
244.0;244.0;244.0;244.0;0
244.0;244.0;244.0;244.0;0
244.0;244.0;244.0;244.0;10
244.0;244.0;244.0;244.0;0
244.0;244.0;244.0;244.0;0
244.0;244.0;244.0;244.0;0
244.0;244.0;244.0;244.0;0
244.0;244.0;244.0;244.0;0
243.0;244.0;244.0;243.0;48
245.0;244.0;245.0;244.0;114
244.0;244.0;244.0;244.0;7
245.0;245.0;245.0;245.0;4
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;29
244.0;244.0;244.0;244.0;1
245.0;245.0;245.0;245.0;5
245.0;245.0;245.0;245.0;0
245.0;245.0;245.0;245.0;62
247.0;246.0;247.0;246.0;98
247.0;247.0;247.0;247.0;0
247.0;247.0;247.0;247.0;0
247.0;247.0;247.0;247.0;0
247.0;247.0;247.0;247.0;0
247.0;247.0;247.0;247.0;0
248.0;248.0;248.0;248.0;15
248.0;248.0;248.0;248.0;17
255.0;252.0;255.0;252.0;476
255.0;255.0;255.0;252.0;114
255.0;254.0;255.0;254.0;11
255.0;255.0;255.0;254.0;20
255.0;255.0;255.0;255.0;596
256.0;256.0;256.0;256.0;50
257.0;256.0;257.0;256.0;33
257.0;257.0;257.0;257.0;56
257.0;257.0;257.0;257.0;0
258.0;258.0;258.0;258.0;6
256.0;256.0;256.0;256.0;3
255.0;255.0;255.0;255.0;17
256.0;255.0;256.0;255.0;81
256.0;256.0;256.0;256.0;0
256.0;256.0;256.0;256.0;0
254.0;255.0;255.0;254.0;137
254.0;254.0;254.0;254.0;0
254.0;254.0;254.0;254.0;0
254.0;254.0;254.0;254.0;0
257.0;255.0;257.0;255.0;10
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;15
258.0;257.0;258.0;257.0;40
258.0;258.0;258.0;258.0;0
258.0;258.0;258.0;258.0;0
258.0;258.0;258.0;258.0;0
258.0;258.0;258.0;258.0;12
258.0;258.0;258.0;258.0;0
258.0;258.0;258.0;258.0;0
258.0;258.0;258.0;258.0;0
257.0;257.0;257.0;257.0;8
257.0;257.0;257.0;257.0;29
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;0
257.0;257.0;257.0;257.0;1
257.0;257.0;257.0;257.0;0
254.0;257.0;257.0;254.0;37
254.0;254.0;254.0;254.0;0
254.0;254.0;254.0;254.0;30
255.0;255.0;255.0;255.0;100
254.0;254.0;254.0;254.0;11
253.0;254.0;254.0;253.0;15
253.0;253.0;253.0;253.0;0
253.0;253.0;253.0;253.0;0
253.0;253.0;253.0;253.0;0
253.0;253.0;253.0;253.0;0
253.0;253.0;253.0;253.0;0
252.0;253.0;253.0;252.0;37
255.0;255.0;255.0;255.0;5
252.0;252.0;252.0;252.0;10
255.0;255.0;255.0;255.0;36
253.0;253.0;253.0;253.0;2
253.0;253.0;253.0;253.0;0
253.0;253.0;253.0;253.0;0
253.0;253.0;253.0;253.0;0
253.0;253.0;253.0;253.0;0
255.0;255.0;255.0;255.0;4
255.0;255.0;255.0;255.0;0
254.0;254.0;254.0;254.0;10000
254.0;254.0;254.0;254.0;0
254.0;254.0;254.0;254.0;0
254.0;254.0;254.0;254.0;0
254.0;254.0;254.0;254.0;22
254.0;254.0;254.0;254.0;0
254.0;254.0;254.0;254.0;0
255.0;255.0;255.0;255.0;25
255.0;255.0;255.0;255.0;0
255.0;255.0;255.0;255.0;0
255.0;255.0;255.0;255.0;0
255.0;255.0;255.0;255.0;0
255.0;255.0;255.0;255.0;0
255.0;255.0;255.0;255.0;0
254.0;254.0;254.0;254.0;77
254.0;254.0;254.0;254.0;34
253.0;253.0;253.0;253.0;20
253.0;253.0;253.0;253.0;0
253.0;253.0;253.0;253.0;0
253.0;253.0;253.0;253.0;0
253.0;253.0;253.0;253.0;0
255.0;255.0;255.0;255.0;3
255.0;255.0;255.0;255.0;0
255.0;255.0;255.0;255.0;0
253.0;253.0;253.0;253.0;13
253.0;253.0;253.0;253.0;0
257.0;257.0;257.0;257.0;34
257.0;257.0;257.0;257.0;41
253.0;253.0;253.0;253.0;5
250.0;253.0;253.0;250.0;44
249.0;249.0;249.0;249.0;4
249.0;249.0;249.0;249.0;0
249.0;249.0;249.0;249.0;0
249.0;249.0;249.0;249.0;0
252.0;252.0;252.0;252.0;15
250.0;250.0;250.0;250.0;7
250.0;250.0;250.0;250.0;10
252.0;252.0;252.0;252.0;32
252.0;252.0;252.0;252.0;0
252.0;252.0;252.0;252.0;0
252.0;252.0;252.0;252.0;0
251.0;253.0;253.0;251.0;12
251.0;251.0;251.0;251.0;0
250.0;251.0;251.0;250.0;18
252.0;252.0;252.0;252.0;3
252.0;252.0;252.0;252.0;0
252.0;252.0;252.0;252.0;0
252.0;252.0;252.0;252.0;0
252.0;252.0;252.0;252.0;0
251.0;251.0;251.0;251.0;4
251.0;251.0;251.0;251.0;0
251.0;251.0;251.0;251.0;0
251.0;251.0;251.0;251.0;0
251.0;251.0;251.0;251.0;0
251.0;251.0;251.0;251.0;1
251.0;251.0;251.0;251.0;0
250.0;251.0;251.0;250.0;95
250.0;250.0;250.0;250.0;0
250.0;250.0;250.0;250.0;0
250.0;250.0;250.0;250.0;0
250.0;250.0;250.0;250.0;11
