close;open;high;low;vol
8.05;8.13;8.13;8.05;1285
8.1;8.05;8.1;8.05;703
8.09;8.09;8.09;8.09;14
8.09;8.05;8.09;8.05;350
8.01;8.06;8.06;8.01;8678
7.99;8.01;8.01;7.9;19999
8.03;7.99;8.03;7.99;2037
8.03;8.03;8.03;8.03;149
8.03;8.03;8.03;8.03;15
8.08;8.04;8.08;8.04;40
8.03;8.08;8.08;8.03;1053
8.03;8.01;8.03;8.0;2173
8.04;8.03;8.04;8.03;320
8.02;7.99;8.02;7.99;608
8.0;8.02;8.03;8.0;1761
8.03;8.03;8.03;8.03;2
8.0;8.03;8.03;8.0;752
7.97;8.0;8.0;7.97;1210
7.99;8.0;8.0;7.99;19
7.99;7.99;7.99;7.99;118
7.95;7.96;7.96;7.95;694
7.97;7.97;7.97;7.97;37
7.97;7.97;7.97;7.97;13
7.97;7.97;7.97;7.97;86
7.94;7.97;7.97;7.94;1602
7.95;7.93;7.95;7.91;2850
7.97;7.95;7.97;7.95;2032
7.97;7.97;7.97;7.97;23
7.94;7.97;7.97;7.94;269
7.95;7.97;7.97;7.93;1525
7.97;7.95;7.97;7.95;254
7.97;7.96;7.97;7.95;1211
7.97;7.97;7.97;7.97;147
7.97;7.97;7.97;7.97;10
7.97;7.97;7.97;7.97;100
7.95;7.97;7.97;7.95;782
7.96;7.95;7.96;7.95;4
7.95;7.95;7.95;7.95;2
7.98;7.95;7.98;7.95;1630
8.01;7.98;8.01;7.98;8243
8.02;8.02;8.07;8.02;1473
8.04;8.0;8.04;8.0;503
8.02;7.95;8.02;7.95;810
8.02;8.02;8.02;8.02;0
7.98;7.98;7.98;7.98;400
7.97;8.0;8.0;7.97;171
7.96;7.96;7.96;7.96;70
7.96;7.96;7.96;7.96;6
7.96;8.0;8.0;7.96;402
7.96;7.96;7.96;7.96;200
8.01;8.0;8.01;7.99;2143
8.19;8.01;8.19;8.01;23474
8.08;8.08;8.08;8.08;500
8.15;8.18;8.18;8.15;8
8.15;8.15;8.15;8.15;60
8.16;8.15;8.16;8.15;2000
8.16;8.16;8.16;8.16;0
8.05;8.18;8.18;8.05;2022
8.18;8.03;8.18;8.03;127
8.18;8.18;8.18;8.18;0
8.18;8.18;8.18;8.18;0
8.18;8.18;8.18;8.18;400
8.18;8.18;8.18;8.18;0
8.18;8.18;8.18;8.18;0
8.16;8.16;8.16;8.16;2
8.16;8.16;8.16;8.16;0
8.16;8.16;8.16;8.16;0
8.05;8.05;8.05;8.05;102
8.04;8.04;8.04;8.02;3401
8.05;8.04;8.05;8.04;728
8.06;8.06;8.06;8.06;10
8.06;8.02;8.06;7.97;5025
7.99;7.99;7.99;7.99;886
7.99;7.99;7.99;7.99;0
7.99;7.99;7.99;7.99;0
8.04;8.06;8.06;8.04;827
8.05;8.05;8.05;8.05;4789
8.05;8.05;8.05;8.05;565
8.05;8.05;8.05;8.05;0
8.05;8.05;8.05;8.04;2000
8.03;8.05;8.05;8.03;4174
8.03;8.03;8.03;8.03;0
8.03;8.03;8.03;8.03;0
8.03;8.03;8.03;8.03;0
8.03;8.03;8.03;8.03;0
8.1;8.1;8.1;8.1;108
