close;open;high;low;vol
10.49;10.55;10.565;10.46;24289
10.425;10.49;10.52;10.415;28051
10.455;10.44;10.475;10.425;32833
10.485;10.46;10.525;10.46;20718
10.49;10.485;10.49;10.45;8584
10.54;10.49;10.56;10.48;24512
10.515;10.545;10.57;10.515;8205
10.515;10.52;10.54;10.515;3773
10.495;10.52;10.52;10.47;21243
10.495;10.49;10.515;10.49;9488
10.46;10.485;10.49;10.45;6190
10.45;10.455;10.46;10.435;8055
10.445;10.435;10.45;10.43;12303
10.46;10.445;10.465;10.44;26628
10.455;10.465;10.47;10.45;8520
10.44;10.455;10.455;10.43;6948
10.46;10.44;10.46;10.435;3820
10.45;10.46;10.465;10.445;7129
10.44;10.445;10.465;10.44;15437
10.44;10.44;10.44;10.42;6279
10.425;10.43;10.43;10.42;9105
10.4;10.42;10.42;10.4;65379
10.375;10.4;10.405;10.33;59043
10.38;10.375;10.395;10.375;11465
10.34;10.385;10.385;10.335;11400
10.37;10.36;10.375;10.34;16504
10.335;10.38;10.38;10.31;34499
10.31;10.335;10.36;10.31;52570
10.295;10.325;10.325;10.295;44110
10.335;10.3;10.34;10.3;23318
10.34;10.315;10.35;10.315;23877
10.32;10.34;10.355;10.32;11457
10.35;10.31;10.35;10.31;24573
10.355;10.35;10.355;10.35;7814
10.375;10.355;10.38;10.34;9170
10.355;10.36;10.375;10.35;8838
10.32;10.355;10.36;10.32;9878
10.275;10.32;10.33;10.26;47202
10.27;10.275;10.29;10.27;11899
10.27;10.28;10.285;10.26;14667
10.225;10.265;10.265;10.225;33540
10.22;10.225;10.23;10.2;93738
10.215;10.22;10.24;10.21;9416
10.19;10.235;10.245;10.185;29721
10.18;10.19;10.21;10.17;39677
10.18;10.185;10.195;10.17;25523
10.18;10.18;10.205;10.17;38152
10.175;10.19;10.2;10.175;11319
10.19;10.175;10.195;10.17;23673
10.155;10.195;10.195;10.135;37972
10.2;10.155;10.205;10.125;18701
10.165;10.2;10.225;10.145;35923
10.18;10.165;10.185;10.16;8234
10.2;10.17;10.2;10.165;5890
10.19;10.19;10.195;10.17;12734
10.19;10.19;10.205;10.165;8269
