y;ds
405.6;2024-03-19 09:00:00
405.8;2024-03-19 09:05:00
406.9;2024-03-19 09:10:00
408.1;2024-03-19 09:15:00
407.8;2024-03-19 09:20:00
408.7;2024-03-19 09:25:00
407.4;2024-03-19 09:30:00
407.3;2024-03-19 09:35:00
407.4;2024-03-19 09:40:00
406.8;2024-03-19 09:45:00
405.8;2024-03-19 09:50:00
406.3;2024-03-19 09:55:00
406.9;2024-03-19 10:00:00
406.6;2024-03-19 10:05:00
407.3;2024-03-19 10:10:00
408.3;2024-03-19 10:15:00
408.8;2024-03-19 10:20:00
408.3;2024-03-19 10:25:00
407.4;2024-03-19 10:30:00
407.4;2024-03-19 10:35:00
406.9;2024-03-19 10:40:00
406.8;2024-03-19 10:45:00
407.2;2024-03-19 10:50:00
408.0;2024-03-19 10:55:00
407.3;2024-03-19 11:00:00
407.1;2024-03-19 11:05:00
407.5;2024-03-19 11:10:00
406.1;2024-03-19 11:15:00
405.6;2024-03-19 11:20:00
405.6;2024-03-19 11:25:00
406.7;2024-03-19 11:30:00
406.8;2024-03-19 11:35:00
407.1;2024-03-19 11:40:00
406.4;2024-03-19 11:45:00
406.3;2024-03-19 11:50:00
406.4;2024-03-19 11:55:00
406.1;2024-03-19 12:00:00
406.5;2024-03-19 12:05:00
406.5;2024-03-19 12:10:00
406.8;2024-03-19 12:15:00
406.1;2024-03-19 12:20:00
406.5;2024-03-19 12:25:00
408.2;2024-03-19 12:30:00
408.2;2024-03-19 12:35:00
407.9;2024-03-19 12:40:00
408.5;2024-03-19 12:45:00
407.9;2024-03-19 12:50:00
409.5;2024-03-19 12:55:00
409.4;2024-03-19 13:00:00
410.7;2024-03-19 13:05:00
410.2;2024-03-19 13:10:00
411.2;2024-03-19 13:15:00
411.4;2024-03-19 13:20:00
413.0;2024-03-19 13:25:00
415.2;2024-03-19 13:30:00
413.5;2024-03-19 13:35:00
413.5;2024-03-19 13:40:00
412.8;2024-03-19 13:45:00
411.6;2024-03-19 13:50:00
410.9;2024-03-19 13:55:00
410.4;2024-03-19 14:00:00
410.2;2024-03-19 14:05:00
409.4;2024-03-19 14:10:00
409.5;2024-03-19 14:15:00
408.9;2024-03-19 14:20:00
408.5;2024-03-19 14:25:00
408.7;2024-03-19 14:30:00
408.7;2024-03-19 14:35:00
408.1;2024-03-19 14:40:00
407.5;2024-03-19 14:45:00
408.1;2024-03-19 14:50:00
408.9;2024-03-19 14:55:00
409.2;2024-03-19 15:00:00
408.1;2024-03-19 15:05:00
408.7;2024-03-19 15:10:00
409.9;2024-03-19 15:15:00
410.5;2024-03-19 15:20:00
410.0;2024-03-19 15:25:00
409.8;2024-03-19 15:30:00
410.3;2024-03-19 15:35:00
410.4;2024-03-19 15:40:00
409.3;2024-03-19 15:45:00
410.6;2024-03-19 15:50:00
411.1;2024-03-19 15:55:00
410.5;2024-03-19 16:00:00
411.7;2024-03-19 16:05:00
410.6;2024-03-19 16:10:00
411.3;2024-03-19 16:15:00
410.7;2024-03-19 16:20:00
412.4;2024-03-19 16:25:00
413.8;2024-03-19 16:30:00
411.8;2024-03-19 16:35:00
412.0;2024-03-19 16:40:00
412.0;2024-03-19 16:45:00
409.7;2024-03-20 09:00:00
411.1;2024-03-20 09:05:00
407.8;2024-03-20 09:10:00
406.7;2024-03-20 09:15:00
407.3;2024-03-20 09:20:00
406.1;2024-03-20 09:25:00
406.7;2024-03-20 09:30:00
405.9;2024-03-20 09:35:00
405.0;2024-03-20 09:40:00
404.8;2024-03-20 09:45:00
405.3;2024-03-20 09:50:00
405.6;2024-03-20 09:55:00
405.3;2024-03-20 10:00:00
407.1;2024-03-20 10:05:00
408.4;2024-03-20 10:10:00
407.9;2024-03-20 10:15:00
407.4;2024-03-20 10:20:00
406.4;2024-03-20 10:25:00
406.8;2024-03-20 10:30:00
408.2;2024-03-20 10:35:00
407.8;2024-03-20 10:40:00
408.5;2024-03-20 10:45:00
409.0;2024-03-20 10:50:00
408.8;2024-03-20 10:55:00
407.9;2024-03-20 11:00:00
407.9;2024-03-20 11:05:00
408.3;2024-03-20 11:10:00
407.9;2024-03-20 11:15:00
407.5;2024-03-20 11:20:00
407.4;2024-03-20 11:25:00
407.6;2024-03-20 11:30:00
407.9;2024-03-20 11:35:00
407.4;2024-03-20 11:40:00
407.7;2024-03-20 11:45:00
407.8;2024-03-20 11:50:00
408.7;2024-03-20 11:55:00
409.6;2024-03-20 12:00:00
409.1;2024-03-20 12:05:00
409.1;2024-03-20 12:10:00
409.3;2024-03-20 12:15:00
408.0;2024-03-20 12:20:00
408.5;2024-03-20 12:25:00
408.3;2024-03-20 12:30:00
408.3;2024-03-20 12:35:00
408.8;2024-03-20 12:40:00
408.7;2024-03-20 12:45:00
408.3;2024-03-20 12:50:00
408.5;2024-03-20 12:55:00
409.2;2024-03-20 13:00:00
408.5;2024-03-20 13:05:00
408.0;2024-03-20 13:10:00
408.0;2024-03-20 13:15:00
407.6;2024-03-20 13:20:00
408.5;2024-03-20 13:25:00
408.0;2024-03-20 13:30:00
408.0;2024-03-20 13:35:00
408.4;2024-03-20 13:40:00
408.4;2024-03-20 13:45:00
407.9;2024-03-20 13:50:00
407.9;2024-03-20 13:55:00
406.9;2024-03-20 14:00:00
406.1;2024-03-20 14:05:00
405.7;2024-03-20 14:10:00
406.5;2024-03-20 14:15:00
407.5;2024-03-20 14:20:00
407.6;2024-03-20 14:25:00
406.8;2024-03-20 14:30:00
407.2;2024-03-20 14:35:00
407.2;2024-03-20 14:40:00
406.8;2024-03-20 14:45:00
405.8;2024-03-20 14:50:00
404.8;2024-03-20 14:55:00
404.9;2024-03-20 15:00:00
406.3;2024-03-20 15:05:00
405.9;2024-03-20 15:10:00
405.9;2024-03-20 15:15:00
406.6;2024-03-20 15:20:00
406.6;2024-03-20 15:25:00
407.1;2024-03-20 15:30:00
406.2;2024-03-20 15:35:00
406.6;2024-03-20 15:40:00
407.5;2024-03-20 15:45:00
408.0;2024-03-20 15:50:00
407.8;2024-03-20 15:55:00
407.5;2024-03-20 16:00:00
406.8;2024-03-20 16:05:00
407.6;2024-03-20 16:10:00
407.5;2024-03-20 16:15:00
407.7;2024-03-20 16:20:00
406.8;2024-03-20 16:25:00
406.0;2024-03-20 16:30:00
405.8;2024-03-20 16:35:00
405.8;2024-03-20 16:40:00
406.0;2024-03-20 16:45:00
410.5;2024-03-21 09:00:00
407.8;2024-03-21 09:05:00
405.7;2024-03-21 09:10:00
405.0;2024-03-21 09:15:00
403.7;2024-03-21 09:20:00
405.1;2024-03-21 09:25:00
404.1;2024-03-21 09:30:00
405.0;2024-03-21 09:35:00
403.3;2024-03-21 09:40:00
405.8;2024-03-21 09:45:00
