close;open;high;low;vol
5.31;5.28;5.31;5.28;700.0
5.27;5.27;5.27;5.27;10.0
5.23;5.27;5.27;5.23;1914.0
5.28;5.28;5.28;5.28;4.0
5.28;5.28;5.28;5.28;378.0
5.28;5.28;5.28;5.28;0.0
5.31;5.31;5.31;5.31;8.0
5.31;5.31;5.31;5.31;0.0
5.31;5.31;5.31;5.31;0.0
5.31;5.31;5.31;5.31;0.0
5.3;5.29;5.3;5.29;355.0
5.3;5.3;5.3;5.3;40.0
5.3;5.3;5.3;5.3;0.0
5.3;5.3;5.3;5.3;0.0
5.3;5.3;5.3;5.3;0.0
5.3;5.3;5.3;5.3;184.0
5.3;5.3;5.3;5.3;12.0
5.29;5.3;5.3;5.29;1000.0
5.29;5.29;5.29;5.29;0.0
5.29;5.29;5.29;5.29;203.0
5.29;5.29;5.29;5.29;0.0
5.29;5.28;5.29;5.28;138.0
5.27;5.29;5.29;5.26;29.0
5.27;5.27;5.27;5.27;0.0
5.27;5.27;5.27;5.27;0.0
5.27;5.27;5.27;5.27;0.0
5.27;5.27;5.27;5.27;0.0
5.29;5.27;5.29;5.27;1236.0
5.29;5.29;5.29;5.29;0.0
5.29;5.29;5.29;5.29;100.0
5.29;5.29;5.29;5.29;0.0
5.28;5.28;5.28;5.28;2.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;8.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;2.0
5.28;5.28;5.28;5.28;0.0
5.26;5.27;5.27;5.26;988.0
5.25;5.26;5.26;5.24;1795.0
5.24;5.24;5.24;5.24;2.0
5.24;5.24;5.24;5.24;0.0
5.22;5.23;5.23;5.22;642.0
5.22;5.22;5.22;5.22;0.0
5.21;5.22;5.22;5.21;405.0
5.21;5.21;5.21;5.21;0.0
5.22;5.22;5.22;5.22;500.0
5.22;5.22;5.22;5.22;0.0
5.22;5.22;5.22;5.22;0.0
5.22;5.22;5.22;5.22;141.0
5.22;5.22;5.22;5.22;400.0
5.24;5.23;5.24;5.23;13.0
5.24;5.24;5.24;5.24;0.0
5.23;5.24;5.24;5.23;21.0
5.23;5.23;5.23;5.23;0.0
5.23;5.23;5.23;5.23;500.0
5.2;5.22;5.22;5.19;10100.0
5.21;5.21;5.21;5.21;2.0
5.21;5.21;5.21;5.21;0.0
5.21;5.21;5.21;5.21;0.0
5.21;5.21;5.21;5.21;0.0
5.21;5.21;5.21;5.21;0.0
5.21;5.22;5.22;5.21;14.0
5.22;5.22;5.22;5.22;1500.0
5.23;5.22;5.23;5.22;19.0
5.23;5.23;5.23;5.23;0.0
5.23;5.23;5.23;5.23;0.0
5.23;5.23;5.23;5.23;0.0
5.21;5.21;5.21;5.2;5500.0
5.21;5.21;5.21;5.21;125.0
5.2;5.21;5.21;5.2;5000.0
5.2;5.2;5.2;5.2;0.0
5.2;5.2;5.2;5.2;0.0
5.22;5.21;5.22;5.21;480.0
5.19;5.21;5.21;5.19;5500.0
5.19;5.19;5.19;5.19;6.0
5.19;5.19;5.19;5.19;500.0
5.19;5.19;5.19;5.19;250.0
5.19;5.19;5.19;5.19;0.0
5.19;5.19;5.19;5.19;0.0
5.19;5.19;5.19;5.19;0.0
5.19;5.19;5.19;5.19;0.0
5.18;5.18;5.18;5.18;250.0
5.19;5.19;5.19;5.19;202.0
5.2;5.19;5.2;5.19;9000.0
5.2;5.2;5.2;5.2;50.0
5.2;5.2;5.2;5.2;0.0
5.2;5.2;5.2;5.2;4.0
5.19;5.19;5.19;5.19;800.0
5.19;5.19;5.19;5.19;0.0
5.2;5.19;5.2;5.19;4283.0
5.21;5.2;5.21;5.2;5785.0
5.21;5.19;5.21;5.19;196.0
5.3;5.21;5.3;5.21;14436.0
5.21;5.2;5.29;5.2;1798.0
5.26;5.28;5.28;5.26;697.0
5.24;5.25;5.25;5.24;810.0
5.24;5.24;5.25;5.24;1470.0
5.24;5.24;5.24;5.24;1287.0
5.24;5.24;5.27;5.23;18.0
5.28;5.26;5.28;5.26;452.0
5.27;5.27;5.27;5.27;4.0
5.25;5.26;5.26;5.24;42.0
5.27;5.24;5.27;5.24;2646.0
5.28;5.27;5.28;5.27;86.0
5.28;5.28;5.28;5.28;0.0
5.26;5.26;5.26;5.26;10.0
5.26;5.26;5.26;5.26;0.0
5.26;5.26;5.26;5.26;0.0
5.28;5.28;5.28;5.28;17.0
5.28;5.28;5.28;5.28;3281.0
5.28;5.28;5.28;5.28;0.0
5.29;5.28;5.29;5.28;1900.0
5.29;5.29;5.29;5.29;0.0
5.29;5.29;5.29;5.29;0.0
5.29;5.29;5.29;5.29;0.0
5.28;5.28;5.28;5.28;900.0
5.28;5.28;5.28;5.28;0.0
5.3;5.29;5.3;5.29;10794.0
5.27;5.28;5.28;5.27;10.0
5.26;5.27;5.27;5.26;3347.0
5.26;5.26;5.26;5.26;0.0
5.26;5.26;5.26;5.26;0.0
5.26;5.26;5.26;5.26;0.0
5.26;5.26;5.26;5.26;0.0
5.26;5.26;5.26;5.26;0.0
5.27;5.27;5.27;5.27;2.0
5.26;5.26;5.26;5.26;207.0
5.28;5.27;5.28;5.27;125.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;0.0
5.27;5.27;5.27;5.27;900.0
5.28;5.28;5.28;5.27;2113.0
5.28;5.27;5.28;5.27;36.0
5.28;5.28;5.28;5.28;164.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;3.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;1334.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;50.0
5.29;5.29;5.29;5.29;95.0
5.29;5.29;5.29;5.29;100.0
5.29;5.29;5.29;5.29;0.0
5.29;5.29;5.29;5.29;0.0
5.28;5.29;5.29;5.28;295.0
5.28;5.28;5.28;5.28;0.0
5.28;5.28;5.28;5.28;0.0
5.29;5.29;5.29;5.29;3065.0
5.29;5.29;5.29;5.29;2.0
5.29;5.29;5.29;5.29;0.0
5.29;5.29;5.29;5.29;0.0
5.29;5.29;5.29;5.29;1375.0
5.29;5.29;5.29;5.29;650.0
5.3;5.3;5.3;5.3;374.0
5.3;5.29;5.3;5.29;17324.0
5.3;5.3;5.3;5.3;0.0
5.3;5.3;5.3;5.3;0.0
5.3;5.3;5.3;5.3;0.0
5.3;5.3;5.3;5.3;0.0
5.29;5.29;5.29;5.29;1300.0
5.29;5.29;5.29;5.29;0.0
5.29;5.29;5.29;5.29;0.0
5.29;5.29;5.29;5.29;0.0
5.29;5.29;5.29;5.29;0.0
5.3;5.3;5.3;5.29;1253.0
5.29;5.29;5.29;5.29;39.0
5.29;5.29;5.29;5.29;0.0
5.29;5.3;5.3;5.29;20.0
5.29;5.29;5.29;5.29;500.0
5.29;5.29;5.29;5.29;1.0
5.29;5.3;5.3;5.29;2692.0
5.29;5.29;5.29;5.29;5394.0
5.28;5.29;5.29;5.28;922.0
5.28;5.28;5.28;5.28;214.0
5.28;5.27;5.28;5.27;5055.0
5.28;5.29;5.29;5.28;474.0
5.27;5.28;5.29;5.27;4026.0
5.27;5.27;5.27;5.27;0.0
5.27;5.27;5.27;5.27;0.0
5.27;5.27;5.27;5.27;0.0
