close;open;high;low;vol
9.12;9.14;9.14;9.08;6539
9.12;9.12;9.12;9.12;0
8.945;9.045;9.06;8.92;18826
8.985;8.945;9.015;8.945;8522
8.965;8.975;8.995;8.965;2381
8.95;8.97;8.97;8.95;1267
8.96;8.95;8.96;8.95;1136
8.975;8.96;8.975;8.96;1050
8.985;8.985;8.985;8.985;150
8.975;8.985;8.985;8.955;5269
8.95;8.955;8.955;8.95;979
8.995;8.96;8.995;8.935;6695
8.995;8.995;8.995;8.995;0
8.995;8.995;8.995;8.995;0
8.995;8.995;8.995;8.995;0
8.995;8.995;8.995;8.995;0
9.0;8.995;9.0;8.985;4397
8.975;8.985;8.985;8.97;2219
8.985;8.965;8.985;8.96;2547
8.955;8.955;8.955;8.955;500
8.965;8.965;8.965;8.965;397
8.955;8.955;8.975;8.935;7311
8.965;8.965;8.97;8.95;6167
8.975;8.965;8.975;8.965;5430
9.0;8.98;9.0;8.98;4296
9.0;9.0;9.0;9.0;550
9.0;9.0;9.0;9.0;0
8.96;8.96;8.96;8.96;453
8.955;8.96;8.96;8.955;1040
8.96;8.96;8.96;8.96;666
8.97;8.96;8.995;8.935;12580
8.965;8.965;8.97;8.96;3605
8.965;8.94;8.97;8.94;1395
8.98;8.95;8.98;8.95;3563
8.945;8.95;8.95;8.94;4270
8.945;8.945;8.945;8.945;0
8.94;8.94;8.945;8.93;9137
8.885;8.925;8.925;8.86;25649
8.89;8.88;8.89;8.88;1901
8.85;8.87;8.88;8.85;4475
8.87;8.845;8.87;8.845;1868
8.85;8.845;8.85;8.845;562
8.835;8.84;8.86;8.82;11299
8.86;8.835;8.86;8.835;11890
8.85;8.86;8.86;8.85;2088
8.845;8.845;8.845;8.845;350
8.83;8.84;8.845;8.83;3904
8.855;8.845;8.855;8.845;1741
8.86;8.855;8.86;8.83;2253
8.835;8.85;8.85;8.835;1633
8.835;8.83;8.835;8.825;2682
8.92;8.835;8.92;8.835;20963
8.92;8.92;8.92;8.92;0
8.885;8.885;8.885;8.885;420
8.915;8.885;8.915;8.885;744
8.915;8.915;8.915;8.915;0
8.885;8.885;8.885;8.885;1493
8.885;8.885;8.885;8.885;0
8.905;8.88;8.905;8.88;4637
8.97;8.915;8.97;8.915;14296
8.97;8.97;8.97;8.97;302
8.935;8.93;8.935;8.925;2365
8.94;8.925;8.94;8.925;1274
8.93;8.92;8.93;8.915;1870
8.92;8.915;8.92;8.915;1261
8.94;8.93;8.94;8.93;2059
8.94;8.93;8.94;8.925;3280
8.92;8.925;8.94;8.92;4945
8.94;8.94;8.955;8.94;2247
8.95;8.94;8.95;8.94;1801
8.95;8.95;8.95;8.95;0
8.935;8.96;8.96;8.93;4273
8.925;8.925;8.925;8.925;34
8.905;8.925;8.925;8.905;3268
8.905;8.905;8.905;8.905;1076
8.915;8.915;8.925;8.905;7990
8.875;8.9;8.9;8.875;5739
8.885;8.88;8.895;8.88;5715
8.885;8.885;8.885;8.885;0
8.885;8.89;8.89;8.87;5985
8.885;8.885;8.885;8.885;60
8.88;8.87;8.88;8.87;6588
8.88;8.88;8.89;8.88;6319
8.895;8.895;8.91;8.885;9079
8.91;8.895;8.91;8.895;1296
8.915;8.915;8.915;8.915;175
8.935;8.93;8.935;8.93;5174
8.935;8.935;8.935;8.935;0
8.95;8.935;8.95;8.935;882
8.96;8.95;8.96;8.95;3941
8.965;8.96;8.98;8.96;3856
9.08;8.965;9.125;8.965;33002
9.18;9.075;9.18;9.07;21799
9.19;9.155;9.195;9.145;173868
9.155;9.19;9.19;9.15;1454
9.11;9.14;9.165;9.11;826
9.05;9.13;9.13;9.05;3839
9.105;9.085;9.105;9.08;1862
9.105;9.105;9.105;9.105;0
9.105;9.105;9.105;9.105;0
9.105;9.105;9.105;9.105;0
9.105;9.08;9.105;9.075;3222
9.08;9.09;9.09;9.08;729
9.125;9.08;9.125;9.08;799
9.13;9.135;9.15;9.13;3078
9.13;9.13;9.13;9.13;0
9.11;9.13;9.13;9.11;9557
9.1;9.105;9.105;9.1;1442
9.1;9.095;9.12;9.095;2177
9.1;9.11;9.13;9.085;8389
9.08;9.08;9.1;9.06;7422
9.08;9.08;9.08;9.08;0
9.08;9.065;9.08;9.065;1874
9.08;9.065;9.08;9.065;1095
9.07;9.07;9.07;9.07;84
9.07;9.07;9.07;9.07;0
9.065;9.065;9.07;9.06;6510
9.04;9.055;9.055;9.04;2755
9.05;9.04;9.05;9.035;4164
9.05;9.03;9.05;9.02;4673
9.05;9.05;9.05;9.05;0
9.05;9.05;9.05;9.05;0
9.05;9.05;9.05;9.05;150
9.05;9.05;9.05;9.05;0
9.025;9.04;9.04;9.02;1615
9.02;9.025;9.06;9.02;13208
9.045;9.02;9.045;9.015;3426
9.015;9.01;9.045;8.98;22150
9.025;9.0;9.025;9.0;3790
9.025;9.025;9.025;9.025;0
9.025;9.025;9.025;9.025;6
9.04;9.025;9.04;9.025;854
9.05;9.04;9.055;9.04;4213
9.05;9.05;9.05;9.05;0
9.035;9.035;9.035;9.035;258
9.035;9.035;9.035;9.035;0
9.035;9.035;9.035;9.035;0
9.03;9.035;9.035;9.03;1387
9.04;9.04;9.04;9.04;594
9.06;9.04;9.06;9.04;1878
9.06;9.06;9.06;9.06;0
9.06;9.06;9.06;9.06;502
9.055;9.06;9.06;9.055;2294
9.055;9.055;9.055;9.055;0
9.05;9.05;9.05;9.05;278
9.055;9.05;9.055;9.05;975
9.07;9.07;9.07;9.07;300
9.07;9.07;9.07;9.07;300
9.07;9.07;9.07;9.07;0
9.07;9.07;9.07;9.07;0
9.07;9.07;9.07;9.07;0
9.06;9.05;9.06;9.04;33217
9.06;9.06;9.06;9.06;0
9.06;9.06;9.06;9.06;0
9.065;9.045;9.065;9.045;4165
9.06;9.04;9.06;9.04;27125
9.065;9.06;9.065;9.06;2160
9.065;9.065;9.065;9.065;0
9.085;9.05;9.085;9.04;12793
9.085;9.085;9.085;9.085;418
9.05;9.065;9.065;9.035;3455
9.05;9.05;9.05;9.05;0
9.065;9.03;9.065;9.03;3426
9.07;9.06;9.07;9.06;1935
9.07;9.07;9.07;9.07;0
9.07;9.07;9.07;9.07;0
9.035;9.04;9.04;9.03;10244
9.04;9.04;9.045;9.03;4120
9.04;9.04;9.045;9.04;3424
9.05;9.04;9.05;9.035;2575
9.055;9.045;9.055;9.035;5409
9.055;9.035;9.055;9.035;4712
9.055;9.055;9.055;9.055;0
9.05;9.035;9.05;9.035;3706
9.055;9.05;9.055;9.05;803
9.055;9.055;9.055;9.055;0
9.04;9.055;9.055;9.04;3742
9.04;9.04;9.04;9.04;173
9.03;9.04;9.04;9.03;3841
9.03;9.03;9.03;9.03;0
9.045;9.03;9.045;9.03;4052
9.045;9.045;9.045;9.045;0
9.05;9.045;9.05;9.03;9716
9.05;9.05;9.05;9.05;0
9.03;9.035;9.05;9.03;3718
9.015;9.025;9.025;9.01;10678
9.015;9.015;9.015;9.015;465
9.055;9.015;9.055;9.015;20996
9.175;9.08;9.175;9.08;2375
9.155;9.175;9.21;9.155;20001
9.075;9.12;9.12;9.06;2432
9.05;9.055;9.055;9.0;10850
9.05;9.05;9.05;9.05;0
9.05;9.05;9.05;9.05;0
9.08;9.07;9.08;9.055;8768
9.085;9.08;9.095;9.07;2786
9.035;9.035;9.035;9.035;638
9.085;9.085;9.085;9.085;67
9.085;9.085;9.085;9.085;0
