close;open;high;low;vol
14.9;14.85;14.9;14.85;574
14.9;14.9;14.9;14.9;0
14.86;14.88;14.91;14.83;5423
14.95;14.93;14.95;14.93;242
14.95;14.96;14.96;14.95;1270
14.93;14.94;14.94;14.93;100
14.97;14.97;14.97;14.97;100
14.98;14.97;14.98;14.96;378
14.98;14.98;14.98;14.96;367
14.95;14.97;14.98;14.94;10546
14.93;14.94;14.95;14.93;1261
14.93;14.92;14.93;14.92;612
14.93;14.92;14.93;14.92;141
14.97;14.94;14.97;14.93;3499
14.98;14.98;15.09;14.98;28736
15.0;15.0;15.0;15.0;392
15.01;14.99;15.01;14.98;3807
15.01;15.01;15.01;15.01;507
14.97;15.0;15.0;14.97;2579
15.0;15.0;15.0;15.0;60
15.0;15.0;15.0;15.0;959
14.97;14.97;14.97;14.97;816
14.96;14.99;14.99;14.96;1304
14.95;14.95;14.95;14.94;3639
14.95;14.95;14.95;14.95;885
14.91;14.93;14.95;14.9;4407
14.88;14.92;14.92;14.88;2033
14.88;14.88;14.88;14.88;820
14.85;14.88;14.88;14.81;3910
14.86;14.85;14.86;14.85;650
14.87;14.87;14.87;14.87;1
14.87;14.87;14.87;14.87;0
14.87;14.87;14.87;14.87;0
14.87;14.87;14.87;14.87;1
14.83;14.85;14.85;14.82;1085
14.83;14.83;14.83;14.83;0
14.83;14.85;14.85;14.83;580
14.83;14.83;14.83;14.83;0
14.78;14.81;14.81;14.76;16099
14.74;14.76;14.79;14.74;2010
14.79;14.79;14.79;14.79;351
14.8;14.79;14.8;14.76;1730
14.79;14.79;14.79;14.79;1208
14.71;14.76;14.76;14.71;823
14.75;14.74;14.75;14.74;191
14.73;14.74;14.74;14.73;892
14.75;14.74;14.75;14.74;25
14.75;14.75;14.75;14.75;0
14.72;14.76;14.76;14.71;4837
14.73;14.73;14.73;14.73;1193
14.72;14.74;14.74;14.72;900
14.69;14.71;14.71;14.69;2000
14.7;14.7;14.7;14.7;98
14.79;14.73;14.8;14.73;1537
14.77;14.79;14.79;14.77;1986
14.73;14.76;14.76;14.73;1698
14.73;14.73;14.73;14.73;400
14.73;14.73;14.73;14.73;0
14.73;14.73;14.73;14.73;0
14.73;14.73;14.73;14.73;0
14.74;14.74;14.74;14.74;50
14.67;14.74;14.74;14.67;6770
14.67;14.67;14.67;14.67;1
14.69;14.69;14.71;14.69;2917
14.68;14.68;14.68;14.68;1207
14.67;14.67;14.67;14.67;1
14.63;14.67;14.67;14.63;2166
14.58;14.64;14.64;14.58;9412
14.62;14.58;14.62;14.58;286
14.63;14.62;14.63;14.62;2173
14.75;14.63;14.75;14.63;10634
14.8;14.75;14.8;14.75;2903
14.71;14.78;14.78;14.71;8251
14.75;14.74;14.75;14.74;2000
14.73;14.71;14.73;14.71;106
14.71;14.71;14.71;14.71;1513
14.75;14.74;14.75;14.71;899
14.75;14.75;14.75;14.75;0
14.74;14.74;14.74;14.74;4
14.74;14.74;14.74;14.74;361
14.75;14.75;14.75;14.75;183
14.73;14.73;14.73;14.73;121
14.73;14.73;14.73;14.73;0
14.75;14.75;14.75;14.75;746
14.7;14.72;14.72;14.7;2072
14.71;14.73;14.74;14.66;11905
14.61;14.69;14.71;14.61;20540
14.68;14.67;14.68;14.65;5506
14.71;14.66;14.71;14.66;8060
14.71;14.71;14.71;14.71;13629
14.75;14.7;14.75;14.7;18434
14.94;14.75;14.95;14.75;12983
14.97;14.95;14.98;14.95;10803
15.01;14.98;15.01;14.96;49653
15.0;14.91;15.0;14.91;3801
14.97;14.97;14.97;14.97;298
14.91;14.95;14.95;14.91;636
14.92;14.93;14.93;14.92;524
14.92;14.92;14.92;14.92;327
14.83;14.92;14.92;14.82;5138
14.92;14.83;14.92;14.83;102
14.89;14.87;14.89;14.87;353
14.77;14.85;14.85;14.77;10762
14.79;14.77;14.79;14.76;1797
14.8;14.79;14.8;14.79;4185
14.8;14.8;14.8;14.78;1468
14.8;14.8;14.81;14.78;1902
14.8;14.8;14.8;14.8;0
14.8;14.8;14.8;14.8;100
