close;open;high;low;vol
3.12;3.12;3.12;3.12;3
3.11;3.12;3.12;3.11;1376
3.11;3.11;3.11;3.11;0
3.11;3.11;3.11;3.11;0
3.11;3.11;3.11;3.11;0
3.11;3.11;3.11;3.11;0
3.11;3.11;3.11;3.11;0
3.11;3.11;3.11;3.11;0
3.125;3.125;3.125;3.125;283
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;500
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;300
3.135;3.135;3.135;3.135;817
3.135;3.135;3.135;3.135;0
3.1;3.11;3.11;3.1;8000
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;0
3.13;3.13;3.13;3.13;10
3.1;3.11;3.11;3.1;2000
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;0
3.1;3.125;3.125;3.1;3329
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;4
3.1;3.1;3.1;3.1;0
3.1;3.1;3.1;3.1;300
3.1;3.1;3.1;3.1;0
3.125;3.125;3.125;3.125;3100
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;0
3.12;3.12;3.12;3.12;128
3.12;3.12;3.12;3.12;0
3.12;3.12;3.12;3.12;30
3.13;3.13;3.13;3.13;16
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.12;3.125;3.125;3.12;1500
3.12;3.12;3.12;3.12;128
3.12;3.12;3.12;3.12;0
3.12;3.12;3.12;3.12;0
3.12;3.12;3.12;3.12;0
3.12;3.12;3.12;3.12;0
3.12;3.12;3.12;3.12;0
3.12;3.12;3.12;3.12;0
3.115;3.12;3.12;3.115;2700
3.115;3.115;3.115;3.115;0
3.115;3.115;3.115;3.115;0
3.115;3.115;3.115;3.115;0
3.115;3.115;3.115;3.115;0
3.115;3.115;3.115;3.115;0
3.105;3.105;3.105;3.105;225
3.12;3.115;3.12;3.115;1154
3.12;3.12;3.12;3.12;0
3.13;3.13;3.13;3.13;303
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.105;3.11;3.11;3.105;315
3.105;3.105;3.105;3.105;3377
3.105;3.105;3.105;3.105;0
3.105;3.105;3.105;3.105;0
3.105;3.105;3.105;3.105;0
3.105;3.105;3.105;3.105;223
3.1;3.1;3.1;3.1;500
3.105;3.105;3.11;3.105;3363
3.11;3.105;3.11;3.105;1257
3.11;3.11;3.11;3.11;70
3.11;3.11;3.11;3.11;0
3.13;3.13;3.13;3.13;250
3.12;3.12;3.12;3.12;954
3.12;3.12;3.12;3.12;3193
3.13;3.13;3.13;3.13;2447
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.135;3.135;3.135;3.135;954
3.135;3.14;3.14;3.135;2438
3.135;3.135;3.135;3.135;0
3.135;3.135;3.135;3.135;0
3.135;3.135;3.135;3.135;0
3.13;3.13;3.13;3.13;300
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.125;3.125;3.125;3.125;22
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;0
3.125;3.125;3.125;3.125;0
3.13;3.13;3.14;3.13;4155
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.13;3.13;3.13;3.13;0
3.14;3.14;3.14;3.14;283
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;83
3.14;3.14;3.14;3.14;0
3.145;3.14;3.145;3.14;2180
3.145;3.145;3.145;3.145;1411
3.14;3.145;3.145;3.14;1454
3.14;3.14;3.14;3.14;206
3.14;3.14;3.14;3.14;1456
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.135;3.135;3.135;3.135;10
3.135;3.135;3.135;3.135;0
3.14;3.14;3.14;3.14;984
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.15;3.15;3.15;3.15;241
3.14;3.14;3.14;3.14;1128
3.14;3.14;3.14;3.14;1110
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.15;3.15;3.15;3.15;312
3.14;3.15;3.15;3.14;937
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.14;3.14;3.14;3.14;0
3.155;3.155;3.155;3.155;235
3.155;3.155;3.155;3.155;470
3.155;3.155;3.155;3.155;0
3.155;3.155;3.155;3.155;0
3.145;3.145;3.145;3.145;128
3.15;3.15;3.15;3.15;20
3.15;3.15;3.15;3.15;0
3.15;3.15;3.15;3.15;0
3.15;3.15;3.15;3.15;0
3.15;3.15;3.15;3.15;0
3.15;3.155;3.155;3.15;4246
3.16;3.16;3.16;3.16;1717
3.16;3.16;3.16;3.16;820
3.155;3.16;3.16;3.155;1565
3.16;3.16;3.16;3.16;5
3.16;3.16;3.16;3.16;0
3.16;3.16;3.16;3.16;0
3.16;3.16;3.16;3.16;0
3.16;3.16;3.16;3.16;0
3.16;3.16;3.16;3.16;33
3.17;3.16;3.17;3.155;5945
3.17;3.17;3.17;3.17;0
3.155;3.155;3.155;3.155;2000
3.155;3.155;3.155;3.155;0
3.155;3.155;3.155;3.155;0
3.17;3.17;3.17;3.17;44
3.17;3.17;3.17;3.17;46
3.17;3.17;3.17;3.17;0
3.165;3.17;3.17;3.165;178
3.19;3.19;3.19;3.19;6451
3.19;3.19;3.19;3.19;400
3.135;3.18;3.18;3.135;1802
3.135;3.135;3.135;3.135;0
3.165;3.165;3.165;3.165;536
3.165;3.165;3.165;3.165;0
3.175;3.175;3.175;3.175;954
3.175;3.175;3.175;3.175;0
3.175;3.175;3.175;3.175;0
3.175;3.175;3.175;3.175;0
3.175;3.175;3.175;3.175;0
3.175;3.175;3.175;3.175;0
