close;open;high;low;vol
42.84;43.0;43.1;42.84;1088
42.74;42.84;42.84;42.6;1193
42.66;42.74;42.74;42.6;749
42.7;42.62;42.7;42.6;1032
42.68;42.7;42.76;42.68;1061
42.72;42.66;42.76;42.6;1387
42.8;42.8;42.88;42.8;645
42.8;42.8;42.8;42.8;123
42.82;42.78;42.82;42.74;415
42.74;42.76;42.82;42.72;644
42.66;42.74;42.74;42.66;437
42.62;42.66;42.66;42.62;414
42.58;42.66;42.66;42.58;386
42.48;42.58;42.58;42.48;2494
42.44;42.48;42.48;42.44;472
42.4;42.44;42.54;42.4;683
42.44;42.4;42.44;42.34;867
42.42;42.44;42.44;42.34;450
42.42;42.42;42.42;42.38;14
42.32;42.34;42.34;42.3;490
42.4;42.26;42.4;42.18;5997
42.48;42.46;42.5;42.42;67
42.34;42.48;42.48;42.34;1380
42.32;42.3;42.32;42.24;2643
42.3;42.4;42.4;42.3;423
42.4;42.38;42.4;42.38;511
42.34;42.4;42.4;42.24;2054
42.34;42.34;42.34;42.34;1
42.34;42.34;42.34;42.3;52
42.26;42.28;42.28;42.26;472
42.32;42.28;42.32;42.26;733
42.26;42.32;42.32;42.26;1849
42.32;42.32;42.32;42.32;250
42.34;42.34;42.34;42.34;74
42.34;42.34;42.34;42.34;46
42.34;42.34;42.34;42.34;7
42.36;42.36;42.36;42.36;300
42.3;42.3;42.3;42.3;285
42.3;42.34;42.34;42.3;103
42.4;42.36;42.4;42.36;492
42.3;42.4;42.4;42.3;458
42.28;42.28;42.3;42.28;273
42.28;42.28;42.28;42.28;128
42.24;42.26;42.26;42.24;438
42.24;42.28;42.32;42.24;735
42.32;42.3;42.32;42.3;100
42.3;42.24;42.3;42.24;494
42.24;42.24;42.24;42.24;260
42.24;42.24;42.24;42.24;40
42.24;42.24;42.24;42.24;100
42.24;42.24;42.24;42.24;68
41.78;42.28;42.28;41.78;14026
42.04;41.78;42.04;41.78;2489
42.06;42.04;42.06;42.02;303
42.06;42.06;42.06;42.06;56
42.12;42.06;42.12;42.06;828
42.02;42.08;42.08;42.02;691
42.06;42.06;42.06;42.06;290
42.06;42.0;42.06;42.0;291
41.92;42.0;42.06;41.92;396
41.96;41.98;42.04;41.88;519
41.78;41.92;41.94;41.78;636
41.78;41.86;41.86;41.78;415
41.9;41.86;41.9;41.86;556
41.9;41.9;41.9;41.82;106
41.92;41.84;41.92;41.82;1106
41.9;41.9;41.9;41.9;124
41.82;41.88;41.92;41.82;568
41.74;41.84;41.88;41.72;1768
41.84;41.8;41.84;41.78;590
41.78;41.84;41.84;41.78;1465
41.78;41.78;41.78;41.78;147
41.92;41.84;41.92;41.78;1795
42.0;42.0;42.04;42.0;131
42.0;41.94;42.0;41.92;198
42.04;42.04;42.04;42.04;275
42.04;42.04;42.04;42.04;0
42.04;42.04;42.06;42.04;1243
42.04;42.02;42.06;42.02;1154
42.08;42.0;42.08;41.98;328
41.9;41.94;42.04;41.9;378
42.02;42.0;42.02;41.9;1381
41.94;41.92;41.94;41.92;265
41.94;42.0;42.04;41.94;236
41.9;41.92;42.02;41.9;526
41.94;41.9;42.02;41.9;1171
42.14;41.94;42.14;41.94;2362
42.2;42.14;42.2;42.14;632
42.06;42.1;42.2;42.06;622
42.1;42.2;42.2;42.08;321
42.28;42.12;42.28;42.12;2619
42.22;42.3;42.38;42.14;7325
42.4;42.22;42.4;42.18;3754
42.52;42.4;42.62;42.04;19993
42.72;42.5;42.9;42.5;253
42.62;42.7;42.7;42.54;134
42.3;42.52;42.52;42.3;764
42.4;42.36;42.4;42.3;303
42.34;42.4;42.4;42.34;519
42.54;42.36;42.56;42.36;1267
42.48;42.5;42.68;42.48;904
42.6;42.6;42.6;42.6;5
42.42;42.5;42.5;42.42;677
