close;open;high;low;vol
2.39;2.4;2.4;2.38;69349
2.4;2.39;2.4;2.39;88262
2.43;2.43;2.445;2.43;9955
2.44;2.44;2.44;2.44;354
2.43;2.43;2.43;2.43;300
2.43;2.43;2.43;2.43;800
2.43;2.43;2.43;2.42;2126
2.44;2.44;2.44;2.44;2545
2.44;2.43;2.44;2.42;5897
2.42;2.44;2.44;2.42;6619
2.42;2.42;2.435;2.42;7493
2.42;2.42;2.42;2.42;1556
2.44;2.415;2.44;2.415;3022
2.44;2.435;2.44;2.435;12933
2.435;2.44;2.44;2.435;3400
2.43;2.445;2.445;2.43;217
2.445;2.43;2.445;2.43;201
2.445;2.43;2.445;2.42;3550
2.435;2.435;2.435;2.435;500
2.445;2.445;2.445;2.445;4978
2.44;2.44;2.44;2.44;3724
2.445;2.44;2.445;2.44;2824
2.445;2.445;2.445;2.445;1999
2.435;2.445;2.445;2.43;6415
2.435;2.44;2.44;2.41;43294
2.425;2.42;2.425;2.42;1000
2.43;2.425;2.43;2.425;500
2.43;2.43;2.43;2.43;0
2.43;2.43;2.43;2.43;1560
2.445;2.435;2.445;2.425;42710
2.445;2.445;2.45;2.43;7941
2.445;2.445;2.445;2.445;0
2.44;2.445;2.45;2.44;4020
2.44;2.44;2.44;2.44;1000
2.43;2.435;2.435;2.43;200
2.43;2.43;2.43;2.43;0
2.44;2.44;2.44;2.44;1000
2.44;2.44;2.44;2.44;0
2.44;2.44;2.44;2.44;0
2.435;2.435;2.435;2.435;1232
2.435;2.435;2.435;2.435;3342
2.44;2.44;2.44;2.44;1634
2.44;2.44;2.445;2.44;4005
2.44;2.44;2.44;2.44;658
2.44;2.44;2.44;2.44;2000
2.44;2.44;2.44;2.44;380
2.44;2.44;2.44;2.44;0
2.44;2.44;2.44;2.44;0
2.435;2.435;2.435;2.435;1426
2.435;2.435;2.435;2.435;0
2.435;2.435;2.435;2.435;300
2.435;2.435;2.435;2.435;748
2.41;2.43;2.43;2.41;48000
2.395;2.415;2.415;2.385;29954
2.4;2.4;2.4;2.4;2997
2.4;2.4;2.4;2.4;2600
2.4;2.4;2.4;2.4;0
2.4;2.4;2.4;2.4;800
2.415;2.395;2.415;2.39;15510
2.405;2.4;2.405;2.4;4220
2.43;2.41;2.43;2.405;49691
2.41;2.43;2.43;2.405;5510
