close;open;high;low;vol
37.98;38.18;38.41;37.95;32845
38.11;38.01;38.11;37.95;2630
38.36;38.17;38.48;38.17;5062
38.1;38.36;38.4;38.0;9627
38.19;38.01;38.19;38.01;2053
38.21;38.18;38.26;38.1;2048
38.1;38.23;38.26;38.0;6645
38.11;38.1;38.12;38.1;696
38.09;38.12;38.12;38.02;3454
38.12;38.03;38.12;37.99;1547
38.0;38.05;38.07;37.99;3552
38.0;38.0;38.05;37.94;9787
37.99;37.99;38.05;37.99;4095
38.0;38.02;38.03;37.97;3900
38.04;37.98;38.04;37.97;2081
37.73;38.0;38.0;37.63;36535
37.84;37.71;37.87;37.7;1906
37.79;37.84;37.85;37.79;2950
37.68;37.75;37.8;37.68;1904
37.8;37.66;37.8;37.66;2063
37.86;37.74;37.86;37.71;3332
37.85;37.85;37.85;37.76;1757
37.8;37.77;37.86;37.76;1552
37.75;37.79;37.8;37.71;3865
37.72;37.72;37.75;37.64;9070
37.72;37.72;37.72;37.65;1142
37.68;37.71;37.72;37.66;2281
37.69;37.69;37.69;37.64;5652
37.68;37.69;37.69;37.64;11468
37.65;37.7;37.71;37.64;7740
37.66;37.65;37.73;37.62;13330
37.4;37.62;37.62;37.4;15790
37.34;37.4;37.42;37.34;6647
37.4;37.39;37.41;37.34;9060
37.4;37.4;37.4;37.35;2605
37.49;37.4;37.49;37.34;2144
37.4;37.49;37.49;37.36;5817
37.41;37.36;37.47;37.36;2958
37.5;37.47;37.56;37.47;2912
37.49;37.56;37.63;37.37;8971
37.4;37.49;37.49;37.37;722
37.51;37.4;37.7;37.4;4854
37.41;37.6;37.6;37.41;3091
37.41;37.48;37.5;37.41;2440
37.41;37.42;37.48;37.4;980
37.4;37.38;37.45;37.37;2646
37.5;37.44;37.5;37.41;2838
37.52;37.5;37.52;37.44;2513
37.44;37.5;37.5;37.36;4581
37.13;37.43;37.43;37.04;23659
37.13;37.1;37.14;37.04;2259
37.01;37.13;37.15;37.01;6286
37.16;37.01;37.16;37.01;1489
37.25;37.16;37.25;37.16;2501
37.03;37.24;37.24;37.03;6128
37.18;37.03;37.18;37.0;9316
37.11;37.11;37.11;37.0;9428
37.2;37.2;37.22;37.2;564
37.2;37.2;37.2;37.2;81
37.29;37.22;37.29;37.22;1420
37.32;37.29;37.32;37.26;1280
37.13;37.32;37.32;37.13;4299
37.15;37.13;37.15;37.12;1973
37.27;37.19;37.27;37.19;414
37.1;37.24;37.24;37.1;2391
37.16;37.14;37.16;37.14;414
37.17;37.2;37.2;37.13;1314
37.11;37.17;37.18;37.11;2257
37.06;37.11;37.19;37.02;8722
37.09;37.06;37.14;37.06;1543
37.17;37.09;37.17;37.09;2729
37.13;37.17;37.2;37.08;5159
37.08;37.13;37.13;37.06;4983
37.04;37.08;37.08;37.0;6625
37.11;37.04;37.11;37.01;3912
37.02;37.1;37.1;37.01;2634
37.05;37.02;37.17;37.02;4896
37.1;37.07;37.1;37.05;1297
37.13;37.06;37.27;37.06;14222
37.15;37.13;37.17;37.1;1433
37.19;37.15;37.19;37.11;349
37.05;37.15;37.15;37.05;6044
37.03;37.1;37.11;37.03;4745
37.1;37.08;37.15;37.08;3575
37.13;37.13;37.13;37.09;656
37.28;37.13;37.28;37.1;3397
37.27;37.28;37.35;37.25;3157
37.28;37.3;37.35;37.28;995
37.41;37.28;37.44;37.28;10448
37.5;37.41;37.5;37.41;2713
37.65;37.43;37.69;37.42;9577
37.72;37.61;37.89;37.61;7329
37.65;37.8;37.83;37.61;13030
37.51;37.65;37.7;37.5;52703
37.59;37.7;37.88;37.29;16359
37.46;37.59;37.95;37.4;24876
37.28;37.46;37.48;37.28;2279
37.37;37.5;37.5;37.31;5544
37.42;37.37;37.5;37.37;5231
37.43;37.42;37.58;37.42;1980
37.34;37.43;37.5;37.34;3741
37.25;37.35;37.4;37.25;3502
37.29;37.25;37.31;37.2;3724
37.3;37.29;37.36;37.22;1184
37.34;37.3;37.35;37.3;270
37.3;37.31;37.33;37.27;2659
37.21;37.3;37.31;37.21;4036
37.24;37.2;37.27;37.2;1479
37.4;37.29;37.4;37.26;1888
37.46;37.38;37.54;37.37;3412
37.47;37.46;37.47;37.45;374
37.41;37.51;37.51;37.41;1840
37.38;37.41;37.47;37.38;4612
37.36;37.39;37.41;37.28;5320
37.33;37.36;37.36;37.33;1098
37.33;37.3;37.33;37.26;1843
37.37;37.33;37.37;37.32;1806
37.4;37.37;37.41;37.37;1176
37.32;37.37;37.42;37.32;5765
37.4;37.3;37.4;37.28;6118
37.4;37.36;37.4;37.35;1209
37.41;37.37;37.41;37.37;566
37.38;37.4;37.4;37.32;4665
37.29;37.35;37.35;37.28;4906
37.33;37.29;37.34;37.26;8819
37.33;37.33;37.33;37.33;147
37.26;37.31;37.31;37.26;2341
37.26;37.26;37.26;37.26;58
37.33;37.26;37.33;37.26;3248
37.4;37.33;37.4;37.33;1523
37.4;37.4;37.41;37.4;552
37.43;37.44;37.5;37.42;14868
37.46;37.44;37.51;37.44;3368
37.46;37.46;37.46;37.46;482
37.3;37.46;37.46;37.26;5959
37.3;37.32;37.33;37.3;1704
37.31;37.29;37.31;37.26;9727
37.42;37.39;37.42;37.39;918
37.49;37.42;37.5;37.42;3462
37.46;37.45;37.47;37.41;1880
37.41;37.45;37.45;37.4;1808
37.44;37.41;37.44;37.41;610
37.38;37.44;37.5;37.38;8567
37.37;37.38;37.4;37.36;1836
37.4;37.37;37.4;37.36;1887
37.49;37.42;37.49;37.42;1972
37.43;37.48;37.48;37.41;2732
37.28;37.41;37.42;37.26;20839
37.29;37.29;37.32;37.28;2112
37.32;37.32;37.32;37.32;101
37.3;37.3;37.3;37.28;848
37.26;37.27;37.31;37.26;8018
37.27;37.27;37.29;37.27;1148
37.27;37.28;37.28;37.27;278
37.18;37.3;37.33;37.11;15835
37.1;37.15;37.2;37.0;25714
37.09;37.1;37.11;37.08;2287
37.1;37.1;37.1;37.06;1414
37.2;37.1;37.21;37.1;9433
37.26;37.27;37.27;37.23;1028
37.22;37.26;37.26;37.22;538
37.25;37.22;37.25;37.2;4633
37.27;37.27;37.28;37.24;1371
37.27;37.24;37.27;37.24;628
37.22;37.25;37.25;37.2;1551
37.16;37.22;37.23;37.16;2109
37.08;37.15;37.15;37.08;1953
37.08;37.1;37.11;37.08;1248
37.13;37.08;37.13;37.08;2293
37.17;37.13;37.18;37.12;4014
37.2;37.17;37.2;37.17;2083
37.15;37.19;37.19;37.15;521
37.18;37.15;37.18;37.1;2634
37.14;37.18;37.2;37.12;1849
37.16;37.15;37.17;37.14;1048
37.02;37.13;37.17;37.0;13838
37.05;37.03;37.08;37.02;54686
37.07;37.08;37.08;37.02;3242
37.11;37.07;37.11;37.01;3920
37.14;37.15;37.15;37.11;525
37.17;37.14;37.18;37.14;2050
37.09;37.14;37.14;37.09;1604
37.13;37.1;37.13;37.1;742
37.08;37.11;37.11;37.0;12345
37.08;37.1;37.11;37.08;2612
37.08;37.12;37.15;37.08;3948
37.11;37.08;37.14;37.08;5134
37.12;37.1;37.15;37.1;18883
37.5;37.7;37.89;37.49;16861
37.6;37.5;37.81;37.5;5478
37.49;37.58;37.59;37.36;4287
37.38;37.45;37.54;37.36;4671
37.24;37.39;37.41;37.24;4463
37.3;37.38;37.38;37.22;6875
37.39;37.32;37.39;37.24;2809
37.3;37.38;37.39;37.25;3131
37.2;37.3;37.31;37.14;7769
37.16;37.23;37.25;37.15;2047
37.21;37.16;37.21;37.14;3014
37.29;37.21;37.29;37.18;4205
37.18;37.21;37.21;37.14;8087
37.19;37.16;37.2;37.14;4963
37.15;37.15;37.2;37.12;2157
37.08;37.13;37.16;37.07;2212
37.18;37.08;37.19;37.07;2362
37.14;37.13;37.21;37.13;2119
37.21;37.2;37.26;37.2;4448
37.48;37.27;37.48;37.27;4369
37.61;37.48;37.63;37.48;7043
37.49;37.57;37.62;37.4;2748
37.42;37.44;37.47;37.41;1433
37.44;37.48;37.5;37.44;689
37.51;37.46;37.51;37.44;1092
37.46;37.46;37.5;37.45;1001
37.41;37.45;37.45;37.41;3173
37.42;37.41;37.46;37.37;3359
37.27;37.38;37.41;37.27;3636
37.35;37.28;37.35;37.25;1253
37.26;37.36;37.37;37.25;2790
37.18;37.26;37.28;37.18;6064
37.2;37.19;37.27;37.19;2372
37.18;37.2;37.28;37.18;3023
37.2;37.24;37.24;37.2;357
37.22;37.18;37.23;37.16;4246
37.32;37.24;37.32;37.2;2675
37.37;37.33;37.4;37.33;3139
37.37;37.36;37.38;37.36;804
37.28;37.37;37.37;37.28;2341
37.3;37.29;37.33;37.28;1142
37.31;37.33;37.34;37.31;1106
37.35;37.35;37.4;37.31;4051
37.39;37.39;37.41;37.38;1389
