close;open;high;low;vol
420.0;423.8;423.8;418.2;1256
420.4;421.2;421.2;418.6;242
420.2;420.0;421.6;419.8;640
421.0;420.4;421.0;420.4;70
420.8;421.0;421.0;420.4;103
420.6;421.6;421.6;420.2;361
420.2;420.6;420.6;420.2;86
421.4;420.2;421.6;420.2;173
420.4;421.6;421.6;420.4;173
421.0;420.6;421.8;420.6;110
420.6;421.4;421.6;420.6;143
420.8;420.6;421.2;420.6;231
419.8;420.4;420.4;418.8;778
419.8;419.6;419.8;418.8;196
420.4;420.4;420.6;420.0;145
420.4;420.4;420.4;419.8;178
421.4;420.6;421.4;420.0;119
421.0;421.2;421.4;421.0;250
419.8;420.4;420.4;419.4;391
419.8;419.2;419.8;419.2;155
419.6;420.0;420.0;419.2;211
419.8;419.2;419.8;419.2;285
419.4;419.6;419.8;419.4;69
419.2;419.4;419.4;419.2;116
417.2;419.4;419.8;417.2;2194
418.0;418.0;418.6;417.2;615
417.4;418.2;418.4;417.2;164
417.2;417.4;418.0;417.2;699
417.2;417.4;417.4;417.2;176
417.2;417.8;417.8;417.2;72
417.4;417.2;418.2;417.2;111
417.4;417.4;417.4;417.4;35
417.4;417.6;418.0;417.4;107
417.2;417.4;417.6;417.0;701
416.2;417.6;417.8;416.2;748
416.2;416.6;417.0;416.2;226
416.8;417.2;417.2;416.8;17
415.4;416.4;416.4;415.4;677
416.0;416.0;416.0;415.6;21
415.8;415.6;415.8;415.2;1036
416.0;416.0;416.0;415.6;73
416.2;416.0;416.2;415.2;362
416.8;416.4;416.8;416.4;83
416.2;416.8;416.8;416.2;110
416.2;416.4;416.4;416.0;52
415.8;415.8;415.8;415.2;66
415.8;415.8;415.8;415.8;0
415.8;415.8;415.8;415.2;53
415.6;415.2;415.6;415.2;513
414.0;415.6;415.6;414.0;1319
413.8;414.2;414.2;413.6;180
413.0;414.0;414.2;413.0;240
413.0;413.2;413.6;413.0;179
414.4;413.6;414.4;413.6;217
414.4;414.2;414.4;414.2;27
414.2;414.0;414.2;414.0;133
413.8;414.0;414.0;413.8;44
414.0;414.0;414.0;414.0;83
413.6;414.2;414.2;413.4;112
414.2;413.8;414.2;413.4;327
414.2;414.2;414.6;414.2;81
413.2;414.0;414.2;413.0;520
414.2;413.6;414.2;413.0;205
414.2;414.6;414.6;414.2;18
414.0;414.2;414.2;413.8;824
415.4;414.2;415.6;414.0;350
415.2;415.8;415.8;415.0;111
414.8;415.0;415.0;414.6;145
413.8;414.8;414.8;413.8;179
415.0;414.6;415.0;414.6;69
415.6;415.0;415.6;414.6;290
416.0;415.2;416.6;415.2;182
416.0;416.2;416.2;416.0;176
415.8;415.6;415.8;415.6;96
415.6;415.8;416.2;415.6;124
415.8;415.4;415.8;415.2;228
416.0;416.0;416.2;415.6;221
415.8;416.2;416.8;415.8;506
416.4;415.6;416.4;415.2;360
416.0;415.6;416.0;415.0;350
417.2;416.2;417.2;416.2;353
416.0;416.2;416.2;415.6;75
416.4;415.8;416.4;415.4;334
416.4;416.8;417.0;416.4;115
416.2;416.4;416.4;416.2;41
416.8;416.6;417.0;416.0;391
416.4;416.8;416.8;416.4;150
417.2;416.6;417.4;416.6;886
417.6;417.2;417.6;417.0;403
419.2;417.8;419.4;417.8;323
421.6;418.8;421.6;418.6;733
422.6;422.0;423.6;422.0;1056
424.2;423.0;424.6;423.0;561
425.0;424.8;427.2;423.2;7498
425.0;427.8;427.8;423.8;297
425.6;426.2;426.2;425.0;43
423.8;425.0;425.0;423.8;200
423.8;423.8;423.8;423.8;42
423.6;423.6;423.8;422.8;278
423.4;423.6;424.6;423.4;204
423.4;423.4;423.4;423.4;38
422.0;422.8;422.8;422.0;91
420.2;420.8;420.8;419.6;476
419.8;419.8;420.0;419.8;34
419.8;419.8;419.8;419.0;61
418.6;419.2;419.2;418.2;119
417.0;418.8;418.8;416.2;322
417.2;416.2;417.2;416.2;252
418.8;416.6;419.0;416.6;300
418.6;419.2;419.2;418.6;52
418.6;418.0;419.0;417.4;181
419.0;419.0;419.0;419.0;14
419.0;419.6;420.0;418.6;175
419.0;419.0;419.0;419.0;17
418.6;418.6;418.6;418.6;48
418.0;418.4;418.4;417.4;117
418.6;418.4;419.0;418.0;452
418.4;418.4;419.0;418.2;115
417.4;418.2;418.2;417.0;838
417.2;417.8;417.8;417.2;226
418.4;417.8;418.4;417.8;690
418.0;418.4;419.0;418.0;493
419.4;418.0;419.4;418.0;1121
419.0;419.0;419.0;418.0;250
418.0;418.2;418.2;417.6;157
417.6;417.4;417.6;417.4;43
417.4;417.6;417.6;417.4;277
417.2;417.2;417.6;417.0;221
418.0;417.2;418.0;417.2;454
418.0;417.8;418.0;417.8;136
418.4;418.4;418.4;418.4;125
418.4;418.4;418.4;418.2;69
418.8;418.6;419.2;418.6;191
419.0;418.8;419.0;418.6;35
418.8;419.0;419.0;418.8;45
418.8;418.6;418.8;418.4;109
418.0;418.2;418.2;418.0;524
418.4;418.4;418.4;418.4;128
418.8;418.8;418.8;418.8;58
418.8;418.8;419.0;418.8;109
419.0;419.0;419.0;418.8;72
418.4;418.8;418.8;418.4;54
419.6;419.0;419.6;419.0;189
418.8;419.4;419.4;418.8;129
418.2;418.8;418.8;418.2;15
418.8;418.4;419.0;418.4;97
417.8;418.8;418.8;417.8;274
417.8;417.8;417.8;417.8;0
418.0;418.0;418.2;417.8;203
418.4;418.4;418.4;418.4;55
418.8;418.0;418.8;417.8;240
419.8;419.2;419.8;419.2;232
418.4;419.2;419.2;418.4;250
419.0;419.0;419.2;418.6;196
418.6;419.2;419.2;418.6;406
417.8;418.6;418.6;417.2;619
