close;open;high;low;vol
747.5;750.5;750.5;744.0;181
747.5;747.0;747.5;746.0;73
742.0;746.0;746.0;742.0;270
744.5;743.0;745.0;742.5;74
746.0;745.0;746.0;744.5;194
747.0;746.0;748.5;746.0;139
746.5;747.5;747.5;746.5;84
748.0;747.0;748.0;747.0;72
748.0;749.0;749.5;748.0;88
748.0;748.5;748.5;748.0;18
745.5;749.0;749.5;744.5;221
742.0;744.0;744.0;742.0;58
741.5;743.5;743.5;741.5;27
742.0;741.5;743.5;741.0;254
743.0;742.5;743.5;742.5;132
743.0;743.0;743.0;742.0;139
742.0;743.5;743.5;741.5;156
741.0;742.0;742.5;740.0;251
735.5;741.0;741.0;735.5;220
735.0;735.5;736.0;735.0;126
735.0;736.0;736.5;734.5;358
734.0;734.5;734.5;733.0;133
733.5;734.0;734.0;733.0;79
733.0;733.0;734.0;733.0;320
731.0;732.5;732.5;731.0;92
732.5;732.5;733.5;732.5;288
730.5;732.5;732.5;730.5;169
726.0;730.0;730.0;726.0;255
725.5;725.5;728.0;725.0;325
725.5;725.5;725.5;725.5;0
727.0;727.0;729.0;725.5;315
727.5;727.0;727.5;726.0;64
727.5;727.5;728.0;727.5;48
725.0;727.5;728.5;725.0;447
725.5;726.5;726.5;724.0;99
724.0;724.0;724.0;724.0;63
725.0;725.0;725.0;724.0;20
722.0;725.0;725.0;722.0;157
723.0;723.0;723.0;723.0;42
722.5;723.0;723.5;721.5;120
722.0;722.5;723.5;722.0;178
722.0;723.0;723.0;722.0;73
723.5;723.5;724.0;723.5;101
723.0;724.5;724.5;722.5;119
722.5;723.0;723.0;722.5;52
723.0;722.5;723.0;722.0;87
722.5;723.5;723.5;722.0;216
723.0;722.0;723.0;721.5;76
722.5;722.0;722.5;722.0;37
721.5;723.5;723.5;721.0;164
721.5;721.0;722.0;721.0;57
722.0;721.5;722.0;721.5;48
722.5;722.0;722.5;722.0;74
723.5;722.5;723.5;721.5;336
724.0;724.0;724.0;724.0;5
723.0;724.0;724.0;723.0;95
723.0;723.0;723.0;723.0;73
723.0;723.0;723.5;723.0;128
721.5;723.5;723.5;721.5;136
722.0;722.5;722.5;722.0;170
719.5;722.0;722.0;719.5;407
716.0;719.5;720.5;716.0;310
718.5;716.5;718.5;716.5;420
718.5;718.5;718.5;717.5;112
718.0;718.5;718.5;718.0;162
718.0;718.0;719.0;718.0;133
717.5;719.0;719.0;716.5;334
716.0;718.0;718.0;716.0;212
713.5;715.5;716.0;713.5;161
714.5;713.5;716.0;713.0;357
717.5;715.0;718.0;715.0;315
716.0;717.5;718.0;716.0;220
716.5;717.0;718.0;716.5;204
715.5;716.5;716.5;715.5;182
716.0;716.0;716.0;715.0;96
715.5;716.0;716.0;714.5;282
714.0;716.0;716.0;714.0;238
713.5;714.0;714.5;713.5;100
711.5;713.0;713.0;710.5;850
712.5;712.0;712.5;711.5;321
713.5;713.0;713.5;713.0;223
713.0;712.5;713.0;712.5;65
716.0;713.0;716.0;712.0;669
718.5;716.5;719.0;716.0;878
719.0;717.0;720.5;716.5;568
721.5;719.5;722.0;719.5;532
723.0;722.5;725.5;722.0;783
729.0;723.0;730.0;723.0;842
730.5;729.5;731.5;728.5;398
733.0;730.5;733.5;730.5;884
737.5;734.0;737.5;733.0;1116
735.5;738.0;738.0;735.5;997
736.0;735.0;737.0;735.0;597
736.0;736.0;737.0;735.0;4030
727.0;736.0;736.0;725.5;260
731.5;725.0;732.0;725.0;343
728.5;733.0;733.0;728.5;165
726.5;727.0;727.0;726.5;25
731.0;728.5;731.0;728.5;153
731.0;731.5;731.5;730.5;101
733.0;732.0;733.5;732.0;60
732.5;734.0;734.5;732.5;180
729.0;732.0;732.0;729.0;146
728.0;728.0;728.5;727.5;46
728.0;728.0;728.0;728.0;1
727.5;727.0;727.5;726.5;19
725.0;727.5;727.5;724.0;218
728.0;724.5;728.0;724.5;72
731.0;728.5;731.0;728.5;80
730.0;731.5;732.0;730.0;175
730.5;730.0;730.5;730.0;113
730.5;730.5;730.5;730.5;0
729.5;730.5;730.5;729.5;30
729.0;729.0;729.0;729.0;20
729.5;729.0;730.0;729.0;73
729.0;729.0;729.0;728.0;85
728.5;728.5;728.5;728.5;92
727.0;728.0;728.0;727.0;31
726.0;726.5;727.5;726.0;259
729.5;726.5;729.5;726.5;218
729.5;729.5;729.5;729.5;5
729.5;729.5;729.5;729.5;36
730.5;730.0;730.5;730.0;31
728.0;730.0;730.5;728.0;234
727.0;728.5;728.5;727.0;69
727.0;727.0;727.0;727.0;0
726.5;726.5;726.5;726.5;16
724.5;725.0;725.0;724.0;73
724.5;724.5;725.5;724.5;216
726.0;725.0;726.0;725.0;51
726.0;726.5;726.5;726.0;29
726.0;726.5;726.5;726.0;4
727.0;727.0;727.0;727.0;4
729.0;727.5;729.0;727.5;33
728.5;730.0;730.5;728.5;82
728.5;728.0;728.5;728.0;21
727.0;727.5;727.5;727.0;11
728.5;727.5;728.5;727.5;26
728.5;728.5;728.5;728.5;0
727.5;728.0;728.0;727.5;77
728.5;728.0;728.5;728.0;23
727.0;727.5;727.5;727.0;53
732.0;728.0;732.0;728.0;161
731.0;731.5;731.5;730.0;378
730.0;730.5;730.5;730.0;200
728.0;729.0;729.0;728.0;23
727.5;727.5;727.5;725.5;199
727.5;727.5;727.5;727.5;0
728.0;728.0;728.5;728.0;43
728.5;728.5;728.5;728.5;6
728.5;728.0;728.5;727.5;156
728.5;728.5;728.5;728.5;0
728.5;728.5;728.5;728.5;2
726.5;727.5;727.5;726.5;89
725.0;726.5;726.5;725.0;42
721.5;725.0;725.0;721.0;162
720.5;722.5;722.5;720.5;132
721.5;720.0;721.5;720.0;83
721.0;721.0;721.0;721.0;7
720.0;720.5;720.5;720.0;80
718.5;720.0;721.0;718.5;77
720.0;719.0;720.0;719.0;127
719.5;720.5;722.0;719.5;222
721.5;720.0;721.5;720.0;84
719.5;720.5;721.0;719.5;85
718.5;719.5;720.0;718.5;49
719.0;719.0;719.0;718.5;80
720.0;719.5;720.0;719.5;28
722.5;720.5;722.5;720.5;54
721.5;723.0;723.5;721.5;87
722.5;721.0;722.5;720.0;289
724.0;724.0;724.0;724.0;15
726.0;724.5;726.0;723.5;174
725.0;725.5;725.5;724.0;55
725.0;725.0;726.0;725.0;152
726.5;724.5;726.5;723.5;69
726.5;727.0;727.0;725.0;146
726.5;727.0;728.0;726.5;112
727.5;726.5;727.5;726.5;55
728.5;726.5;728.5;726.5;96
729.0;729.0;729.0;729.0;16
726.5;728.0;728.0;726.5;109
726.5;726.5;726.5;726.5;0
723.5;725.0;726.0;722.5;341
721.5;723.5;724.0;721.5;121
721.5;722.5;723.0;721.5;192
722.0;721.5;723.5;720.5;323
723.0;721.5;723.0;720.5;1192
732.0;734.0;736.0;731.0;546
733.0;732.0;736.5;732.0;244
733.0;735.0;735.0;733.0;96
730.5;733.0;733.0;730.5;240
730.5;731.0;731.0;730.5;58
