y;ds
13636.1;2024-03-19 09:00:00
13695.0;2024-03-19 09:05:00
13685.2;2024-03-19 09:10:00
13783.4;2024-03-19 09:15:00
13773.6;2024-03-19 09:20:00
13842.3;2024-03-19 09:25:00
13714.7;2024-03-19 09:30:00
13695.0;2024-03-19 09:35:00
13616.5;2024-03-19 09:40:00
13538.0;2024-03-19 09:45:00
13498.7;2024-03-19 09:50:00
13498.7;2024-03-19 09:55:00
13263.1;2024-03-19 10:00:00
13184.5;2024-03-19 10:05:00
13253.3;2024-03-19 10:10:00
13390.7;2024-03-19 10:15:00
13518.3;2024-03-19 10:20:00
13400.5;2024-03-19 10:25:00
13351.4;2024-03-19 10:30:00
13351.4;2024-03-19 10:35:00
13312.2;2024-03-19 10:40:00
13292.5;2024-03-19 10:45:00
13164.9;2024-03-19 10:50:00
13204.2;2024-03-19 10:55:00
13164.9;2024-03-19 11:00:00
13125.6;2024-03-19 11:05:00
13135.5;2024-03-19 11:10:00
13145.3;2024-03-19 11:15:00
12909.7;2024-03-19 11:20:00
13007.8;2024-03-19 11:25:00
12968.6;2024-03-19 11:30:00
13106.0;2024-03-19 11:35:00
13066.7;2024-03-19 11:40:00
13056.9;2024-03-19 11:45:00
13155.1;2024-03-19 11:50:00
13204.2;2024-03-19 11:55:00
13371.1;2024-03-19 12:00:00
13331.8;2024-03-19 12:05:00
13282.7;2024-03-19 12:10:00
13223.8;2024-03-19 12:15:00
13243.4;2024-03-19 12:20:00
13223.8;2024-03-19 12:25:00
13233.6;2024-03-19 12:30:00
13214.0;2024-03-19 12:35:00
13263.1;2024-03-19 12:40:00
13253.3;2024-03-19 12:45:00
13204.2;2024-03-19 12:50:00
13253.3;2024-03-19 12:55:00
13164.9;2024-03-19 13:00:00
13076.6;2024-03-19 13:05:00
13086.4;2024-03-19 13:10:00
12958.7;2024-03-19 13:15:00
13017.7;2024-03-19 13:20:00
13115.8;2024-03-19 13:25:00
13125.6;2024-03-19 13:30:00
13155.1;2024-03-19 13:35:00
13086.4;2024-03-19 13:40:00
13106.0;2024-03-19 13:45:00
13106.0;2024-03-19 13:50:00
13125.6;2024-03-19 13:55:00
13145.3;2024-03-19 14:00:00
13194.4;2024-03-19 14:05:00
13194.4;2024-03-19 14:10:00
13214.0;2024-03-19 14:15:00
13135.5;2024-03-19 14:20:00
13194.4;2024-03-19 14:25:00
13194.4;2024-03-19 14:30:00
13174.7;2024-03-19 14:35:00
13174.7;2024-03-19 14:40:00
13204.2;2024-03-19 14:45:00
13272.9;2024-03-19 14:50:00
13253.3;2024-03-19 14:55:00
13253.3;2024-03-19 15:00:00
13194.4;2024-03-19 15:05:00
13214.0;2024-03-19 15:10:00
13243.4;2024-03-19 15:15:00
13253.3;2024-03-19 15:20:00
