close;open;high;low;vol
723.6;724.4;725.8;715.0;732
721.4;717.0;721.4;717.0;78
720.0;721.4;724.8;720.0;298
720.0;718.8;720.8;718.6;3173
722.2;720.2;722.6;720.2;67
723.0;722.2;723.0;722.2;85
717.8;723.8;723.8;714.4;242
719.0;718.8;720.6;717.4;76
716.2;718.6;718.6;715.6;65
718.4;717.2;720.0;716.8;362
718.0;719.2;719.2;718.0;116
715.6;717.8;717.8;715.0;199
715.6;715.8;716.4;714.2;266
715.2;715.4;715.4;712.4;363
713.2;716.0;716.4;713.2;248
714.4;712.6;714.4;712.6;127
715.8;714.8;716.0;714.4;247
716.8;716.0;718.0;715.4;310
713.6;716.4;716.4;713.6;199
712.8;713.4;713.4;712.0;177
711.2;712.6;712.6;711.2;35
706.4;711.0;711.0;706.4;381
706.6;707.0;707.0;706.2;381
707.0;706.4;707.0;705.4;431
704.6;706.0;706.0;702.4;357
704.6;703.8;704.6;703.8;18
705.4;703.0;705.4;702.4;270
705.0;705.4;705.4;704.8;161
703.8;704.8;705.0;703.8;131
702.0;704.0;704.0;700.0;548
703.2;702.0;704.0;701.2;455
702.4;703.8;703.8;701.6;179
700.6;701.2;701.2;700.6;85
699.2;701.0;701.0;697.2;402
699.2;699.6;700.2;699.0;189
697.8;699.4;700.4;697.8;6693
694.4;698.0;698.0;693.8;416
695.2;694.4;695.2;694.4;36
695.4;695.4;696.0;694.0;281
696.8;694.8;696.8;693.6;245
695.8;696.8;697.0;695.2;173
696.8;696.6;697.6;696.0;177
699.2;698.4;699.6;698.4;196
699.2;699.4;699.4;698.4;166
701.0;699.6;701.0;699.6;414
700.4;701.4;701.8;700.4;98
700.0;700.8;700.8;700.0;21
699.6;700.6;700.6;699.6;62
699.2;700.8;700.8;697.2;430
699.2;699.2;699.2;696.2;634
699.4;699.4;699.4;696.0;256
699.2;699.2;699.2;699.2;41
699.2;696.2;699.2;696.2;3058
696.8;696.8;696.8;696.6;12
699.4;697.0;699.4;697.0;41
702.8;699.4;702.8;699.4;310
700.6;701.4;702.0;700.6;194
701.0;701.0;701.4;700.4;61
700.0;700.2;700.2;700.0;48
700.2;699.8;700.2;698.6;424
700.8;700.4;700.8;700.4;62
697.0;700.8;700.8;697.0;139
698.8;696.6;699.6;695.0;394
695.2;695.2;695.2;695.0;45
695.2;695.2;695.2;695.2;19
695.4;695.2;699.6;694.8;130
699.2;699.2;699.4;695.4;304
691.0;695.6;697.0;691.0;296
689.4;691.2;692.6;687.2;727
690.0;690.0;690.0;690.0;17
691.4;690.0;692.4;689.8;240
693.2;691.6;694.6;691.6;280
695.2;692.2;695.4;692.2;131
691.0;694.4;694.4;691.0;164
692.4;691.4;692.4;690.2;243
690.4;692.8;692.8;690.4;77
693.0;691.6;693.0;690.2;370
695.0;693.8;695.0;693.8;230
693.0;695.0;695.8;693.0;510
694.8;693.2;694.8;693.2;274
695.8;695.4;695.8;695.0;286
697.6;695.8;698.0;695.8;409
701.0;698.8;701.0;698.8;406
697.6;701.0;701.0;697.6;324
695.6;697.6;698.2;695.6;313
698.2;696.8;698.2;696.8;645
696.0;698.4;699.8;696.0;420
697.6;696.0;697.6;695.2;475
702.4;697.6;702.8;697.6;556
707.6;703.8;708.2;703.8;512
711.8;708.2;713.4;707.6;807
711.0;713.6;715.6;711.0;910
709.2;710.6;710.6;708.0;1066
710.8;709.2;714.0;708.0;8092
709.6;710.8;710.8;704.0;207
704.4;704.6;704.6;704.4;21
696.8;704.0;704.0;696.0;394
699.0;696.6;699.0;696.6;31
699.6;699.0;699.6;699.0;84
700.0;700.6;701.8;700.0;162
701.6;701.6;701.6;701.6;2
699.2;701.2;702.4;699.2;909
695.8;698.6;698.6;695.6;294
699.4;695.4;700.6;694.8;334
704.2;700.2;704.2;700.2;240
702.2;703.0;703.0;702.2;67
701.0;702.0;702.0;700.8;576
696.0;701.0;701.0;696.0;4103
696.4;697.6;699.0;696.4;192
695.8;696.0;696.0;695.8;131
698.6;696.8;700.6;696.8;229
699.4;698.2;699.4;698.0;32
697.6;699.4;699.4;697.6;124
698.0;697.2;698.0;696.8;107
698.0;698.0;698.0;698.0;0
696.8;696.8;696.8;695.0;223
699.6;695.6;699.6;695.6;224
698.0;699.6;699.6;698.0;51
694.4;697.6;697.6;694.4;280
696.8;694.6;698.0;694.4;297
696.0;696.0;696.0;695.2;134
694.6;696.0;696.4;694.2;154
694.4;695.0;695.4;694.4;177
693.2;694.4;694.8;692.8;286
692.4;693.2;694.0;691.6;227
694.4;692.4;695.4;692.4;319
696.2;694.8;696.8;694.6;433
696.4;696.4;697.2;696.0;83
696.6;696.2;697.2;695.8;128
698.6;697.4;698.6;696.8;129
698.0;698.8;699.6;697.8;226
697.6;697.8;697.8;697.2;78
699.0;697.4;699.0;697.2;89
699.4;699.0;699.8;698.4;131
698.0;698.8;698.8;697.8;46
698.0;697.8;698.0;697.0;230
697.2;697.8;697.8;696.8;93
698.4;697.0;698.4;697.0;171
698.8;698.4;698.8;698.0;36
698.4;698.6;699.0;698.4;63
698.2;698.2;698.6;698.0;74
699.4;698.2;700.4;698.2;247
699.8;699.6;700.4;699.4;41
699.2;699.4;699.4;698.6;107
699.0;699.4;699.4;698.6;114
698.8;698.8;699.4;698.8;87
699.0;699.0;700.0;698.4;334
699.6;698.8;700.4;698.8;109
699.4;699.8;699.8;699.4;65
700.2;699.4;700.6;699.4;107
700.6;700.4;700.6;699.8;84
699.4;700.4;700.4;699.4;240
698.2;699.2;699.2;698.0;272
698.0;698.2;698.4;697.6;195
696.6;698.0;698.2;696.6;141
695.6;696.2;697.0;694.4;482
697.0;696.0;697.6;696.0;249
698.2;697.2;699.2;697.2;172
696.0;698.4;698.4;696.0;215
698.4;695.8;698.6;695.8;342
697.0;698.4;698.8;696.8;283
698.0;697.0;698.0;696.2;161
698.2;698.4;699.6;698.0;163
699.0;698.0;699.6;697.8;150
698.8;699.0;699.2;698.8;105
698.2;698.8;698.8;698.2;146
698.6;698.4;699.0;698.0;139
699.8;698.6;700.4;698.4;188
701.4;700.2;701.8;700.2;113
700.6;701.0;701.6;700.4;304
701.0;700.2;702.0;700.0;330
701.0;700.6;701.6;700.4;181
702.6;701.0;703.2;701.0;236
702.6;703.0;705.2;702.2;342
703.0;702.6;703.4;702.6;108
703.4;703.0;704.2;702.8;111
706.2;703.4;706.2;703.4;316
706.6;705.4;708.2;705.4;281
706.8;706.2;706.8;705.4;167
707.6;705.8;707.8;705.8;129
709.6;707.6;710.6;707.6;329
708.2;709.8;710.0;708.2;97
707.4;708.4;708.4;707.4;306
708.4;707.2;708.4;705.0;800
708.0;708.2;709.0;707.4;435
708.2;708.0;708.2;707.2;387
706.6;707.8;709.0;706.6;711
709.0;707.2;709.0;702.4;3814
717.6;712.4;720.0;708.8;577
717.2;713.0;720.8;713.0;508
717.2;718.2;720.0;716.8;324
717.8;720.0;720.6;716.6;264
717.8;717.8;717.8;717.8;0
720.0;717.8;720.0;717.8;100
721.8;718.4;722.0;718.4;96
720.4;720.2;721.8;720.2;64
722.6;720.0;722.6;719.8;136
722.2;721.6;723.6;721.6;74
720.4;722.2;722.2;720.4;165
720.8;720.4;723.0;719.6;297
724.2;723.0;724.2;721.0;306
720.2;723.2;723.2;719.6;221
720.4;720.8;722.0;720.0;155
718.2;719.8;720.0;718.2;168
717.6;719.6;719.6;717.4;363
718.6;718.8;719.6;718.6;84
719.2;719.8;720.2;718.6;136
721.4;720.4;722.2;720.4;113
725.0;721.8;725.6;721.8;490
724.6;725.6;725.6;724.6;51
724.2;724.4;724.8;724.0;128
724.8;724.0;725.2;723.2;441
725.8;725.4;725.8;725.0;117
726.6;725.0;726.6;724.6;190
728.8;726.8;728.8;726.8;111
727.8;729.0;729.2;727.8;319
727.8;727.8;727.8;727.4;63
725.0;727.6;727.6;723.2;1156
726.2;725.0;726.2;724.2;464
724.8;726.0;726.0;724.0;416
724.6;724.8;725.0;723.8;124
724.8;725.0;725.2;724.4;233
724.6;725.0;725.0;724.4;106
723.6;724.4;725.2;723.6;874
719.2;723.6;723.6;719.0;707
723.4;719.8;723.4;719.4;674
724.8;724.0;724.8;724.0;18
725.0;724.2;725.6;724.2;235
724.6;724.8;724.8;724.6;63
724.8;724.8;725.2;724.2;104
722.2;724.2;724.2;722.2;142
723.4;722.6;723.4;721.8;241
726.4;723.2;726.4;723.0;618
725.8;726.0;726.0;725.6;60
724.4;726.0;726.2;724.4;183
726.8;725.2;726.8;725.2;96
731.4;727.0;731.8;727.0;419
731.2;732.0;732.2;729.6;356
729.0;730.6;730.6;729.0;183
729.8;729.6;729.8;729.6;48
729.2;729.2;729.2;729.2;3
728.8;728.8;729.4;728.8;38
729.0;728.8;730.0;728.6;192
728.0;728.4;728.4;728.0;65
729.2;728.4;729.2;728.4;242
728.4;729.2;729.2;728.0;139
728.2;728.4;728.8;728.2;110
729.0;728.2;729.0;728.2;148
727.0;728.2;728.2;727.0;166
727.0;727.0;727.0;727.0;0
727.4;726.6;727.4;726.4;282
727.4;727.4;727.8;727.2;69
727.4;727.4;727.4;727.4;0
