close;open;high;low;vol
10.45;10.5;10.54;10.45;1398
10.51;10.49;10.51;10.49;1929
10.47;10.49;10.5;10.47;4131
10.47;10.47;10.47;10.47;2
10.59;10.52;10.59;10.51;4529
10.6;10.6;10.6;10.6;290
10.55;10.59;10.6;10.55;9262
10.59;10.59;10.59;10.59;809
10.54;10.55;10.55;10.54;2503
10.5;10.5;10.5;10.5;1142
10.5;10.5;10.5;10.5;0
10.49;10.5;10.5;10.49;2148
10.48;10.45;10.48;10.45;103
10.44;10.45;10.46;10.43;8740
10.47;10.47;10.48;10.47;4535
10.51;10.51;10.52;10.51;2131
10.46;10.49;10.49;10.46;3912
10.47;10.43;10.47;10.43;170
10.47;10.47;10.47;10.47;0
10.39;10.42;10.42;10.39;6510
10.39;10.4;10.4;10.39;977
10.36;10.38;10.38;10.36;3762
10.39;10.37;10.39;10.37;4532
10.4;10.39;10.41;10.39;9379
10.38;10.42;10.42;10.38;7168
10.38;10.38;10.38;10.38;0
10.42;10.4;10.42;10.38;1480
10.36;10.38;10.38;10.36;6479
10.34;10.35;10.36;10.33;9439
10.35;10.36;10.36;10.31;12122
10.35;10.36;10.36;10.35;5912
10.34;10.35;10.36;10.33;16812
10.27;10.32;10.34;10.27;24719
10.27;10.29;10.3;10.27;3774
10.27;10.27;10.27;10.27;32
10.27;10.27;10.27;10.27;1030
10.27;10.29;10.29;10.27;986
10.29;10.27;10.29;10.27;1811
10.26;10.28;10.28;10.21;21736
10.25;10.24;10.26;10.24;891
10.25;10.24;10.25;10.23;593
10.22;10.22;10.22;10.22;600
10.24;10.25;10.26;10.24;8087
10.25;10.25;10.25;10.25;800
10.25;10.25;10.25;10.25;0
10.21;10.25;10.25;10.21;10359
10.17;10.2;10.2;10.17;10518
10.19;10.2;10.2;10.19;4667
10.17;10.17;10.17;10.17;825
10.17;10.17;10.17;10.16;4616
10.17;10.18;10.18;10.17;2144
10.18;10.17;10.18;10.16;466
10.16;10.18;10.18;10.16;13456
10.2;10.18;10.2;10.16;26674
10.18;10.2;10.2;10.18;2248
10.2;10.2;10.2;10.2;293
10.2;10.18;10.2;10.18;1501
10.19;10.19;10.19;10.19;490
10.2;10.2;10.2;10.18;4596
10.16;10.2;10.2;10.16;26927
10.16;10.17;10.17;10.16;6821
10.16;10.16;10.17;10.16;13104
10.16;10.16;10.16;10.16;6137
10.19;10.17;10.2;10.17;9976
10.17;10.18;10.18;10.17;5330
10.16;10.16;10.16;10.16;3176
10.16;10.16;10.16;10.16;1500
10.12;10.17;10.17;10.12;18063
10.13;10.13;10.14;10.11;18398
10.13;10.13;10.14;10.11;8657
10.14;10.14;10.15;10.12;4546
10.15;10.15;10.15;10.12;1232
10.11;10.12;10.12;10.11;14667
10.09;10.11;10.11;10.06;18508
10.09;10.09;10.11;10.09;10451
10.07;10.08;10.09;10.07;1830
10.08;10.09;10.09;10.08;5187
10.1;10.1;10.1;10.1;6323
10.11;10.1;10.11;10.1;5177
10.11;10.09;10.11;10.06;8476
10.1;10.08;10.1;10.08;1049
10.11;10.11;10.11;10.11;12
10.11;10.11;10.11;10.1;4911
10.09;10.12;10.12;10.09;24066
10.07;10.11;10.11;10.07;7529
10.12;10.09;10.12;10.09;11179
10.1;10.12;10.12;10.1;31359
10.12;10.09;10.12;10.09;11422
10.22;10.12;10.22;10.11;79673
10.23;10.23;10.28;10.23;33760
10.36;10.27;10.38;10.27;48712
10.33;10.36;10.36;10.3;22657
10.38;10.35;10.4;10.33;36857
10.4;10.39;10.4;10.38;342297
10.34;10.5;10.5;10.34;3688
10.38;10.38;10.38;10.38;10
10.25;10.37;10.37;10.2;19207
10.23;10.3;10.32;10.23;12554
10.2;10.23;10.23;10.2;13707
10.24;10.22;10.24;10.16;12768
10.2;10.22;10.23;10.19;6561
10.19;10.21;10.21;10.19;7271
10.17;10.19;10.19;10.11;35858
10.17;10.17;10.18;10.14;12714
10.2;10.17;10.2;10.16;8623
10.14;10.18;10.18;10.14;8217
10.14;10.14;10.14;10.09;67342
10.12;10.12;10.13;10.1;6391
10.09;10.11;10.12;10.09;3341
10.13;10.13;10.13;10.13;5628
10.13;10.13;10.13;10.13;0
10.14;10.14;10.14;10.14;1
10.11;10.14;10.14;10.11;1169
10.11;10.09;10.11;10.09;4016
10.09;10.1;10.1;10.08;6748
10.05;10.07;10.08;10.05;4502
10.09;10.05;10.09;10.02;15072
10.07;10.1;10.1;10.07;1883
10.07;10.09;10.1;10.06;15545
10.07;10.07;10.07;10.05;3165
10.05;10.07;10.08;10.05;2786
10.03;10.05;10.05;10.03;599
10.02;10.03;10.03;10.02;21481
10.06;10.02;10.06;10.02;34138
10.05;10.07;10.07;10.04;6939
10.05;10.04;10.06;10.04;21322
10.03;10.06;10.06;10.02;15752
10.06;10.03;10.06;10.01;30396
10.08;10.07;10.1;10.06;9212
10.09;10.06;10.09;10.06;4639
10.06;10.1;10.1;10.05;8080
10.06;10.06;10.07;10.06;3363
10.1;10.06;10.1;10.06;9406
10.07;10.1;10.1;10.07;7755
10.06;10.07;10.08;10.06;2626
10.06;10.07;10.07;10.06;4672
10.04;10.06;10.06;10.04;23807
10.04;10.05;10.06;10.04;11372
10.06;10.04;10.07;10.04;7184
10.03;10.04;10.06;10.03;4243
10.01;10.03;10.03;10.01;17554
