close;open;high;low;vol
8.15;8.242;8.246;8.15;5993
8.114;8.15;8.154;8.1;13356
8.108;8.114;8.128;8.108;16211
8.15;8.114;8.15;8.11;9720
8.152;8.144;8.152;8.144;3377
8.176;8.152;8.176;8.152;7777
8.152;8.166;8.166;8.152;2802
8.18;8.152;8.18;8.152;4625
8.176;8.174;8.176;8.17;2138
8.148;8.176;8.178;8.148;3796
8.144;8.158;8.16;8.144;4308
8.124;8.136;8.136;8.122;6062
8.112;8.13;8.13;8.106;8758
8.106;8.108;8.116;8.096;20721
8.08;8.114;8.114;8.08;6251
8.088;8.08;8.09;8.066;16001
8.082;8.078;8.084;8.07;4320
8.084;8.074;8.084;8.068;4004
8.078;8.08;8.08;8.072;7383
8.086;8.074;8.09;8.066;25154
8.062;8.096;8.096;8.062;7746
8.04;8.064;8.066;8.04;9205
8.054;8.048;8.056;8.048;6491
8.05;8.058;8.06;8.046;5082
8.038;8.06;8.068;8.036;56409
8.026;8.03;8.036;8.024;16162
8.038;8.024;8.038;8.024;8673
8.01;8.038;8.038;8.01;14822
8.018;8.01;8.018;8.002;5909
8.022;8.022;8.024;8.022;2970
8.012;8.024;8.032;7.982;40229
8.008;8.016;8.03;8.008;6681
7.996;8.004;8.018;7.996;6475
8.012;8.012;8.018;8.012;16258
8.018;8.012;8.02;8.012;7991
8.022;8.01;8.022;8.01;4839
7.996;8.022;8.024;7.996;9514
7.992;7.99;7.992;7.984;10298
7.994;7.984;7.994;7.984;5453
7.962;7.984;7.984;7.958;20745
7.95;7.964;7.968;7.938;22122
7.964;7.952;7.964;7.946;21206
7.984;7.972;7.99;7.972;11967
7.956;7.99;7.99;7.956;4504
7.978;7.968;7.984;7.962;9855
7.96;7.978;7.98;7.958;9932
7.952;7.956;7.966;7.95;6799
7.98;7.954;7.98;7.954;3897
7.972;7.98;7.982;7.972;7492
7.936;7.976;7.976;7.936;16237
7.944;7.934;7.95;7.934;9126
7.944;7.944;7.946;7.934;9082
7.942;7.944;7.944;7.934;2416
7.962;7.942;7.962;7.936;26179
7.944;7.962;7.962;7.934;9599
7.936;7.934;7.936;7.91;22121
7.912;7.936;7.936;7.908;5989
7.902;7.912;7.918;7.902;8718
7.912;7.914;7.924;7.9;21433
7.91;7.912;7.912;7.9;7120
7.882;7.91;7.91;7.882;23743
7.872;7.882;7.908;7.87;21425
7.904;7.872;7.906;7.872;11186
7.902;7.902;7.902;7.902;2387
7.88;7.902;7.906;7.88;10067
7.906;7.894;7.906;7.894;16518
7.902;7.908;7.908;7.884;18278
7.88;7.904;7.912;7.88;18958
7.862;7.88;7.88;7.862;7197
7.868;7.868;7.886;7.868;7212
7.89;7.868;7.89;7.864;24881
7.884;7.89;7.89;7.868;24484
7.872;7.884;7.888;7.872;32331
7.872;7.872;7.876;7.866;6694
7.866;7.872;7.872;7.86;22729
7.868;7.86;7.87;7.86;20622
7.882;7.874;7.89;7.874;30167
7.89;7.886;7.894;7.886;13995
7.9;7.886;7.91;7.884;27577
7.904;7.9;7.908;7.9;15149
7.89;7.9;7.902;7.888;21356
7.878;7.892;7.892;7.878;19987
7.9;7.884;7.9;7.88;27958
7.902;7.9;7.912;7.894;28137
7.908;7.894;7.916;7.894;17467
7.936;7.914;7.936;7.914;24457
7.916;7.932;7.936;7.916;41785
7.936;7.924;7.94;7.924;23954
7.94;7.938;7.948;7.938;18911
7.968;7.944;7.968;7.944;14774
7.986;7.964;7.986;7.962;23892
7.988;7.998;8.008;7.988;57719
8.06;7.988;8.06;7.984;61779
8.056;8.058;8.102;8.042;398271
8.048;8.12;8.12;8.02;13221
8.034;8.042;8.042;8.034;1190
7.95;8.024;8.024;7.928;15402
7.936;7.942;7.96;7.92;9210
7.94;7.938;7.948;7.926;14210
7.93;7.948;7.952;7.93;4351
7.944;7.944;7.946;7.94;4578
7.918;7.936;7.936;7.918;5806
7.912;7.91;7.928;7.9;22282
7.914;7.906;7.914;7.9;7331
7.918;7.914;7.92;7.912;8849
7.922;7.912;7.922;7.91;12812
7.902;7.914;7.914;7.902;2032
7.914;7.902;7.914;7.902;1860
7.908;7.906;7.926;7.902;24661
7.882;7.908;7.908;7.88;9410
7.892;7.882;7.896;7.88;16192
7.9;7.894;7.902;7.894;11176
7.896;7.9;7.902;7.896;2198
7.896;7.896;7.9;7.892;15842
7.892;7.902;7.908;7.892;7209
7.89;7.89;7.896;7.89;10182
7.89;7.892;7.894;7.886;8393
7.882;7.882;7.886;7.882;3605
7.866;7.88;7.88;7.85;26363
7.864;7.86;7.872;7.86;21006
7.876;7.868;7.88;7.868;12119
7.868;7.87;7.87;7.854;9295
7.868;7.862;7.87;7.862;7911
7.864;7.86;7.87;7.852;23010
7.844;7.86;7.866;7.838;19607
7.856;7.842;7.86;7.836;13597
7.848;7.848;7.856;7.84;16526
7.854;7.84;7.854;7.84;10706
7.854;7.848;7.854;7.846;6646
7.864;7.854;7.864;7.854;10464
7.87;7.87;7.876;7.87;3109
7.874;7.874;7.874;7.864;5209
7.888;7.874;7.892;7.874;13844
7.902;7.894;7.902;7.89;6968
7.898;7.906;7.91;7.898;6415
7.898;7.896;7.902;7.89;14977
7.904;7.888;7.904;7.888;14045
7.898;7.892;7.898;7.892;5837
7.904;7.898;7.904;7.898;8547
7.902;7.904;7.916;7.902;7964
7.908;7.91;7.91;7.908;4811
7.9;7.902;7.906;7.89;4305
7.918;7.9;7.918;7.9;10249
7.908;7.904;7.908;7.902;4727
7.89;7.904;7.906;7.89;7683
7.882;7.888;7.896;7.88;8320
7.868;7.892;7.892;7.868;11678
7.86;7.876;7.876;7.86;6200
7.854;7.866;7.868;7.85;21530
7.868;7.854;7.868;7.854;15623
7.864;7.866;7.866;7.86;6210
7.862;7.86;7.862;7.854;3889
7.848;7.856;7.86;7.846;6681
7.856;7.856;7.856;7.842;14985
7.836;7.858;7.858;7.83;24044
7.846;7.84;7.846;7.822;23562
7.83;7.84;7.842;7.824;14979
7.84;7.83;7.84;7.83;8185
7.84;7.84;7.846;7.834;13968
7.836;7.844;7.844;7.834;7946
7.832;7.83;7.84;7.824;13666
7.834;7.83;7.836;7.824;21937
7.844;7.834;7.854;7.834;23102
7.832;7.838;7.844;7.832;6479
7.838;7.836;7.842;7.83;18061
7.828;7.838;7.838;7.822;12782
7.826;7.83;7.832;7.826;13659
7.832;7.828;7.832;7.82;17902
7.842;7.832;7.842;7.826;11583
7.828;7.842;7.846;7.828;23613
7.832;7.832;7.836;7.828;8893
7.836;7.828;7.844;7.826;30728
7.854;7.834;7.854;7.834;20044
7.864;7.864;7.864;7.856;11014
7.88;7.866;7.88;7.866;4294
7.886;7.874;7.89;7.874;18360
7.888;7.888;7.894;7.884;30685
7.886;7.892;7.896;7.886;10964
7.892;7.89;7.896;7.866;22853
7.94;7.886;7.94;7.886;26307
7.952;7.94;7.952;7.928;33070
7.95;7.954;7.954;7.936;38168
7.966;7.95;7.98;7.948;47936
7.956;7.966;7.968;7.922;49203
7.952;7.96;7.966;7.944;39474
7.948;7.954;7.968;7.938;42253
7.936;7.948;7.948;7.922;38374
7.918;7.93;7.936;7.906;180501
7.996;8.02;8.026;7.958;32576
7.964;7.968;7.996;7.942;16064
7.972;7.966;7.972;7.926;22527
7.956;7.96;7.996;7.938;14900
7.95;7.956;7.968;7.95;11073
7.992;7.966;7.992;7.966;7038
7.976;7.978;7.978;7.976;2795
8.024;7.988;8.024;7.988;14005
7.998;7.996;8.006;7.988;6892
8.002;7.998;8.01;7.986;10887
8.02;8.016;8.02;8.01;2872
8.036;8.018;8.048;8.016;19302
8.004;8.024;8.024;7.992;9258
8.01;8.008;8.01;8.008;1661
7.998;8.01;8.01;7.998;3018
7.992;8.008;8.014;7.992;6635
7.998;7.992;7.998;7.99;6435
8.008;7.996;8.012;7.996;9672
7.986;8.008;8.016;7.986;15848
7.998;7.986;7.998;7.986;10264
7.988;8.0;8.0;7.988;4884
7.968;7.998;7.998;7.962;43992
7.968;7.96;7.968;7.958;3951
7.972;7.968;7.972;7.968;3745
7.982;7.97;7.984;7.97;13435
7.974;7.976;7.978;7.958;7695
7.982;7.964;7.982;7.964;1778
7.98;7.98;7.98;7.964;4543
7.968;7.98;7.98;7.968;3825
7.94;7.976;7.976;7.934;15686
7.948;7.938;7.948;7.93;10719
7.92;7.94;7.946;7.92;18655
7.924;7.924;7.94;7.924;9033
7.906;7.934;7.934;7.904;9552
7.902;7.9;7.918;7.89;30379
7.91;7.902;7.91;7.892;17655
7.916;7.91;7.916;7.904;3025
7.946;7.916;7.946;7.916;6426
7.95;7.948;7.96;7.936;8639
7.972;7.96;7.972;7.958;2416
7.992;7.974;7.998;7.97;31937
7.99;7.998;8.0;7.978;21007
7.972;7.988;7.996;7.966;24271
7.976;7.98;7.986;7.974;25978
8.0;7.986;8.012;7.986;71721
8.0;8.0;8.01;7.994;71357
7.994;7.994;7.994;7.994;4220
7.996;7.996;8.0;7.996;8194
7.992;8.0;8.004;7.992;19667
7.988;8.0;8.0;7.988;9014
7.978;7.996;7.996;7.978;6402
7.972;7.96;7.974;7.956;5810
7.968;7.968;7.968;7.968;3316
7.974;7.974;7.974;7.966;2834
7.968;7.974;7.976;7.964;5459
7.968;7.968;7.968;7.968;2465
7.98;7.974;7.98;7.97;8100
7.974;7.98;7.98;7.974;10708
7.974;7.978;7.98;7.974;4177
7.982;7.98;7.982;7.98;3185
7.982;7.98;7.982;7.974;5316
7.974;7.98;7.98;7.974;4388
7.982;7.982;7.982;7.982;1394
7.96;7.982;7.982;7.96;11906
7.94;7.96;7.96;7.932;5538
7.94;7.94;7.94;7.932;4743
7.946;7.94;7.946;7.906;29395
7.944;7.944;7.944;7.944;829
7.944;7.944;7.946;7.944;3678
7.934;7.938;7.948;7.932;12553
7.948;7.922;7.948;7.922;14219
7.956;7.948;7.96;7.93;25129
7.954;7.95;7.958;7.946;6136
7.95;7.944;7.97;7.942;31311
7.938;7.938;7.938;7.936;2199
7.962;7.938;7.962;7.938;25010
7.94;7.974;7.976;7.94;11403
7.942;7.936;7.948;7.922;12727
7.934;7.942;7.942;7.926;7625
7.93;7.928;7.944;7.924;9670
7.952;7.942;7.952;7.932;18463
7.942;7.946;7.954;7.936;8459
7.972;7.95;7.976;7.944;13914
7.974;7.972;7.98;7.972;15152
7.982;7.974;7.984;7.972;19303
7.976;7.972;7.976;7.966;8831
7.972;7.97;7.972;7.96;6867
7.958;7.97;7.98;7.958;20269
7.97;7.962;7.97;7.962;1814
7.95;7.962;7.972;7.95;13698
7.96;7.95;7.964;7.946;20882
7.932;7.96;7.966;7.93;23315
7.916;7.944;7.952;7.916;24534
7.96;7.918;7.982;7.912;121652
7.988;7.99;7.998;7.968;8863
8.044;8.0;8.044;8.0;8875
8.048;8.044;8.06;8.016;11808
8.06;8.058;8.06;8.058;663
8.07;8.062;8.07;8.06;5696
8.078;8.07;8.078;8.07;383
8.064;8.076;8.076;8.062;7608
8.088;8.074;8.09;8.074;11495
8.108;8.086;8.108;8.086;7246
8.138;8.106;8.14;8.106;15737
8.144;8.142;8.152;8.138;12539
8.122;8.144;8.144;8.118;5692
8.144;8.122;8.15;8.122;8400
8.15;8.14;8.15;8.14;2083
8.158;8.154;8.168;8.148;13740
8.136;8.148;8.148;8.136;7022
8.15;8.12;8.15;8.12;3266
8.142;8.146;8.146;8.142;2031
8.126;8.14;8.142;8.124;6128
8.138;8.13;8.138;8.128;10225
8.128;8.132;8.132;8.128;3130
8.11;8.124;8.124;8.11;4886
8.124;8.12;8.124;8.12;4111
8.124;8.124;8.124;8.124;2255
8.128;8.13;8.134;8.128;4912
8.146;8.136;8.15;8.136;10603
8.146;8.14;8.146;8.14;3381
8.134;8.148;8.148;8.132;4885
