y;ds
17.26;2024-03-19 09:00:00
17.13;2024-03-19 09:05:00
17.23;2024-03-19 09:10:00
17.19;2024-03-19 09:15:00
17.26;2024-03-19 09:20:00
17.34;2024-03-19 09:25:00
17.25;2024-03-19 09:30:00
17.18;2024-03-19 09:35:00
17.17;2024-03-19 09:40:00
17.24;2024-03-19 09:45:00
17.14;2024-03-19 09:50:00
17.09;2024-03-19 09:55:00
17.14;2024-03-19 10:00:00
17.06;2024-03-19 10:05:00
17.07;2024-03-19 10:10:00
17.05;2024-03-19 10:15:00
17.09;2024-03-19 10:20:00
17.09;2024-03-19 10:25:00
17.04;2024-03-19 10:30:00
17.0;2024-03-19 10:35:00
17.02;2024-03-19 10:40:00
17.02;2024-03-19 10:45:00
17.01;2024-03-19 10:50:00
17.07;2024-03-19 10:55:00
17.03;2024-03-19 11:00:00
17.04;2024-03-19 11:05:00
17.04;2024-03-19 11:10:00
17.04;2024-03-19 11:15:00
17.01;2024-03-19 11:20:00
17.05;2024-03-19 11:25:00
17.05;2024-03-19 11:30:00
17.05;2024-03-19 11:35:00
17.04;2024-03-19 11:40:00
17.03;2024-03-19 11:45:00
17.01;2024-03-19 11:50:00
17.0;2024-03-19 11:55:00
16.99;2024-03-19 12:00:00
17.01;2024-03-19 12:05:00
17.03;2024-03-19 12:10:00
17.1;2024-03-19 12:15:00
17.16;2024-03-19 12:20:00
17.21;2024-03-19 12:25:00
17.23;2024-03-19 12:30:00
17.17;2024-03-19 12:35:00
17.13;2024-03-19 12:40:00
17.12;2024-03-19 12:45:00
17.09;2024-03-19 12:50:00
17.09;2024-03-19 12:55:00
17.06;2024-03-19 13:00:00
17.08;2024-03-19 13:05:00
17.08;2024-03-19 13:10:00
17.06;2024-03-19 13:15:00
17.09;2024-03-19 13:20:00
17.15;2024-03-19 13:25:00
17.13;2024-03-19 13:30:00
17.1;2024-03-19 13:35:00
17.11;2024-03-19 13:40:00
17.13;2024-03-19 13:45:00
17.12;2024-03-19 13:50:00
17.12;2024-03-19 13:55:00
17.09;2024-03-19 14:00:00
17.09;2024-03-19 14:05:00
17.12;2024-03-19 14:10:00
17.28;2024-03-19 14:15:00
17.24;2024-03-19 14:20:00
17.23;2024-03-19 14:25:00
17.14;2024-03-19 14:30:00
17.09;2024-03-19 14:35:00
17.1;2024-03-19 14:40:00
17.1;2024-03-19 14:45:00
17.12;2024-03-19 14:50:00
17.1;2024-03-19 14:55:00
17.08;2024-03-19 15:00:00
17.07;2024-03-19 15:05:00
17.06;2024-03-19 15:10:00
17.08;2024-03-19 15:15:00
17.1;2024-03-19 15:20:00
17.06;2024-03-19 15:25:00
17.07;2024-03-19 15:30:00
17.02;2024-03-19 15:35:00
17.03;2024-03-19 15:40:00
17.01;2024-03-19 15:45:00
17.03;2024-03-19 15:50:00
17.01;2024-03-19 15:55:00
17.02;2024-03-19 16:00:00
17.08;2024-03-19 16:05:00
17.05;2024-03-19 16:10:00
17.03;2024-03-19 16:15:00
17.12;2024-03-19 16:20:00
17.19;2024-03-19 16:25:00
17.27;2024-03-19 16:30:00
17.25;2024-03-19 16:35:00
17.35;2024-03-19 16:40:00
17.32;2024-03-19 16:45:00
17.49;2024-03-20 09:00:00
17.58;2024-03-20 09:05:00
17.36;2024-03-20 09:10:00
17.48;2024-03-20 09:15:00
17.74;2024-03-20 09:20:00
17.72;2024-03-20 09:25:00
17.76;2024-03-20 09:30:00
17.69;2024-03-20 09:35:00
17.74;2024-03-20 09:40:00
17.92;2024-03-20 09:45:00
17.99;2024-03-20 09:50:00
18.0;2024-03-20 09:55:00
18.01;2024-03-20 10:00:00
18.03;2024-03-20 10:05:00
17.94;2024-03-20 10:10:00
17.88;2024-03-20 10:15:00
17.84;2024-03-20 10:20:00
17.83;2024-03-20 10:25:00
17.79;2024-03-20 10:30:00
17.88;2024-03-20 10:35:00
17.9;2024-03-20 10:40:00
17.88;2024-03-20 10:45:00
17.79;2024-03-20 10:50:00
17.79;2024-03-20 10:55:00
17.82;2024-03-20 11:00:00
17.76;2024-03-20 11:05:00
17.77;2024-03-20 11:10:00
17.76;2024-03-20 11:15:00
17.7;2024-03-20 11:20:00
17.69;2024-03-20 11:25:00
17.68;2024-03-20 11:30:00
17.69;2024-03-20 11:35:00
17.71;2024-03-20 11:40:00
17.71;2024-03-20 11:45:00
17.71;2024-03-20 11:50:00
17.84;2024-03-20 11:55:00
17.81;2024-03-20 12:00:00
17.78;2024-03-20 12:05:00
17.84;2024-03-20 12:10:00
17.85;2024-03-20 12:15:00
17.81;2024-03-20 12:20:00
17.73;2024-03-20 12:25:00
17.74;2024-03-20 12:30:00
17.84;2024-03-20 12:35:00
17.82;2024-03-20 12:40:00
17.83;2024-03-20 12:45:00
17.85;2024-03-20 12:50:00
17.83;2024-03-20 12:55:00
17.93;2024-03-20 13:00:00
17.89;2024-03-20 13:05:00
17.94;2024-03-20 13:10:00
17.93;2024-03-20 13:15:00
17.85;2024-03-20 13:20:00
17.89;2024-03-20 13:25:00
17.9;2024-03-20 13:30:00
17.87;2024-03-20 13:35:00
17.9;2024-03-20 13:40:00
17.88;2024-03-20 13:45:00
17.89;2024-03-20 13:50:00
17.87;2024-03-20 13:55:00
17.88;2024-03-20 14:00:00
17.82;2024-03-20 14:05:00
17.92;2024-03-20 14:10:00
17.92;2024-03-20 14:15:00
18.04;2024-03-20 14:20:00
18.0;2024-03-20 14:25:00
17.98;2024-03-20 14:30:00
18.13;2024-03-20 14:35:00
18.17;2024-03-20 14:40:00
18.22;2024-03-20 14:45:00
18.26;2024-03-20 14:50:00
18.18;2024-03-20 14:55:00
18.18;2024-03-20 15:00:00
18.12;2024-03-20 15:05:00
18.17;2024-03-20 15:10:00
18.17;2024-03-20 15:15:00
18.14;2024-03-20 15:20:00
18.09;2024-03-20 15:25:00
18.14;2024-03-20 15:30:00
18.02;2024-03-20 15:35:00
18.04;2024-03-20 15:40:00
18.06;2024-03-20 15:45:00
18.11;2024-03-20 15:50:00
18.08;2024-03-20 15:55:00
18.06;2024-03-20 16:00:00
18.05;2024-03-20 16:05:00
18.04;2024-03-20 16:10:00
17.99;2024-03-20 16:15:00
17.98;2024-03-20 16:20:00
17.96;2024-03-20 16:25:00
18.01;2024-03-20 16:30:00
17.99;2024-03-20 16:35:00
18.02;2024-03-20 16:40:00
18.02;2024-03-20 16:45:00
18.85;2024-03-21 09:00:00
18.81;2024-03-21 09:05:00
18.95;2024-03-21 09:10:00
19.0;2024-03-21 09:15:00
18.97;2024-03-21 09:20:00
18.97;2024-03-21 09:25:00
19.17;2024-03-21 09:30:00
19.24;2024-03-21 09:35:00
19.29;2024-03-21 09:40:00
19.21;2024-03-21 09:45:00
19.32;2024-03-21 09:50:00
19.31;2024-03-21 09:55:00
19.24;2024-03-21 10:00:00
19.18;2024-03-21 10:05:00
19.2;2024-03-21 10:10:00
19.11;2024-03-21 10:15:00
19.22;2024-03-21 10:20:00
19.2;2024-03-21 10:25:00
19.2;2024-03-21 10:30:00
19.27;2024-03-21 10:35:00
19.33;2024-03-21 10:40:00
19.28;2024-03-21 10:45:00
19.27;2024-03-21 10:50:00
19.29;2024-03-21 10:55:00
19.28;2024-03-21 11:00:00
19.18;2024-03-21 11:05:00
19.17;2024-03-21 11:10:00
19.12;2024-03-21 11:15:00
19.14;2024-03-21 11:20:00
19.17;2024-03-21 11:25:00
19.21;2024-03-21 11:30:00
19.19;2024-03-21 11:35:00
19.19;2024-03-21 11:40:00
19.24;2024-03-21 11:45:00
19.24;2024-03-21 11:50:00
19.28;2024-03-21 11:55:00
19.34;2024-03-21 12:00:00
19.42;2024-03-21 12:05:00
19.5;2024-03-21 12:10:00
19.49;2024-03-21 12:15:00
19.44;2024-03-21 12:20:00
19.38;2024-03-21 12:25:00
19.38;2024-03-21 12:30:00
19.37;2024-03-21 12:35:00
19.4;2024-03-21 12:40:00
19.36;2024-03-21 12:45:00
19.34;2024-03-21 12:50:00
19.4;2024-03-21 12:55:00
19.4;2024-03-21 13:00:00
19.5;2024-03-21 13:05:00
19.41;2024-03-21 13:10:00
19.44;2024-03-21 13:15:00
19.4;2024-03-21 13:20:00
