close;open;high;low;vol
7.134;7.148;7.15;7.09;41577
7.098;7.134;7.134;7.088;11955
7.042;7.088;7.088;7.02;73668
7.07;7.06;7.1;7.05;20747
7.072;7.08;7.086;7.066;9386
7.116;7.086;7.116;7.086;7145
7.068;7.104;7.104;7.062;12569
7.076;7.068;7.096;7.062;41111
7.076;7.076;7.086;7.064;16341
7.08;7.072;7.094;7.07;4763
7.064;7.074;7.08;7.064;9543
7.068;7.064;7.068;7.06;4511
7.066;7.06;7.066;7.05;18459
7.066;7.058;7.066;7.052;13215
7.056;7.068;7.074;7.056;8477
7.072;7.06;7.072;7.056;7852
7.072;7.072;7.076;7.072;2659
7.072;7.076;7.076;7.066;2195
7.058;7.068;7.07;7.058;6874
7.06;7.058;7.06;7.054;9108
7.056;7.062;7.062;7.048;20964
7.046;7.056;7.056;7.046;21890
7.04;7.052;7.052;7.04;9631
7.05;7.05;7.06;7.04;17467
7.044;7.058;7.062;7.044;26302
7.05;7.042;7.054;7.04;20918
7.056;7.056;7.058;7.044;9872
7.048;7.052;7.052;7.048;2195
7.03;7.048;7.05;7.03;58739
7.046;7.036;7.046;7.036;4319
7.032;7.048;7.062;7.032;27313
7.042;7.04;7.056;7.04;7611
7.044;7.042;7.044;7.038;13702
7.044;7.044;7.046;7.038;3219
7.048;7.048;7.058;7.042;6102
7.056;7.048;7.056;7.048;8257
7.022;7.052;7.056;7.022;21883
7.014;7.022;7.028;7.014;11452
7.03;7.026;7.03;7.02;8808
7.01;7.03;7.03;7.0;42986
7.014;7.01;7.016;7.006;19726
7.01;7.014;7.014;7.004;4595
7.012;7.01;7.018;7.008;44213
7.016;7.012;7.016;7.004;18665
7.018;7.018;7.018;7.012;2724
7.014;7.018;7.018;7.014;2719
7.01;7.012;7.016;7.006;6565
7.006;7.004;7.01;7.004;7131
7.006;7.004;7.006;7.0;167484
7.018;7.006;7.018;7.006;19731
7.014;7.01;7.014;7.01;2696
7.01;7.014;7.016;7.008;49896
7.014;7.01;7.014;7.01;2642
7.042;7.014;7.044;7.014;16430
7.03;7.03;7.042;7.03;7021
7.024;7.03;7.032;7.024;8851
7.028;7.024;7.028;7.022;6306
7.03;7.03;7.038;7.03;10859
7.048;7.032;7.05;7.03;27674
7.056;7.04;7.056;7.04;6136
7.058;7.06;7.06;7.052;2793
7.028;7.052;7.058;7.028;12323
7.028;7.028;7.028;7.026;7987
7.022;7.024;7.024;7.022;2698
