close;open;high;low;vol
62.95;63.19;63.25;62.81;18900
63.02;62.95;63.05;62.89;3439
63.3;63.02;63.36;63.02;20606
63.37;63.29;63.58;63.29;14649
63.5;63.36;63.54;63.34;7801
63.72;63.52;63.72;63.5;14594
63.73;63.7;63.76;63.57;44807
63.93;63.7;63.96;63.7;27095
63.79;63.92;63.92;63.73;8985
63.85;63.75;63.97;63.75;22399
63.6;63.86;63.88;63.6;10638
63.45;63.6;63.6;63.41;2480
63.47;63.44;63.51;63.36;7607
63.3;63.44;63.45;63.22;15454
63.21;63.33;63.38;63.21;3955
63.17;63.21;63.21;63.06;8565
63.17;63.2;63.25;63.15;8287
63.06;63.16;63.16;63.06;6698
62.9;63.05;63.06;62.88;9244
62.9;62.89;62.91;62.85;5283
62.76;62.9;62.91;62.7;23952
62.71;62.74;62.76;62.58;22472
62.8;62.71;62.87;62.71;8372
62.96;62.85;62.97;62.82;5627
62.83;62.92;63.02;62.74;13748
62.79;62.83;62.83;62.62;17126
62.82;62.8;62.85;62.68;6386
62.72;62.85;62.85;62.7;4145
62.71;62.72;62.72;62.66;9015
62.8;62.69;62.8;62.66;10557
62.87;62.8;62.9;62.75;10473
62.91;62.83;62.92;62.83;4008
62.72;62.92;62.92;62.72;3616
62.84;62.77;62.88;62.75;13521
62.83;62.85;62.88;62.79;7576
62.77;62.83;62.85;62.77;4768
62.6;62.82;62.82;62.58;10841
62.63;62.62;62.66;62.59;4478
62.77;62.68;62.79;62.66;1620
62.59;62.75;62.77;62.59;15388
62.47;62.65;62.65;62.45;43916
62.48;62.49;62.5;62.35;20910
62.57;62.48;62.59;62.48;3022
62.47;62.52;62.55;62.47;2320
62.5;62.5;62.52;62.47;5262
62.5;62.49;62.51;62.46;5721
62.54;62.51;62.58;62.51;4291
62.5;62.54;62.54;62.5;1339
62.38;62.52;62.53;62.36;11402
62.39;62.39;62.43;62.36;4261
62.37;62.39;62.45;62.37;3627
62.39;62.39;62.4;62.34;6270
62.45;62.39;62.46;62.39;6538
62.58;62.48;62.58;62.43;6305
62.58;62.58;62.58;62.52;5359
62.47;62.58;62.58;62.46;6003
62.47;62.49;62.51;62.43;34364
62.58;62.48;62.58;62.44;55913
62.5;62.58;62.58;62.5;4196
62.68;62.53;62.68;62.53;22108
62.76;62.68;62.76;62.68;3695
62.44;62.7;62.7;62.41;8775
62.46;62.44;62.49;62.4;6408
62.5;62.48;62.53;62.48;6311
62.45;62.5;62.5;62.41;4848
62.46;62.45;62.48;62.42;5528
62.45;62.48;62.49;62.35;13789
62.33;62.45;62.48;62.33;4457
62.27;62.35;62.35;62.23;17449
62.14;62.25;62.28;62.12;25483
62.23;62.14;62.29;62.1;14141
62.18;62.23;62.27;62.11;18101
62.23;62.22;62.26;62.12;19120
62.23;62.23;62.32;62.21;7061
62.25;62.25;62.36;62.2;9337
62.23;62.23;62.25;62.21;5264
62.29;62.24;62.37;62.21;8843
62.29;62.28;62.3;62.24;7878
62.43;62.25;62.5;62.24;21943
62.36;62.43;62.43;62.27;12230
62.27;62.35;62.39;62.27;5610
62.21;62.26;62.26;62.18;18698
62.41;62.25;62.41;62.25;12918
62.35;62.41;62.44;62.33;11316
62.35;62.33;62.35;62.25;13744
62.48;62.35;62.5;62.35;31330
62.59;62.48;62.63;62.4;52325
62.64;62.59;62.67;62.52;19455
62.77;62.61;62.8;62.61;17232
63.06;62.77;63.2;62.77;27575
63.3;63.06;63.3;63.03;51231
63.25;63.35;63.44;63.18;22091
63.5;63.32;63.57;63.23;41645
63.35;63.5;63.53;63.35;235333
62.98;63.51;63.51;62.94;19515
62.94;63.01;63.04;62.94;2089
62.92;62.93;63.03;62.8;14207
62.88;62.96;62.96;62.83;8684
62.85;62.91;62.93;62.82;2864
62.74;62.86;62.91;62.74;7440
62.8;62.75;62.84;62.71;14737
62.63;62.8;62.87;62.63;9145
62.55;62.62;62.67;62.48;12364
62.54;62.53;62.62;62.44;6333
62.6;62.52;62.6;62.52;2710
62.55;62.58;62.6;62.49;3248
62.42;62.55;62.64;62.38;8443
62.34;62.38;62.41;62.33;4393
62.5;62.35;62.55;62.27;8345
62.49;62.49;62.56;62.44;9292
62.54;62.51;62.58;62.51;1309
62.55;62.54;62.55;62.5;1784
62.49;62.52;62.55;62.48;3353
62.5;62.45;62.5;62.43;1851
62.42;62.49;62.53;62.42;3903
62.44;62.41;62.44;62.34;5955
62.47;62.48;62.51;62.42;17227
62.44;62.47;62.5;62.43;25134
62.26;62.43;62.44;62.26;20438
62.32;62.26;62.32;62.22;10789
62.32;62.3;62.33;62.21;9069
62.33;62.32;62.33;62.25;2873
62.28;62.33;62.34;62.24;6503
62.28;62.25;62.3;62.21;11217
62.31;62.26;62.31;62.19;18255
62.36;62.37;62.46;62.29;6164
62.19;62.3;62.3;62.19;9661
62.22;62.19;62.23;62.16;5187
62.22;62.23;62.26;62.2;11466
62.3;62.26;62.3;62.22;2712
62.3;62.3;62.3;62.22;8169
62.34;62.3;62.4;62.3;8172
62.42;62.33;62.43;62.3;2065
62.45;62.44;62.46;62.36;2367
62.41;62.42;62.45;62.38;1842
62.37;62.42;62.49;62.36;2170
62.34;62.38;62.4;62.34;5871
62.37;62.34;62.42;62.34;8646
62.44;62.37;62.48;62.37;1213
62.44;62.48;62.5;62.44;1294
62.46;62.43;62.47;62.41;2537
62.46;62.46;62.47;62.43;1698
62.47;62.46;62.6;62.46;4198
62.38;62.46;62.47;62.37;1344
62.4;62.44;62.46;62.36;2070
62.39;62.42;62.47;62.39;2789
62.36;62.4;62.44;62.34;7142
62.32;62.36;62.37;62.29;4688
62.33;62.32;62.36;62.3;3828
62.39;62.36;62.4;62.36;3013
62.36;62.36;62.37;62.34;1783
62.29;62.35;62.4;62.29;6044
62.27;62.31;62.36;62.27;2882
62.26;62.29;62.35;62.25;5015
62.26;62.29;62.33;62.26;19770
62.26;62.27;62.3;62.23;27605
62.24;62.3;62.3;62.23;7418
62.29;62.24;62.31;62.24;6034
62.32;62.28;62.32;62.27;2866
62.31;62.33;62.35;62.26;5632
62.3;62.3;62.31;62.25;9975
62.34;62.26;62.37;62.23;10509
62.31;62.37;62.42;62.29;3530
62.32;62.31;62.35;62.3;3995
62.35;62.31;62.35;62.28;9103
62.3;62.35;62.35;62.28;7229
62.28;62.28;62.31;62.24;10443
62.28;62.28;62.31;62.28;6520
62.34;62.28;62.34;62.26;8010
62.43;62.37;62.59;62.36;19183
62.65;62.43;62.65;62.41;5033
62.58;62.64;62.66;62.54;11118
62.73;62.6;62.73;62.57;9102
62.57;62.72;62.72;62.52;7082
62.57;62.55;62.57;62.5;3116
62.65;62.57;62.72;62.55;4295
62.79;62.67;62.88;62.67;20171
62.83;62.81;62.9;62.78;14788
62.85;62.82;62.86;62.71;8280
62.81;62.8;62.84;62.7;4705
