close;open;high;low;vol
55.5;55.5;55.72;55.14;19293
55.54;55.48;55.54;55.38;11499
55.72;55.62;55.82;55.62;31742
55.86;55.74;55.88;55.72;21138
55.88;55.86;56.04;55.84;20401
55.94;55.86;55.96;55.8;25045
55.8;55.94;55.96;55.8;15900
55.88;55.8;55.92;55.8;8970
55.82;55.86;55.86;55.82;6320
55.84;55.82;55.88;55.8;14459
55.8;55.88;55.88;55.8;14112
55.64;55.76;55.76;55.58;21345
55.76;55.6;55.76;55.58;14406
55.76;55.78;55.78;55.64;11662
55.88;55.8;55.9;55.78;19195
55.94;55.9;55.94;55.84;14466
55.9;55.92;55.96;55.84;10133
55.8;55.9;55.9;55.74;13219
55.66;55.8;55.82;55.64;7510
55.48;55.6;55.6;55.44;8334
55.38;55.44;55.44;55.38;6420
55.2;55.38;55.38;55.08;22754
55.32;55.26;55.42;55.22;21396
55.4;55.32;55.4;55.26;7025
55.3;55.38;55.4;55.26;67510
55.3;55.3;55.4;55.3;23565
55.3;55.36;55.36;55.3;16305
54.98;55.3;55.3;54.9;28545
54.86;54.98;55.22;54.84;70007
54.62;54.86;54.88;54.54;41461
54.48;54.6;54.62;54.38;26175
54.56;54.5;54.68;54.5;13214
54.5;54.6;54.6;54.46;8630
54.42;54.56;54.56;54.32;22435
54.38;54.42;54.5;54.38;15479
54.4;54.38;54.46;54.38;6693
54.28;54.44;54.46;54.22;11922
54.36;54.32;54.38;54.3;11764
54.42;54.38;54.42;54.34;5729
54.44;54.44;54.44;54.38;6097
54.52;54.44;54.52;54.38;40851
54.5;54.54;54.54;54.5;9076
54.5;54.56;54.56;54.5;20608
54.56;54.56;54.56;54.5;12274
54.6;54.56;54.66;54.56;26435
54.6;54.6;54.66;54.6;33319
54.6;54.6;54.62;54.6;27951
54.8;54.64;54.8;54.62;9862
54.74;54.78;54.82;54.74;14494
54.74;54.72;54.82;54.72;7366
54.76;54.78;54.78;54.72;986
54.66;54.76;54.76;54.66;8188
54.72;54.72;54.72;54.68;2545
54.9;54.74;54.9;54.74;2521
54.92;54.86;54.94;54.86;9091
54.9;54.94;54.94;54.84;7201
54.92;54.9;54.94;54.82;12569
54.82;54.92;54.92;54.82;6374
54.8;54.86;54.9;54.8;9689
54.88;54.8;54.88;54.8;4073
54.86;54.88;54.88;54.82;5004
54.42;54.86;54.86;54.42;18169
54.54;54.42;54.54;54.4;5725
54.4;54.54;54.54;54.32;17187
54.34;54.4;54.44;54.32;17353
54.54;54.34;54.54;54.34;11575
54.58;54.54;54.58;54.52;7153
54.3;54.58;54.58;54.3;28931
54.32;54.3;54.34;54.28;29085
54.28;54.34;54.4;54.26;29705
54.44;54.26;54.48;54.26;11319
54.48;54.4;54.5;54.32;21375
54.4;54.4;54.48;54.38;13918
54.32;54.36;54.36;54.32;4404
54.34;54.36;54.4;54.34;4911
54.54;54.34;54.54;54.3;19833
54.48;54.56;54.66;54.48;15715
54.54;54.5;54.68;54.5;11159
54.56;54.52;54.62;54.5;12164
54.56;54.56;54.64;54.5;11529
54.56;54.64;54.64;54.52;13167
54.54;54.56;54.58;54.5;5342
54.66;54.54;54.74;54.54;18296
54.58;54.68;54.72;54.58;15181
54.66;54.64;54.7;54.54;9413
54.88;54.7;54.92;54.68;22413
54.6;54.88;55.0;54.6;56294
54.58;54.58;54.68;54.44;42745
54.76;54.6;54.86;54.6;25744
55.02;54.78;55.06;54.78;54377
55.2;55.02;55.22;55.0;56013
55.24;55.22;55.34;55.18;47424
55.5;55.2;55.5;55.2;48245
55.28;55.52;55.72;55.28;609181
55.96;55.94;56.1;55.42;74628
55.62;55.96;55.96;55.62;6161
55.38;55.58;55.7;55.3;26328
55.38;55.4;55.42;55.26;11305
55.32;55.4;55.44;55.26;9476
55.5;55.4;55.66;55.4;66061
55.54;55.5;55.56;55.5;20273
55.32;55.54;55.54;55.32;22215
55.16;55.28;55.32;55.16;20001
55.12;55.16;55.18;55.1;7715
55.38;55.16;55.38;55.14;10970
55.32;55.38;55.4;55.32;10389
55.12;55.36;55.38;55.08;9486
55.1;55.1;55.12;55.04;9848
55.22;55.1;55.22;55.08;8271
55.24;55.18;55.32;55.18;9908
55.38;55.28;55.38;55.28;2178
55.38;55.38;55.4;55.32;3843
55.34;55.38;55.42;55.34;9232
55.38;55.32;55.4;55.32;3337
55.44;55.38;55.44;55.34;2952
55.36;55.4;55.44;55.28;10705
55.38;55.36;55.42;55.3;14990
55.28;55.38;55.44;55.28;14384
55.1;55.28;55.28;55.02;30090
55.2;55.06;55.24;55.0;28773
55.24;55.2;55.24;55.2;5981
55.16;55.2;55.2;55.12;7517
55.16;55.2;55.26;55.16;9689
55.04;55.14;55.14;55.0;12851
55.06;55.04;55.06;54.9;19621
55.12;55.08;55.16;55.08;13738
55.14;55.14;55.2;55.12;20956
55.14;55.12;55.14;55.1;6355
55.16;55.1;55.16;55.08;10184
55.34;55.18;55.34;55.18;20143
55.26;55.3;55.3;55.22;11086
55.26;55.24;55.26;55.22;5294
55.34;55.3;55.34;55.26;3346
55.48;55.36;55.48;55.36;11743
55.48;55.44;55.5;55.42;14705
55.44;55.46;55.48;55.36;20131
55.4;55.42;55.5;55.4;18547
55.52;55.42;55.52;55.4;3689
55.54;55.52;55.54;55.48;6748
55.58;55.54;55.62;55.54;9301
55.62;55.58;55.64;55.54;12885
55.6;55.66;55.66;55.58;5876
55.68;55.62;55.72;55.62;9950
55.66;55.66;55.66;55.6;5992
55.6;55.7;55.7;55.6;7543
55.62;55.62;55.66;55.6;8339
55.56;55.6;55.6;55.5;9560
55.6;55.58;55.6;55.5;15818
55.54;55.56;55.56;55.52;4047
55.58;55.52;55.6;55.52;14038
55.66;55.56;55.66;55.56;9275
55.6;55.62;55.62;55.56;17993
55.54;55.56;55.62;55.5;15230
55.6;55.54;55.64;55.54;21357
55.6;55.6;55.68;55.6;42258
55.46;55.6;55.64;55.36;32375
55.42;55.44;55.44;55.34;20298
55.4;55.46;55.48;55.4;8023
55.34;55.42;55.44;55.32;10565
55.3;55.32;55.32;55.26;8370
55.1;55.28;55.32;55.04;20891
55.12;55.12;55.16;55.08;7898
55.18;55.1;55.2;55.1;19498
55.2;55.16;55.28;55.14;17839
55.24;55.2;55.3;55.18;9327
55.08;55.26;55.26;55.04;13173
55.1;55.1;55.16;55.06;10232
55.3;55.14;55.3;55.1;9016
55.36;55.28;55.42;55.26;15524
55.42;55.36;55.44;55.36;15334
55.64;55.42;55.64;55.4;11743
55.64;55.64;55.64;55.52;13627
55.72;55.6;55.72;55.56;10919
55.62;55.7;55.74;55.56;10328
55.6;55.62;55.66;55.58;9068
55.7;55.6;55.76;55.6;23672
55.88;55.74;55.9;55.72;19972
56.04;55.86;56.08;55.86;52008
56.18;56.02;56.2;56.0;36548
56.22;56.12;56.22;56.12;31613
56.26;56.2;56.3;56.18;16187
56.24;56.26;56.32;56.2;32867
56.1;56.24;56.3;56.1;45241
56.16;56.08;56.16;55.98;27850
56.0;56.12;56.16;56.0;35805
55.94;55.98;56.04;55.92;29916
56.06;55.92;56.1;55.88;77502
56.2;56.02;56.2;55.98;640009
57.0;57.0;57.36;56.8;133604
57.04;56.96;57.2;56.84;50371
57.26;57.08;57.34;57.02;32638
57.14;57.26;57.26;57.14;19607
57.1;57.14;57.14;57.06;11694
57.2;57.14;57.26;57.12;12551
57.38;57.24;57.4;57.22;42162
57.54;57.38;57.56;57.38;96016
57.54;57.56;57.6;57.52;35183
57.54;57.54;57.6;57.48;13725
57.38;57.54;57.54;57.34;9995
57.52;57.36;57.52;57.32;41872
57.38;57.52;57.54;57.32;20609
57.2;57.34;57.34;57.18;13638
57.1;57.2;57.22;57.04;21519
56.9;57.08;57.08;56.9;11490
56.96;56.94;57.0;56.94;12037
57.1;56.94;57.12;56.94;16314
57.06;57.06;57.1;57.04;8590
57.24;57.08;57.24;57.08;19927
57.26;57.24;57.26;57.22;12512
57.2;57.24;57.24;57.18;11453
57.2;57.2;57.2;57.16;5601
57.22;57.22;57.32;57.2;11901
57.24;57.22;57.26;57.22;3836
57.28;57.26;57.3;57.18;21530
57.26;57.3;57.32;57.22;17743
57.22;57.22;57.26;57.22;7467
57.2;57.2;57.22;57.18;9464
57.22;57.22;57.22;57.18;14627
57.18;57.22;57.22;57.18;15356
57.08;57.18;57.18;57.06;30550
57.04;57.08;57.1;57.04;18605
57.14;57.04;57.18;57.04;14398
57.16;57.16;57.18;57.14;14646
57.28;57.16;57.28;57.14;15138
57.34;57.24;57.36;57.22;27542
57.36;57.36;57.38;57.32;19969
57.36;57.38;57.38;57.36;20091
57.4;57.36;57.44;57.36;22371
57.42;57.4;57.42;57.38;6941
57.5;57.44;57.56;57.44;34363
57.52;57.52;57.58;57.52;19686
57.56;57.54;57.58;57.5;30293
57.58;57.56;57.66;57.54;64504
57.58;57.6;57.6;57.58;6019
57.56;57.6;57.6;57.56;11294
57.7;57.58;57.7;57.58;40835
57.9;57.7;57.9;57.7;106156
57.96;57.9;57.96;57.86;41266
57.88;57.96;57.96;57.88;20038
57.94;57.88;57.94;57.88;15792
57.9;57.92;57.92;57.9;8645
57.96;57.9;57.96;57.88;4910
57.84;57.92;57.92;57.84;12579
57.9;57.84;57.9;57.84;6916
57.94;57.9;57.96;57.9;15561
57.82;57.94;57.94;57.8;22846
57.8;57.84;57.86;57.8;9547
57.78;57.78;57.82;57.72;11117
57.76;57.78;57.8;57.76;12374
57.72;57.76;57.76;57.7;7764
57.72;57.72;57.74;57.7;3249
57.66;57.74;57.76;57.64;14181
57.72;57.64;57.76;57.64;14453
57.76;57.7;57.76;57.7;17474
57.92;57.74;58.08;57.72;104075
57.92;57.92;57.96;57.88;15445
57.98;57.96;58.0;57.96;24513
57.9;57.98;57.98;57.84;21701
57.86;57.86;57.9;57.82;14368
57.78;57.88;57.88;57.76;24608
57.76;57.82;57.84;57.7;25019
57.96;57.78;58.04;57.78;73438
57.92;57.94;57.96;57.84;16952
57.92;57.92;57.96;57.9;14551
57.92;57.94;57.94;57.9;22819
57.84;57.88;57.9;57.84;12341
57.76;57.84;57.86;57.76;28353
57.84;57.76;57.84;57.76;13933
57.84;57.84;57.92;57.8;58609
57.84;57.82;57.88;57.8;15338
57.86;57.84;57.88;57.8;24413
57.62;57.84;57.86;57.62;31310
57.64;57.64;57.64;57.54;62662
57.58;57.64;57.68;57.56;45200
57.58;57.58;57.62;57.58;50845
57.6;57.58;57.62;57.52;37086
57.68;57.6;57.68;57.6;26896
57.78;57.64;57.78;57.62;37976
57.84;57.76;57.84;57.76;33813
57.82;57.84;57.86;57.8;32529
57.88;57.84;57.9;57.84;52688
58.1;57.86;58.1;57.74;588168
57.98;58.1;58.14;57.6;21578
58.18;57.9;58.2;57.9;16064
58.26;58.12;58.38;58.02;26029
58.14;58.26;58.32;58.06;36767
58.12;58.08;58.16;58.04;7984
58.08;58.14;58.14;58.08;6556
58.1;58.1;58.14;58.06;10810
58.08;58.12;58.14;58.08;12365
58.28;58.08;58.3;58.08;17065
