close;open;high;low;vol
4.22;4.185;4.235;4.17;8635
4.26;4.24;4.26;4.205;5938
4.255;4.215;4.255;4.215;1381
4.245;4.25;4.25;4.245;1010
4.245;4.245;4.245;4.245;0
4.25;4.25;4.25;4.25;940
4.25;4.25;4.25;4.25;420
4.25;4.25;4.25;4.25;0
4.25;4.25;4.25;4.25;0
4.275;4.25;4.275;4.25;3666
4.27;4.27;4.27;4.27;196
4.235;4.27;4.275;4.235;3449
4.235;4.235;4.235;4.235;0
4.235;4.235;4.235;4.235;0
4.235;4.235;4.235;4.235;0
4.265;4.24;4.265;4.24;1000
4.18;4.26;4.26;4.18;7230
4.245;4.19;4.245;4.19;28
4.245;4.245;4.245;4.245;0
4.23;4.225;4.23;4.225;1000
4.23;4.23;4.23;4.23;0
4.23;4.23;4.23;4.23;0
4.23;4.225;4.23;4.225;1193
4.21;4.23;4.23;4.21;2007
4.22;4.22;4.22;4.22;1000
4.2;4.2;4.2;4.2;2050
4.2;4.2;4.2;4.2;0
4.2;4.2;4.2;4.2;0
4.2;4.2;4.2;4.2;0
4.22;4.22;4.22;4.22;2500
4.22;4.22;4.22;4.22;0
4.22;4.22;4.22;4.22;1493
4.22;4.22;4.22;4.22;0
4.22;4.22;4.22;4.22;0
4.2;4.23;4.23;4.2;22
4.225;4.225;4.225;4.225;300
4.225;4.225;4.225;4.225;700
4.225;4.225;4.225;4.225;0
4.225;4.225;4.225;4.225;0
4.225;4.225;4.225;4.225;0
4.255;4.235;4.255;4.235;10075
4.205;4.205;4.205;4.205;1707
4.205;4.205;4.205;4.205;0
4.205;4.205;4.205;4.205;0
4.205;4.21;4.21;4.205;350
4.2;4.205;4.205;4.2;1000
4.2;4.2;4.2;4.2;0
4.2;4.235;4.235;4.2;503
4.2;4.2;4.2;4.2;0
4.22;4.22;4.22;4.22;102
4.22;4.22;4.22;4.22;1004
4.2;4.2;4.2;4.2;1000
4.2;4.2;4.2;4.2;200
4.2;4.2;4.2;4.2;0
4.21;4.21;4.21;4.21;1
4.21;4.21;4.21;4.21;0
4.21;4.21;4.21;4.21;0
4.21;4.21;4.21;4.21;0
4.21;4.21;4.21;4.21;0
4.215;4.215;4.215;4.215;56
4.215;4.215;4.215;4.215;0
4.215;4.215;4.215;4.215;0
4.215;4.215;4.215;4.215;0
4.215;4.215;4.215;4.215;0
4.19;4.2;4.2;4.19;5030
4.19;4.19;4.19;4.19;1035
4.19;4.19;4.19;4.19;0
4.18;4.18;4.18;4.18;699
4.195;4.195;4.195;4.195;286
4.205;4.205;4.205;4.205;288
4.205;4.205;4.205;4.205;0
4.205;4.205;4.205;4.205;0
4.205;4.205;4.205;4.205;0
4.205;4.205;4.205;4.205;0
4.205;4.205;4.205;4.205;0
4.205;4.205;4.205;4.205;0
4.195;4.195;4.195;4.195;288
4.195;4.195;4.195;4.195;0
4.195;4.195;4.195;4.195;0
4.195;4.195;4.195;4.195;0
4.195;4.195;4.195;4.195;0
4.195;4.195;4.195;4.195;0
4.2;4.195;4.2;4.195;1000
4.2;4.2;4.2;4.2;0
4.2;4.2;4.2;4.2;0
4.2;4.2;4.2;4.2;0
4.205;4.2;4.21;4.2;1755
4.205;4.205;4.205;4.205;0
4.215;4.21;4.215;4.21;694
4.22;4.22;4.22;4.22;10
4.23;4.205;4.23;4.205;4745
4.23;4.23;4.23;4.23;0
4.22;4.235;4.25;4.22;2090
4.23;4.23;4.245;4.23;4734
4.24;4.24;4.24;4.24;100
4.245;4.21;4.245;4.21;271
4.22;4.22;4.22;4.22;160
4.215;4.22;4.22;4.215;726
4.215;4.215;4.215;4.2;1430
4.215;4.215;4.215;4.215;0
4.22;4.215;4.22;4.215;1670
4.22;4.22;4.22;4.22;444
4.21;4.215;4.215;4.21;1288
4.215;4.205;4.215;4.19;925
4.175;4.2;4.2;4.175;4475
4.18;4.18;4.18;4.18;200
4.18;4.18;4.18;4.18;0
4.19;4.19;4.19;4.19;100
4.18;4.18;4.18;4.18;9747
4.18;4.18;4.18;4.18;241
4.18;4.18;4.18;4.18;0
4.18;4.18;4.18;4.18;0
4.18;4.18;4.18;4.18;0
4.18;4.18;4.18;4.18;0
4.18;4.18;4.18;4.18;0
4.18;4.18;4.18;4.18;0
4.195;4.19;4.195;4.19;2431
4.195;4.195;4.195;4.195;295
4.195;4.195;4.195;4.195;360
4.195;4.195;4.195;4.195;0
4.185;4.185;4.185;4.185;3
4.185;4.185;4.185;4.185;0
4.185;4.19;4.19;4.185;1437
4.185;4.185;4.185;4.185;0
4.185;4.185;4.185;4.185;100
4.2;4.2;4.2;4.2;8
4.2;4.2;4.2;4.2;0
4.2;4.2;4.2;4.2;0
4.19;4.195;4.195;4.19;856
4.19;4.19;4.19;4.19;1120
4.19;4.19;4.19;4.19;0
4.19;4.19;4.19;4.19;0
4.19;4.19;4.19;4.19;0
4.2;4.2;4.2;4.2;4141
4.2;4.2;4.2;4.2;0
4.2;4.2;4.2;4.2;0
4.2;4.2;4.2;4.2;0
4.22;4.22;4.22;4.22;500
4.22;4.22;4.22;4.22;0
4.235;4.22;4.235;4.22;500
4.235;4.235;4.235;4.235;0
4.22;4.22;4.22;4.22;288
4.225;4.225;4.225;4.225;3
4.225;4.225;4.225;4.225;0
4.2;4.2;4.2;4.2;214
4.215;4.215;4.215;4.215;503
4.215;4.215;4.215;4.215;0
4.215;4.215;4.215;4.215;0
4.205;4.215;4.215;4.205;130
4.205;4.205;4.205;4.205;0
4.205;4.205;4.205;4.205;0
4.205;4.205;4.205;4.205;0
4.2;4.205;4.205;4.2;1080
4.2;4.2;4.2;4.2;0
4.2;4.2;4.2;4.2;100
4.205;4.205;4.205;4.205;288
4.19;4.19;4.19;4.19;290
4.18;4.185;4.185;4.18;1000
4.19;4.185;4.19;4.185;892
4.19;4.19;4.19;4.19;142
4.19;4.19;4.19;4.19;542
4.19;4.19;4.19;4.19;0
4.195;4.195;4.195;4.195;249
4.19;4.205;4.21;4.19;11355
4.19;4.19;4.19;4.19;0
4.19;4.19;4.19;4.19;0
4.19;4.19;4.19;4.19;0
4.2;4.2;4.2;4.2;521
4.215;4.215;4.215;4.215;40
4.205;4.215;4.215;4.205;931
4.215;4.205;4.215;4.205;1250
4.215;4.215;4.215;4.215;0
4.215;4.215;4.215;4.215;0
