close;open;high;low;vol
47.41;47.28;47.48;47.16;23175
47.26;47.39;47.48;47.26;26758
47.38;47.33;47.45;47.33;16956
47.44;47.38;47.47;47.34;11257
47.57;47.44;47.57;47.42;8689
47.56;47.55;47.58;47.51;5268
47.5;47.56;47.56;47.46;4336
47.5;47.49;47.54;47.49;2672
47.42;47.49;47.49;47.42;3350
47.45;47.44;47.49;47.44;4175
47.34;47.44;47.44;47.34;5264
47.25;47.34;47.34;47.24;5283
47.37;47.25;47.38;47.22;3014
47.3;47.38;47.38;47.28;12838
47.32;47.33;47.37;47.32;3550
47.39;47.32;47.39;47.32;7531
47.38;47.4;47.43;47.38;2809
47.37;47.37;47.4;47.35;5962
47.32;47.37;47.4;47.32;10998
47.18;47.32;47.32;47.18;14568
47.1;47.18;47.2;47.1;13116
47.02;47.11;47.11;47.02;30842
47.1;47.04;47.12;47.04;6347
47.11;47.09;47.13;47.07;6086
47.08;47.13;47.13;47.05;10141
47.06;47.08;47.08;47.03;8249
47.07;47.06;47.09;47.02;14179
47.01;47.03;47.05;46.98;30689
46.9;46.98;47.01;46.87;21021
46.95;46.9;46.95;46.85;21793
46.97;46.99;47.12;46.94;21665
47.05;47.01;47.06;47.01;5141
47.01;47.02;47.07;47.01;5368
47.0;47.07;47.08;47.0;13993
47.03;47.04;47.11;47.03;4841
47.14;47.09;47.18;47.07;9577
47.12;47.17;47.17;47.12;4674
47.07;47.15;47.15;47.07;10284
47.11;47.06;47.11;47.06;3376
47.11;47.11;47.11;47.11;1892
47.06;47.11;47.16;47.06;8357
47.09;47.09;47.12;47.07;9518
47.09;47.15;47.16;47.09;11528
47.09;47.1;47.13;47.09;20881
47.08;47.1;47.11;47.07;10915
47.12;47.1;47.16;47.1;12058
47.16;47.14;47.16;47.1;9344
47.17;47.16;47.2;47.14;2739
47.15;47.17;47.19;47.11;13914
47.11;47.16;47.16;47.1;8309
47.1;47.1;47.11;47.1;3899
47.09;47.1;47.1;47.07;12025
47.15;47.1;47.15;47.1;7628
47.23;47.15;47.25;47.15;18494
47.23;47.22;47.23;47.21;2883
47.17;47.21;47.21;47.17;4315
47.14;47.17;47.17;47.14;9012
47.09;47.12;47.12;47.08;5108
47.1;47.09;47.1;47.07;18888
47.16;47.11;47.16;47.1;6213
47.11;47.12;47.14;47.11;1604
47.07;47.11;47.12;47.06;33084
47.1;47.06;47.1;47.05;18915
47.11;47.09;47.11;47.09;3883
47.07;47.1;47.1;47.06;9328
47.13;47.07;47.13;47.07;10275
47.09;47.12;47.14;47.08;10414
47.06;47.1;47.13;47.05;16234
47.0;47.05;47.07;46.95;9226
47.02;47.02;47.08;47.02;8697
47.04;47.04;47.07;47.02;7055
47.1;47.04;47.13;47.04;21317
47.07;47.05;47.09;47.04;10792
46.93;47.06;47.07;46.93;11902
46.94;46.93;46.97;46.91;10415
46.98;46.94;46.98;46.91;16546
47.01;46.99;47.07;46.99;10494
47.04;47.0;47.09;47.0;17862
47.06;47.04;47.07;47.03;9046
47.07;47.06;47.08;47.02;20700
47.05;47.09;47.09;47.05;7094
47.03;47.04;47.04;46.98;16948
47.11;47.03;47.11;47.03;13238
47.02;47.08;47.09;47.02;17015
47.04;47.02;47.04;47.0;17698
47.15;47.05;47.15;47.05;21293
47.09;47.15;47.2;47.07;42124
47.17;47.07;47.2;47.07;31048
47.18;47.19;47.24;47.15;18551
47.31;47.18;47.31;47.18;17110
47.36;47.31;47.42;47.29;32059
47.44;47.43;47.46;47.38;29664
47.49;47.41;47.49;47.38;24442
47.51;47.49;47.67;47.44;412725
47.36;47.24;47.39;47.11;19442
47.29;47.39;47.4;47.29;2896
47.14;47.28;47.28;47.1;8282
47.13;47.15;47.2;47.13;3887
47.22;47.16;47.22;47.16;3556
47.2;47.22;47.28;47.2;4400
47.14;47.16;47.2;47.14;5483
47.08;47.11;47.15;47.08;16807
46.99;47.08;47.12;46.98;25010
46.95;46.96;47.05;46.95;10508
47.06;46.98;47.13;46.98;5032
47.05;47.05;47.05;46.98;2954
47.01;47.05;47.05;47.0;8120
46.94;47.0;47.0;46.93;4351
47.04;46.94;47.04;46.94;2726
47.07;47.04;47.12;47.04;7785
47.13;47.09;47.15;47.09;2172
47.24;47.16;47.26;47.16;6539
47.19;47.2;47.24;47.19;2072
47.24;47.18;47.24;47.17;3593
47.23;47.21;47.23;47.19;1490
47.2;47.2;47.2;47.13;10760
47.18;47.2;47.2;47.15;8062
47.24;47.15;47.24;47.15;4840
47.14;47.22;47.24;47.09;12571
47.1;47.1;47.1;47.06;8144
47.12;47.11;47.12;47.06;5157
47.08;47.13;47.13;47.06;6754
47.05;47.08;47.09;47.05;4829
46.95;47.03;47.03;46.91;12078
46.93;46.94;47.0;46.9;14212
46.95;46.94;46.95;46.94;207
46.87;46.95;46.95;46.87;11736
46.87;46.88;46.88;46.83;9384
46.88;46.87;46.9;46.85;3925
46.98;46.9;46.98;46.9;2576
46.96;46.98;46.99;46.91;5450
46.96;46.98;47.0;46.96;3334
47.02;46.98;47.02;46.97;3352
47.24;47.08;47.24;47.08;4054
47.21;47.21;47.23;47.17;32460
47.18;47.18;47.22;47.17;9628
47.24;47.2;47.24;47.15;12518
47.21;47.23;47.24;47.21;17546
47.25;47.23;47.28;47.21;12459
47.34;47.28;47.34;47.28;8910
47.34;47.32;47.34;47.3;4906
47.3;47.31;47.34;47.27;6513
47.32;47.32;47.38;47.32;4670
47.29;47.3;47.31;47.28;2926
47.27;47.31;47.33;47.24;4996
47.29;47.28;47.33;47.27;3162
47.24;47.31;47.33;47.2;4551
47.31;47.24;47.32;47.24;3978
47.3;47.31;47.32;47.29;2610
47.36;47.32;47.36;47.32;1580
47.38;47.36;47.38;47.34;5049
47.35;47.37;47.37;47.34;3747
47.31;47.35;47.35;47.3;4143
47.26;47.32;47.32;47.26;4955
47.24;47.29;47.32;47.22;5870
47.28;47.21;47.28;47.15;22446
47.29;47.28;47.32;47.27;8308
47.28;47.28;47.32;47.27;5996
47.25;47.28;47.29;47.24;6381
47.24;47.26;47.27;47.24;6801
47.21;47.23;47.25;47.2;14559
47.31;47.22;47.33;47.17;13783
47.3;47.3;47.36;47.28;14543
47.25;47.3;47.32;47.25;9591
47.25;47.29;47.29;47.23;12135
47.21;47.27;47.28;47.21;5352
47.23;47.21;47.25;47.2;13479
47.31;47.23;47.35;47.21;10788
47.3;47.31;47.33;47.26;9540
47.3;47.32;47.35;47.3;19572
47.38;47.32;47.4;47.31;26467
47.33;47.36;47.41;47.32;21884
47.42;47.33;47.42;47.32;19886
47.37;47.42;47.42;47.36;9087
47.35;47.38;47.39;47.34;9705
47.39;47.34;47.4;47.34;13364
47.4;47.37;47.43;47.37;34435
47.41;47.41;47.44;47.41;11761
47.38;47.41;47.41;47.31;19838
47.39;47.37;47.39;47.36;8469
47.43;47.39;47.44;47.38;14998
47.36;47.42;47.42;47.33;11868
47.28;47.33;47.35;47.28;14933
47.32;47.28;47.32;47.2;42074
47.22;47.32;47.32;47.2;36940
47.2;47.22;47.27;47.2;51928
47.17;47.19;47.19;47.15;24401
47.38;47.17;47.38;47.1;289761
49.13;48.5;49.2;48.4;111488
49.65;49.13;49.65;49.13;68930
49.73;49.61;49.81;49.5;92767
49.58;49.75;49.75;49.5;61170
49.7;49.5;49.76;49.5;45215
49.79;49.7;49.82;49.61;46892
49.94;49.79;49.95;49.76;32432
50.26;49.91;50.34;49.9;111600
50.0;50.24;50.28;49.9;55810
50.0;49.99;50.08;49.9;77679
50.06;50.08;50.16;50.0;45104
49.9;50.04;50.14;49.81;35808
49.82;49.94;49.96;49.71;25665
49.76;49.83;49.84;49.73;19741
49.72;49.75;49.8;49.72;14297
49.63;49.72;49.74;49.61;12600
49.75;49.65;49.8;49.63;18519
49.73;49.77;49.8;49.72;77326
49.67;49.72;49.77;49.62;24973
49.47;49.63;49.67;49.4;49445
49.73;49.47;49.73;49.47;231209
49.55;49.67;49.71;49.55;103273
49.47;49.54;49.54;49.3;12923
49.45;49.47;49.52;49.38;7842
49.63;49.48;49.65;49.48;14212
49.46;49.6;49.62;49.43;108050
49.54;49.46;49.67;49.46;20005
49.58;49.53;49.6;49.52;7072
49.79;49.59;49.8;49.53;50672
49.89;49.81;49.94;49.8;18121
49.79;49.86;49.91;49.79;9201
49.72;49.77;49.78;49.66;21047
49.56;49.7;49.72;49.55;32304
49.6;49.58;49.63;49.54;10452
49.53;49.6;49.64;49.5;17532
49.53;49.54;49.56;49.51;8802
49.55;49.53;49.6;49.51;31091
49.6;49.56;49.6;49.56;7253
49.48;49.58;49.59;49.46;9633
49.47;49.47;49.51;49.45;11361
49.48;49.47;49.5;49.47;6614
49.47;49.48;49.56;49.46;11579
49.49;49.47;49.6;49.47;13601
49.61;49.52;49.62;49.5;48535
49.55;49.6;49.64;49.45;67506
49.49;49.54;49.56;49.49;3919
49.42;49.51;49.52;49.42;8399
49.56;49.42;49.6;49.4;11606
49.6;49.56;49.66;49.56;34839
49.55;49.6;49.61;49.51;94517
49.36;49.51;49.55;49.34;38971
49.4;49.38;49.56;49.35;16913
