close;open;high;low;vol
78.8;80.4;80.4;78.8;992
79.0;79.2;79.2;79.0;615
79.6;79.2;79.6;79.0;115
79.0;79.0;79.0;79.0;3
79.0;79.6;79.6;79.0;165
79.2;79.6;79.6;79.2;67
79.6;79.6;79.6;79.6;101
79.6;79.6;79.6;79.6;50
80.0;80.0;80.0;80.0;300
80.0;79.8;80.0;79.8;105
80.0;80.0;80.0;80.0;12
79.6;80.0;80.0;79.6;401
78.8;79.4;79.6;78.8;1359
78.6;78.6;78.6;78.6;567
78.4;78.4;78.6;78.4;350
78.4;78.4;78.4;78.4;0
78.8;78.4;78.8;78.2;731
78.8;78.6;78.8;78.4;63
79.4;78.8;79.4;78.8;2460
79.2;79.4;79.4;79.2;30
79.2;79.2;79.4;79.2;270
79.2;79.2;79.2;79.2;0
79.8;79.8;79.8;79.8;4
79.8;79.8;79.8;79.8;0
79.0;79.2;79.2;79.0;362
79.0;79.0;79.0;79.0;100
79.0;79.0;79.0;79.0;250
79.2;79.2;79.2;79.2;3
79.4;79.2;79.4;79.2;595
79.8;79.8;79.8;79.8;150
79.8;79.8;79.8;79.8;0
79.8;79.8;79.8;79.8;0
79.8;79.8;79.8;79.8;5
79.4;79.4;79.4;79.2;143
79.0;79.4;79.4;79.0;786
79.0;79.0;79.0;79.0;0
79.0;79.0;79.0;79.0;0
79.0;79.0;79.0;79.0;0
78.6;78.8;78.8;78.6;96
77.8;78.4;78.4;77.0;4021
77.6;78.0;78.0;77.6;800
78.0;78.0;78.0;77.6;200
78.6;78.0;78.6;78.0;885
78.6;78.6;78.6;78.6;0
78.6;78.6;78.6;78.6;0
78.2;78.6;78.6;78.2;132
78.2;78.2;78.2;78.2;0
78.6;78.6;78.6;78.2;61
78.0;78.2;78.2;78.0;202
78.0;78.0;78.0;78.0;1
78.2;78.2;78.2;78.2;5
78.2;78.2;78.2;78.2;0
78.2;78.2;78.2;78.2;0
78.2;78.2;78.2;78.2;0
78.6;78.6;78.6;78.6;1
78.6;78.6;78.6;78.6;0
78.6;78.6;78.6;78.6;0
78.8;78.6;78.8;78.6;400
78.6;78.6;78.6;78.6;111
78.6;78.6;78.6;78.6;0
78.6;78.6;78.6;78.6;0
78.6;78.6;78.6;78.6;0
78.8;78.8;78.8;78.8;102
78.8;78.8;78.8;78.8;0
78.8;78.8;78.8;78.8;102
79.0;78.8;79.0;78.8;132
79.0;79.0;79.0;79.0;100
79.0;79.0;79.0;79.0;0
78.8;79.0;79.0;78.8;150
78.8;79.0;79.0;78.8;62
78.8;78.8;78.8;78.8;0
78.4;78.8;78.8;78.4;1315
78.4;78.4;78.4;78.4;0
78.4;78.4;78.4;78.4;80
78.4;78.4;78.4;78.4;100
78.4;78.4;78.4;78.4;50
78.4;78.2;78.4;78.2;188
78.8;78.8;78.8;78.8;50
78.8;78.8;78.8;78.8;0
78.8;78.8;78.8;78.8;0
78.8;78.8;78.8;78.8;0
78.8;78.8;78.8;78.8;0
78.4;78.4;78.4;78.4;341
78.4;78.4;78.4;78.4;15
78.8;78.8;78.8;78.8;13
78.4;78.8;78.8;78.4;332
78.2;78.6;78.6;78.0;2112
78.0;78.0;78.0;78.0;661
78.0;78.0;78.0;78.0;256
78.0;78.0;78.0;78.0;0
78.8;78.4;78.8;78.4;205
78.8;78.8;78.8;78.6;530
78.2;78.4;78.4;78.2;252
78.0;78.6;78.8;78.0;1259
80.0;79.6;80.0;79.6;246
80.0;80.0;80.0;80.0;0
79.4;79.2;79.6;79.2;483
79.4;79.2;79.4;79.2;67
79.6;79.4;79.6;79.4;83
79.6;79.6;79.6;79.6;50
79.2;79.2;79.2;79.0;618
79.0;79.0;79.0;79.0;21
78.6;79.0;79.0;78.6;80
78.6;78.6;78.6;78.6;88
78.6;78.6;78.6;78.6;0
78.4;78.4;78.4;78.4;71
78.6;78.6;78.6;78.6;10
78.6;78.6;78.6;78.6;0
78.6;78.6;78.6;78.6;0
78.6;78.6;78.6;78.6;0
78.6;78.6;78.6;78.6;82
78.2;78.4;78.4;78.0;1177
78.4;78.4;78.4;78.4;100
78.4;78.4;78.4;78.4;0
78.0;78.4;78.6;78.0;953
77.8;78.0;78.2;77.8;117
78.0;78.0;78.0;78.0;140
78.0;78.0;78.0;78.0;0
78.0;78.0;78.0;78.0;6
78.4;78.4;78.4;78.4;7
78.0;78.0;78.0;78.0;28
78.4;78.4;78.4;78.4;8
78.4;78.4;78.4;78.4;0
78.0;78.0;78.0;78.0;611
78.0;78.0;78.0;78.0;0
78.0;78.0;78.0;78.0;533
78.0;78.0;78.2;78.0;45
78.0;78.0;78.0;78.0;40
78.0;78.0;78.0;78.0;0
78.0;78.0;78.0;78.0;0
