close;open;high;low;vol
91.75;91.0;91.75;91.0;29
91.75;91.65;91.75;91.65;195
91.75;91.75;91.75;91.75;0
91.0;91.5;91.5;91.0;146
91.5;91.5;91.5;91.5;2
91.5;91.5;91.5;91.5;0
91.5;91.5;91.5;91.5;0
91.5;91.5;91.5;91.5;0
91.5;91.5;91.5;91.5;0
91.5;91.5;91.5;91.5;0
91.7;91.3;91.7;91.2;64
91.6;91.5;91.6;91.5;69
90.9;91.3;91.4;90.9;220
90.8;91.3;91.3;90.8;44
90.7;90.8;90.8;90.7;31
90.55;90.8;90.95;90.55;447
90.55;90.55;90.55;90.55;0
90.55;90.55;90.55;90.55;3
91.15;90.85;91.15;90.85;104
91.15;91.15;91.15;91.15;0
90.95;90.95;91.25;90.9;198
90.9;90.9;90.9;90.9;3
90.9;90.9;90.9;90.9;30
91.15;90.9;91.15;90.9;24
91.1;90.9;91.1;90.9;18
90.9;90.9;90.9;90.9;10
91.1;90.9;91.1;90.9;311
91.65;91.1;91.65;90.9;483
91.65;91.65;91.65;91.65;0
91.8;91.65;91.8;91.65;368
91.8;91.8;91.8;91.8;0
91.8;91.8;91.8;91.8;0
91.8;91.8;91.8;91.8;0
91.8;91.8;91.8;91.8;0
91.45;91.45;91.45;91.45;2
91.3;91.45;91.45;91.2;53
91.45;91.25;91.45;91.25;126
91.45;91.45;91.45;91.45;0
91.45;91.45;91.45;91.45;3
91.45;91.45;91.45;91.45;0
91.45;91.45;91.45;91.45;0
91.3;91.1;91.3;91.1;90
91.4;91.3;91.4;91.3;35
91.3;91.05;91.3;91.0;20
91.2;91.0;91.2;91.0;60
90.5;91.0;91.25;90.25;2046
90.2;90.3;90.65;90.2;1487
90.4;90.25;90.85;90.2;1320
90.6;90.4;90.6;90.3;167
90.3;90.3;90.3;90.3;65
90.2;90.3;90.9;90.2;1061
90.2;90.3;90.3;90.2;206
90.45;90.2;90.45;90.0;1962
90.45;90.4;90.5;90.4;180
90.45;90.45;90.45;90.45;0
90.0;90.0;90.0;90.0;452
90.5;90.0;90.5;90.0;599
90.7;90.5;90.7;90.5;73
91.0;90.95;91.0;90.95;53
91.0;90.95;91.0;90.65;224
91.25;91.0;91.25;91.0;51
91.25;91.1;91.25;91.1;115
91.35;91.35;91.35;91.35;95
91.3;91.3;91.3;91.3;48
91.3;91.3;91.3;91.3;0
91.35;91.3;91.35;91.3;98
91.35;91.35;91.35;91.35;0
91.3;91.2;91.3;91.2;62
90.9;91.05;91.05;90.9;106
90.75;90.9;90.9;90.75;53
90.75;90.75;90.75;90.75;0
90.75;90.75;90.75;90.75;12
90.7;90.75;90.75;90.7;725
90.45;90.55;90.55;90.45;4
90.4;90.4;90.4;90.4;44
90.5;90.4;90.5;90.4;6
90.4;90.4;90.45;90.4;158
90.6;90.45;90.6;90.4;250
90.6;90.6;90.6;90.6;0
90.6;90.6;90.6;90.6;10
90.6;90.4;90.6;90.4;42
90.6;90.6;90.6;90.6;0
90.4;90.4;90.6;90.4;42
90.75;90.6;90.75;90.6;33
90.75;90.75;90.75;90.75;11
90.75;90.75;90.75;90.75;0
90.7;90.7;90.7;90.7;3
90.65;90.65;90.65;90.65;41
91.0;90.55;91.0;90.4;165
91.3;90.55;91.35;90.55;534
90.8;91.0;91.0;90.8;47
91.3;91.0;91.3;90.95;565
90.9;91.0;91.25;90.9;240
91.0;91.15;91.55;91.0;2536
91.5;91.5;91.8;91.5;33
91.2;91.5;91.5;91.2;60
91.75;91.2;91.75;91.2;102
90.9;91.35;91.35;90.5;221
91.3;90.9;91.3;90.9;21
91.35;91.35;91.35;91.35;1
91.35;91.35;91.35;91.35;0
91.35;90.95;91.35;90.95;74
91.15;91.05;91.15;91.0;51
91.75;91.35;91.75;91.15;52
91.35;91.75;91.75;91.35;117
91.35;91.35;91.35;91.0;119
91.7;91.7;91.7;91.7;22
91.35;91.35;91.35;91.35;18
91.35;91.35;91.35;91.35;0
91.35;91.35;91.35;91.35;0
91.35;91.35;91.35;91.35;0
90.9;91.15;91.15;90.7;976
90.9;90.9;90.9;90.9;0
90.9;90.6;90.9;90.6;16
90.9;90.9;90.9;90.9;0
90.9;90.9;90.9;90.9;0
90.9;90.7;90.9;90.7;36
90.55;90.85;90.85;90.55;205
90.6;90.7;90.7;90.55;173
90.65;90.5;90.65;90.5;214
90.7;90.7;90.7;90.7;43
90.85;90.75;90.85;90.65;101
90.85;90.85;90.85;90.85;0
90.85;90.85;90.85;90.85;8
90.85;90.85;90.85;90.85;10
90.85;90.8;90.85;90.8;13
90.85;90.85;90.85;90.85;0
90.85;90.85;90.85;90.85;0
90.85;90.85;90.85;90.85;0
90.85;90.85;90.85;90.85;0
90.85;90.85;90.85;90.85;0
90.65;90.85;90.85;90.65;403
90.65;90.65;90.65;90.65;0
90.65;90.75;90.75;90.65;150
90.65;90.65;90.65;90.65;0
90.65;90.65;90.65;90.65;0
90.85;90.85;90.85;90.85;30
90.9;90.85;90.9;90.85;448
90.95;90.95;90.95;90.95;1
91.0;91.0;91.0;91.0;15
91.0;91.0;91.0;91.0;0
91.0;91.0;91.0;91.0;0
90.85;90.85;90.85;90.85;40
90.85;90.85;90.85;90.85;0
90.85;90.85;90.85;90.85;95
91.0;91.0;91.0;90.95;65
91.0;91.0;91.0;91.0;0
90.95;90.95;90.95;90.85;101
90.95;90.95;90.95;90.95;0
90.95;90.95;90.95;90.95;0
90.95;90.95;90.95;90.95;0
90.9;90.9;90.9;90.9;19
90.9;90.9;90.9;90.9;0
91.0;90.9;91.0;90.9;127
90.75;91.0;91.0;90.75;41
90.7;90.9;90.9;90.7;62
90.7;90.7;90.7;90.7;0
90.7;90.7;90.7;90.7;622
90.95;90.9;90.95;90.9;20
90.9;90.95;90.95;90.9;8
90.9;90.9;90.9;90.9;0
90.8;90.8;90.8;90.8;41
90.5;90.65;90.65;90.5;107
90.4;90.5;90.5;90.4;634
90.4;90.4;90.4;90.4;0
90.45;90.4;90.7;90.4;565
90.45;90.45;90.45;90.45;0
90.45;90.45;90.45;90.45;2
90.45;90.45;90.45;90.45;369
90.4;90.35;90.45;90.1;347
90.4;90.4;90.4;90.4;0
90.45;90.45;90.45;90.45;58
90.25;90.3;90.45;90.25;42
90.3;90.3;90.3;90.3;355
90.1;90.15;90.15;90.1;629
90.3;90.1;90.3;90.1;110
