close;open;high;low;vol
3.03;3.05;3.05;3.03;36661
3.032;3.038;3.042;3.03;12631
3.02;3.031;3.031;3.02;28456
3.036;3.029;3.045;3.029;11266
3.035;3.035;3.035;3.035;2950
3.04;3.042;3.042;3.04;2671
3.036;3.04;3.04;3.03;22597
3.038;3.036;3.038;3.031;6330
3.031;3.031;3.031;3.031;132
3.031;3.032;3.032;3.031;3557
3.036;3.038;3.04;3.03;12458
3.03;3.03;3.035;3.03;5610
3.03;3.03;3.03;3.03;66713
3.03;3.03;3.03;3.03;0
3.039;3.033;3.039;3.033;5319
3.032;3.033;3.033;3.032;10000
3.044;3.039;3.044;3.039;7782
3.04;3.042;3.042;3.04;8093
3.036;3.036;3.036;3.036;626
3.036;3.036;3.036;3.036;0
3.039;3.033;3.039;3.032;4950
3.038;3.038;3.038;3.038;3274
3.038;3.037;3.038;3.037;4304
3.04;3.04;3.04;3.04;1105
3.041;3.04;3.045;3.04;15249
3.041;3.041;3.041;3.041;0
3.045;3.041;3.049;3.036;54241
3.038;3.04;3.045;3.038;6050
3.04;3.038;3.04;3.038;9074
3.038;3.036;3.038;3.034;5979
3.037;3.034;3.037;3.032;5063
3.038;3.037;3.038;3.037;3215
3.043;3.033;3.043;3.03;18070
3.046;3.046;3.046;3.046;823
3.04;3.041;3.041;3.04;8549
3.046;3.04;3.046;3.04;6844
3.039;3.041;3.047;3.039;26594
3.043;3.043;3.043;3.043;604
3.043;3.036;3.043;3.036;730
3.039;3.043;3.043;3.031;6899
3.033;3.031;3.037;3.03;29263
3.036;3.031;3.036;3.031;3073
3.036;3.035;3.037;3.035;9723
3.031;3.031;3.031;3.031;33
3.03;3.032;3.032;3.03;30959
3.03;3.03;3.03;3.03;0
3.03;3.032;3.032;3.03;6706
3.034;3.034;3.034;3.034;1643
3.034;3.035;3.036;3.03;15372
3.039;3.03;3.04;3.03;4255
3.032;3.032;3.032;3.032;1195
3.03;3.031;3.031;3.03;3967
3.034;3.03;3.034;3.03;5775
3.039;3.038;3.039;3.038;3093
3.039;3.039;3.039;3.039;10
3.04;3.039;3.04;3.039;6000
3.035;3.039;3.04;3.035;3916
3.039;3.039;3.039;3.039;6012
3.039;3.039;3.039;3.039;0
3.039;3.039;3.039;3.039;0
3.039;3.039;3.039;3.039;346
3.043;3.039;3.043;3.039;29895
3.044;3.041;3.044;3.04;5794
3.044;3.044;3.044;3.044;0
3.045;3.045;3.048;3.045;34294
3.046;3.045;3.046;3.045;9254
3.045;3.048;3.049;3.045;38775
3.041;3.048;3.048;3.041;12971
3.043;3.047;3.047;3.043;4655
3.046;3.047;3.048;3.046;15452
3.044;3.044;3.044;3.044;842
3.038;3.047;3.047;3.035;61807
3.042;3.038;3.042;3.034;1262
3.034;3.04;3.04;3.033;3190
3.034;3.035;3.041;3.034;20432
3.039;3.039;3.039;3.033;4493
3.031;3.033;3.038;3.03;63799
3.038;3.035;3.038;3.03;5597
3.041;3.038;3.041;3.03;68208
3.035;3.034;3.035;3.034;3151
3.043;3.04;3.043;3.04;36254
3.046;3.045;3.047;3.041;8793
3.048;3.047;3.048;3.047;42715
3.04;3.044;3.044;3.04;8632
3.047;3.047;3.047;3.04;3906
3.041;3.041;3.041;3.041;2008
3.048;3.048;3.051;3.045;221467
3.048;3.048;3.048;3.048;0
3.048;3.048;3.048;3.046;52381
3.048;3.048;3.049;3.046;273805
3.064;3.045;3.064;3.043;53030
3.1;3.068;3.1;3.061;113471
3.1;3.091;3.11;3.091;154131
3.121;3.104;3.127;3.102;618435
3.11;3.105;3.11;3.089;62680
3.1;3.11;3.13;3.1;54742
3.091;3.091;3.091;3.082;49655
3.074;3.09;3.094;3.074;35182
3.087;3.078;3.087;3.078;13093
3.084;3.088;3.088;3.084;1681
3.074;3.088;3.088;3.074;12245
3.069;3.071;3.071;3.069;4826
3.062;3.074;3.074;3.062;10800
3.084;3.06;3.084;3.06;21641
3.089;3.084;3.092;3.081;11229
3.081;3.081;3.09;3.08;22287
3.08;3.082;3.082;3.08;15397
3.083;3.078;3.083;3.075;8964
3.09;3.082;3.09;3.082;22765
3.091;3.087;3.091;3.087;1896
3.086;3.086;3.086;3.086;1000
3.086;3.086;3.086;3.086;0
3.086;3.086;3.086;3.086;1000
3.082;3.082;3.082;3.082;2956
3.082;3.082;3.082;3.082;0
3.084;3.08;3.084;3.079;5401
3.084;3.076;3.084;3.076;18983
3.08;3.081;3.081;3.08;5799
3.08;3.077;3.08;3.071;11862
3.067;3.07;3.07;3.067;7531
3.067;3.067;3.067;3.067;0
3.067;3.067;3.067;3.067;0
3.067;3.067;3.067;3.067;0
3.056;3.066;3.066;3.056;25704
3.06;3.059;3.06;3.058;12077
3.06;3.062;3.066;3.06;19333
3.057;3.06;3.06;3.057;2128
3.059;3.058;3.06;3.058;14921
3.059;3.059;3.059;3.059;0
3.06;3.065;3.065;3.06;4409
3.056;3.06;3.06;3.056;4651
3.056;3.056;3.056;3.056;0
3.055;3.06;3.061;3.055;9102
3.065;3.06;3.065;3.06;5455
3.06;3.06;3.06;3.06;501
3.06;3.061;3.061;3.056;6219
3.048;3.056;3.056;3.048;27006
3.049;3.053;3.057;3.049;1971
3.054;3.049;3.054;3.049;9121
3.049;3.05;3.054;3.049;25144
3.049;3.049;3.049;3.049;0
3.055;3.055;3.055;3.055;2764
3.068;3.057;3.068;3.057;14898
3.068;3.068;3.068;3.068;0
3.061;3.057;3.061;3.057;10190
3.067;3.067;3.067;3.067;25
3.067;3.067;3.067;3.067;0
3.064;3.063;3.064;3.063;1009
3.061;3.064;3.064;3.061;1323
