close;open;high;low;vol
87.4;87.4;87.4;87.4;337
87.1;87.3;87.3;87.1;245
87.1;87.1;87.1;87.1;130
87.4;87.3;87.4;87.2;125
87.3;87.1;87.3;87.1;266
87.3;87.3;87.3;87.3;1
87.1;87.1;87.1;87.1;1534
87.1;87.1;87.3;87.1;738
87.1;87.1;87.1;87.1;0
87.1;87.1;87.1;87.1;50
87.2;87.1;87.3;87.1;152
87.2;87.2;87.2;87.2;36
87.1;87.2;87.2;87.1;358
87.1;87.2;87.3;87.1;272
87.1;87.2;87.3;87.1;192
87.1;87.1;87.1;87.1;0
87.3;87.3;87.3;87.3;62
87.1;87.2;87.3;87.1;126
87.1;87.1;87.1;87.1;0
87.1;87.1;87.1;87.1;0
87.5;87.2;87.6;87.2;2550
87.9;87.6;88.1;87.6;2059
87.8;87.8;87.8;87.8;233
88.2;88.0;88.2;88.0;235
88.0;88.2;88.3;88.0;1009
88.0;88.0;88.0;88.0;0
87.4;87.4;87.4;87.4;147
88.0;88.1;88.1;88.0;79
87.6;87.7;87.7;87.6;382
87.5;87.7;87.7;87.5;98
87.4;87.5;87.5;87.4;26
87.4;87.4;87.4;87.4;0
87.4;87.4;87.4;87.4;0
87.4;87.4;87.4;87.4;20
87.4;87.4;87.4;87.4;0
87.4;87.4;87.4;87.4;134
87.4;87.4;87.4;87.4;0
87.6;87.4;87.6;87.4;144
88.0;87.6;88.1;87.6;2652
87.9;88.0;88.0;87.9;751
87.7;88.0;88.0;87.7;118
87.7;87.7;87.7;87.7;0
87.7;87.7;87.7;87.7;0
87.7;87.7;87.7;87.7;25
87.7;87.7;87.7;87.7;0
87.7;87.7;87.7;87.7;0
87.9;87.7;87.9;87.7;33
87.9;87.9;87.9;87.9;21
87.8;87.7;87.9;87.7;40
87.5;87.7;87.7;87.5;1272
87.5;87.5;87.5;87.5;1
87.5;87.3;87.5;87.3;818
87.5;87.5;87.5;87.5;0
87.5;87.5;87.5;87.5;0
87.5;87.5;87.5;87.5;0
87.6;87.6;87.6;87.6;88
87.6;87.3;87.6;87.3;39
87.8;87.6;87.8;87.6;1373
87.8;87.9;87.9;87.8;923
87.6;87.6;87.6;87.6;127
87.6;87.6;87.6;87.6;0
87.6;87.6;87.6;87.6;0
87.6;87.6;87.6;87.6;0
87.6;87.6;87.8;87.6;247
