y;ds
53.85;2024-03-19 09:00:00
53.8;2024-03-19 09:05:00
53.4;2024-03-19 09:10:00
53.65;2024-03-19 09:15:00
53.75;2024-03-19 09:20:00
53.8;2024-03-19 09:25:00
53.75;2024-03-19 09:30:00
53.5;2024-03-19 09:35:00
53.4;2024-03-19 09:40:00
53.5;2024-03-19 09:45:00
53.4;2024-03-19 09:50:00
53.4;2024-03-19 09:55:00
53.5;2024-03-19 10:00:00
53.6;2024-03-19 10:05:00
53.6;2024-03-19 10:10:00
53.45;2024-03-19 10:15:00
53.4;2024-03-19 10:20:00
53.4;2024-03-19 10:25:00
53.3;2024-03-19 10:30:00
53.35;2024-03-19 10:35:00
53.35;2024-03-19 10:40:00
53.35;2024-03-19 10:45:00
53.35;2024-03-19 10:50:00
53.3;2024-03-19 10:55:00
52.75;2024-03-19 11:00:00
52.9;2024-03-19 11:05:00
52.75;2024-03-19 11:10:00
52.85;2024-03-19 11:15:00
52.9;2024-03-19 11:20:00
52.6;2024-03-19 11:25:00
53.35;2024-03-19 11:30:00
53.7;2024-03-19 11:35:00
53.35;2024-03-19 11:40:00
53.55;2024-03-19 11:45:00
53.45;2024-03-19 11:50:00
53.15;2024-03-19 11:55:00
53.0;2024-03-19 12:00:00
53.0;2024-03-19 12:05:00
53.05;2024-03-19 12:10:00
53.0;2024-03-19 12:15:00
53.0;2024-03-19 12:20:00
53.1;2024-03-19 12:25:00
52.95;2024-03-19 12:30:00
52.85;2024-03-19 12:35:00
52.95;2024-03-19 12:40:00
52.9;2024-03-19 12:45:00
52.9;2024-03-19 12:50:00
52.9;2024-03-19 12:55:00
53.05;2024-03-19 13:00:00
53.0;2024-03-19 13:05:00
53.15;2024-03-19 13:10:00
53.0;2024-03-19 13:15:00
52.85;2024-03-19 13:20:00
53.1;2024-03-19 13:25:00
52.95;2024-03-19 13:30:00
53.1;2024-03-19 13:35:00
52.95;2024-03-19 13:40:00
53.0;2024-03-19 13:45:00
53.0;2024-03-19 13:50:00
53.0;2024-03-19 13:55:00
53.05;2024-03-19 14:00:00
52.9;2024-03-19 14:05:00
52.8;2024-03-19 14:10:00
52.8;2024-03-19 14:15:00
52.85;2024-03-19 14:20:00
53.0;2024-03-19 14:25:00
53.0;2024-03-19 14:30:00
53.05;2024-03-19 14:35:00
53.15;2024-03-19 14:40:00
53.25;2024-03-19 14:45:00
53.15;2024-03-19 14:50:00
53.15;2024-03-19 14:55:00
53.25;2024-03-19 15:00:00
53.0;2024-03-19 15:05:00
52.8;2024-03-19 15:10:00
52.85;2024-03-19 15:15:00
52.95;2024-03-19 15:20:00
52.85;2024-03-19 15:25:00
52.85;2024-03-19 15:30:00
52.7;2024-03-19 15:35:00
52.75;2024-03-19 15:40:00
52.95;2024-03-19 15:45:00
52.95;2024-03-19 15:50:00
52.95;2024-03-19 15:55:00
52.8;2024-03-19 16:00:00
52.9;2024-03-19 16:05:00
53.4;2024-03-19 16:10:00
53.45;2024-03-19 16:15:00
53.55;2024-03-19 16:20:00
53.95;2024-03-19 16:25:00
54.4;2024-03-19 16:30:00
54.05;2024-03-19 16:35:00
54.1;2024-03-19 16:40:00
54.35;2024-03-19 16:45:00
53.9;2024-03-20 09:00:00
53.75;2024-03-20 09:05:00
53.75;2024-03-20 09:10:00
53.7;2024-03-20 09:15:00
53.75;2024-03-20 09:20:00
53.7;2024-03-20 09:25:00
53.75;2024-03-20 09:30:00
53.85;2024-03-20 09:35:00
53.85;2024-03-20 09:40:00
53.9;2024-03-20 09:45:00
53.95;2024-03-20 09:50:00
53.95;2024-03-20 09:55:00
53.65;2024-03-20 10:00:00
53.65;2024-03-20 10:05:00
53.85;2024-03-20 10:10:00
53.85;2024-03-20 10:15:00
53.75;2024-03-20 10:20:00
53.6;2024-03-20 10:25:00
53.75;2024-03-20 10:30:00
53.9;2024-03-20 10:35:00
53.75;2024-03-20 10:40:00
53.75;2024-03-20 10:45:00
53.8;2024-03-20 10:50:00
53.8;2024-03-20 10:55:00
53.65;2024-03-20 11:00:00
53.6;2024-03-20 11:05:00
53.7;2024-03-20 11:10:00
53.65;2024-03-20 11:15:00
53.6;2024-03-20 11:20:00
53.6;2024-03-20 11:25:00
53.7;2024-03-20 11:30:00
53.7;2024-03-20 11:35:00
53.6;2024-03-20 11:40:00
53.7;2024-03-20 11:45:00
53.7;2024-03-20 11:50:00
53.75;2024-03-20 11:55:00
53.75;2024-03-20 12:00:00
53.8;2024-03-20 12:05:00
53.7;2024-03-20 12:10:00
53.9;2024-03-20 12:15:00
53.9;2024-03-20 12:20:00
53.75;2024-03-20 12:25:00
53.85;2024-03-20 12:30:00
53.85;2024-03-20 12:35:00
53.75;2024-03-20 12:40:00
53.85;2024-03-20 12:45:00
53.75;2024-03-20 12:50:00
53.85;2024-03-20 12:55:00
53.8;2024-03-20 13:00:00
53.65;2024-03-20 13:05:00
53.7;2024-03-20 13:10:00
53.65;2024-03-20 13:15:00
53.55;2024-03-20 13:20:00
53.65;2024-03-20 13:25:00
53.6;2024-03-20 13:30:00
53.75;2024-03-20 13:35:00
53.6;2024-03-20 13:40:00
53.5;2024-03-20 13:45:00
53.6;2024-03-20 13:50:00
53.6;2024-03-20 13:55:00
53.7;2024-03-20 14:00:00
53.7;2024-03-20 14:05:00
53.7;2024-03-20 14:10:00
53.7;2024-03-20 14:15:00
53.6;2024-03-20 14:20:00
53.5;2024-03-20 14:25:00
53.55;2024-03-20 14:30:00
53.3;2024-03-20 14:35:00
53.35;2024-03-20 14:40:00
53.4;2024-03-20 14:45:00
53.2;2024-03-20 14:50:00
53.05;2024-03-20 14:55:00
53.2;2024-03-20 15:00:00
53.2;2024-03-20 15:05:00
53.1;2024-03-20 15:10:00
53.1;2024-03-20 15:15:00
53.0;2024-03-20 15:20:00
53.1;2024-03-20 15:25:00
53.15;2024-03-20 15:30:00
53.0;2024-03-20 15:35:00
53.1;2024-03-20 15:40:00
53.05;2024-03-20 15:45:00
53.2;2024-03-20 15:50:00
53.05;2024-03-20 15:55:00
53.1;2024-03-20 16:00:00
53.2;2024-03-20 16:05:00
53.2;2024-03-20 16:10:00
53.1;2024-03-20 16:15:00
53.05;2024-03-20 16:20:00
53.15;2024-03-20 16:25:00
53.0;2024-03-20 16:30:00
52.95;2024-03-20 16:35:00
52.95;2024-03-20 16:40:00
52.8;2024-03-20 16:45:00
53.75;2024-03-21 09:00:00
53.5;2024-03-21 09:05:00
53.5;2024-03-21 09:10:00
53.4;2024-03-21 09:15:00
53.35;2024-03-21 09:20:00
53.45;2024-03-21 09:25:00
53.45;2024-03-21 09:30:00
53.45;2024-03-21 09:35:00
53.5;2024-03-21 09:40:00
53.5;2024-03-21 09:45:00
53.45;2024-03-21 09:50:00
53.4;2024-03-21 09:55:00
53.35;2024-03-21 10:00:00
53.15;2024-03-21 10:05:00
