close;open;high;low;vol
32.6;32.6;32.6;32.6;17
32.42;32.54;32.54;32.42;115
32.4;32.42;32.42;32.38;568
32.5;32.38;32.5;32.38;1023
32.64;32.46;32.7;32.46;7018
32.72;32.74;32.74;32.72;43
32.54;32.58;32.58;32.5;222
32.46;32.5;32.58;32.46;369
32.46;32.46;32.46;32.46;0
32.46;32.46;32.46;32.46;0
32.52;32.52;32.52;32.52;2
32.52;32.58;32.6;32.52;1058
32.56;32.52;32.56;32.52;657
32.46;32.5;32.5;32.4;1292
32.46;32.46;32.46;32.46;0
32.38;32.38;32.38;32.38;63
32.38;32.38;32.38;32.38;88
32.46;32.46;32.46;32.46;102
32.46;32.46;32.46;32.46;121
32.44;32.44;32.44;32.44;184
32.44;32.44;32.44;32.44;250
32.44;32.44;32.44;32.44;0
32.46;32.46;32.46;32.46;2
32.42;32.46;32.46;32.42;471
32.4;32.4;32.42;32.4;181
32.4;32.4;32.4;32.4;1
32.4;32.4;32.4;32.4;100
32.34;32.4;32.4;32.34;1747
32.36;32.36;32.38;32.36;264
32.32;32.36;32.36;32.32;462
32.36;32.3;32.36;32.3;543
32.42;32.38;32.42;32.38;365
32.38;32.38;32.38;32.38;281
32.38;32.38;32.5;32.38;1825
32.38;32.38;32.38;32.38;0
32.38;32.38;32.38;32.38;0
32.38;32.38;32.38;32.38;0
32.38;32.38;32.38;32.38;0
32.4;32.4;32.4;32.4;12
32.42;32.4;32.42;32.34;246
32.3;32.4;32.4;32.3;1600
32.3;32.3;32.36;32.3;450
32.3;32.3;32.3;32.3;0
32.34;32.3;32.38;32.3;519
32.38;32.34;32.38;32.34;654
32.38;32.38;32.38;32.38;0
32.38;32.38;32.38;32.38;0
32.42;32.42;32.42;32.42;123
32.44;32.44;32.44;32.44;154
32.42;32.42;32.42;32.42;1
32.3;32.36;32.36;32.3;2311
32.36;32.34;32.36;32.34;83
32.36;32.36;32.36;32.36;38
32.38;32.36;32.38;32.36;465
32.38;32.38;32.38;32.38;209
32.44;32.44;32.44;32.44;45
32.44;32.44;32.44;32.44;0
